id,geo,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id
812817714209230848,"{'coordinates': {'type': 'Point', 'coordinates': [-80.6856, 40.3089]}, 'place_id': 'de599025180e2ee7'}",Instagram,812817714209230848,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T00:30:19.000Z,#newyear #wish #2017 #hopeful @ Valley glen http://someurl,16898660,nl,#hopeful,,
811650856416198657,,Twitter for iPhone,811650856416198657,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T19:13:38.000Z,RT @someuser YES WE CAN. Obama maakt nog even mooi gebruik van de laatste maand van zijn ambtstermijn. #respect #hopeful http://someurl,519395618,nl,#hopeful,"[{'type': 'retweeted', 'id': '811554594102841344'}]",
811555337165766656,,IFTTT,811555337165766656,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T12:54:05.000Z,weermanreinier: YES WE CAN. Obama maakt nog even mooi gebruik van de laatste maand van zijn ambtstermijn. #respect #hopeful ...,2983819240,nl,#hopeful,,
811554594102841344,,Twitter Web Client,811554594102841344,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 1}",2016-12-21T12:51:07.000Z,YES WE CAN. Obama maakt nog even mooi gebruik van de laatste maand van zijn ambtstermijn. #respect #hopeful http://someurl,234418976,nl,#hopeful,"[{'type': 'quoted', 'id': '811545538927689729'}]",
802436634692255744,,Twitter for iPad,802436634692255744,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-26T08:59:36.000Z,Wisconsin moet stemmen opnieuw tellen /via @someuser Keep my fingers crossed for @someuser #hopeful   http://someurl,25483027,nl,#hopeful,,
793916660533133312,{'place_id': 'e564d30dc173d2a8'},Twitter for Android,793916660533133312,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-02T20:44:16.000Z,@someuser Dankie vir volg. Persoonlike details per DM gestuur! #hopeful #Slank #diet #Health #Lifestyle @someuser @someuser,1949828624,nl,#hopeful,,281501694
791966436507815936,,Twitter for Android,791961989031432192,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-10-28T11:34:47.000Z,@someuser Veel van deze scènes heb ik nog nooit gezien op CC. Gaan jullie dan toch nog de resterende seizoenen uitzenden? #hopeful,2933911529,nl,#hopeful,"[{'type': 'replied_to', 'id': '791961989031432192'}]",53013374
785777624052269057,,Twitter for Android,785777624052269057,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-10-11T09:42:39.000Z,LGBTQIAP?| Geef het nog een jaartje en ik val er ook onder.| Al mijn problemen opgelost.| #hopeful | http://someurl,28322417,nl,#hopeful,,
777096443937120256,,Instagram,777096443937120256,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-17T10:46:44.000Z,"Tea gets better with age, right? #hopeful #irishbreakfasttea @ Landgoed Leyduin - Woestduin http://someurl",760446866681171968,nl,#hopeful,,
772163560126357504,,Twitter for Android,772163560126357504,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-03T20:05:13.000Z,In line for FFXV panel! #paxwest #finalfantasyxv #hopeful,25092296,nl,#hopeful,,
769083170788696065,,Twitter for Mac,769083170788696065,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-26T08:04:51.000Z,RT @someuser @someuser @someuser Super keen!! #fingerscrossed #trying #hopeful,78293063,nl,#hopeful,"[{'type': 'retweeted', 'id': '769065653185679361'}]",
769065653185679361,,Twitter for iPhone,769058488999895040,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-08-26T06:55:14.000Z,@someuser @someuser Super keen!! #fingerscrossed #trying #hopeful,185973447,nl,#hopeful,"[{'type': 'replied_to', 'id': '769064239705325568'}]",78293063
