source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,referenced_tweets,in_reply_to_user_id,geo
Twitter for Android,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 3, 'quote_count': 1}",814798803790393344,Le roster #HopeFuL sera composé de @someuser @someuser @someuser @someuser #RT,814801441810419712,814801441810419712,fr,everyone,2016-12-30T11:52:56.000Z,#hopeful,,,
Twitter for Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2527091383,Hopia no more..😆 #hopeful 🙏😂,813789879075147776,813789879075147776,en,everyone,2016-12-27T16:53:21.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",761457248275042304,H.O.P.E | #harris_soshi #hope #hopeful #hopeless #fff #bad #pain http://someurl,812478033089032192,812478033089032192,pt,everyone,2016-12-24T02:00:32.000Z,#hopeful,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",19895717,Levamentum http://someurl #art #painting #emotional #creative #love #hopeful #soulofanartist http://someurl,808684195258114051,808684195258114051,pt,everyone,2016-12-13T14:45:11.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2599857120,Sono e atrasada  #suicidegirls #suicidegirlsbr #sg #hopefulsuicidegirl #hopeful #bluehair... http://someurl,806128250892255232,806128250892255232,pt,everyone,2016-12-06T13:28:46.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2599857120,Sdds carequinha #suicidegirls #suicidegirlsbr #sg #hopefulsuicidegirl #hopeful #purplehair... http://someurl,804631511215509504,804631511215509504,pt,everyone,2016-12-02T10:21:16.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2599857120,Flagra #love #bae #emo #sg #sglatinas #suicidegirlsbr #suicidegirls #hopefulsuicidegirl #hopeful... http://someurl,799568690610139136,799568690610139136,pt,everyone,2016-11-18T11:03:25.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",3400106423,Bom diaa !! 💖💖| | #suicidegirl #sg #hopeful #hoku #tattoo #inkedgirl http://someurl,798911198699753472,798911198699753472,pt,everyone,2016-11-16T15:30:47.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",586048976,VOTE ✔ 🇺🇸 | #RockTheVote #ImWithHer | #HistoricDay #Hopeful #election2016 http://someurl,796077888655204352,796077888655204352,fr,everyone,2016-11-08T19:52:13.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2599857120,Suruba. Ta teno. #emo #sg #sglatinas #suicidegirlsbr #suicidegirls #hopefulsuicidegirl #hopeful... http://someurl,792764832470687744,792764832470687744,in,everyone,2016-10-30T16:27:19.000Z,#hopeful,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",134994281,A ver si se da o.o #Hopeful,783322079991128065,783322079991128065,pt,everyone,2016-10-04T15:05:11.000Z,#hopeful,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",3214736763,Alma 11:40 #FridayFeeling #hopeful #LDS #Christ http://someurl,771746210256343040,771746210256343040,tr,everyone,2016-09-02T16:26:49.000Z,#hopeful,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",164160288,@someuser siguro? HAHAHA #hoping #hopeful #hopeless 😭,771339701508726784,771329843367596032,tl,everyone,2016-09-01T13:31:30.000Z,#hopeful,"[{'type': 'replied_to', 'id': '771338855978901504'}]",2281979370,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3302297813,E o próximo casamento será o nosso! 🙏💝💍💏 #noivo #teamo #loveyou #happiness #hopeful #goodvibes... http://someurl,767436483384991745,767436483384991745,pt,everyone,2016-08-21T19:01:30.000Z,#hopeful,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",732298491569938432,Ditto! #twitter #hopeful #ShowSomeLove http://someurl,762797506430238720,762797506430238720,it,everyone,2016-08-08T23:47:52.000Z,#hopeful,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2599857120,MAIS UMAAAAA ❤ QUEM VAMOOOOS 🎉❤#suicidegirlsbr #hopefulsuicidegirl #hopeful #suicidegirls... http://someurl,761609170294566912,761609170294566912,pt,everyone,2016-08-05T17:05:50.000Z,#hopeful,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",732298491569938432,Ditto! #youtuber #sub #Hopeful http://someurl,760987852393938948,760987852393938948,it,everyone,2016-08-03T23:56:57.000Z,#hopeful,,,
