source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,geo,search_query,in_reply_to_user_id,referenced_tweets
Twitter for iPhone,814613726120869888,2971517810,everyone,814613726120869888,- tagay para sa tagumpay!🍸doble doble man ang problema idaan nalang sa ngiti!😁 #somedaymakakaahondin #christmas2016 #weekendfoodie #hopeful http://someurl,2016-12-29T23:27:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,{'place_id': '01b9bce9425c3081'},#hopeful,,
Twitter for Android,813876882630328320,43251402,everyone,813876882630328320,Sana ito na! #hopeful,2016-12-27T22:39:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,812968928485851136,764633749426282497,everyone,812968928485851136,Pray lang ng pray.. 🙏🏻 maybe this 2017 dumating na siya.. | | #hopeful #thankyou2016 #memories... http://someurl,2016-12-25T10:31:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,812632932527603712,141380072,everyone,812632932527603712,"Merry Christmas Everyone 🙌💕💃#Life #Family #Grateful #Hopeful @ CBN Estate 2, Satellite Town, Lagos. http://someurl",2016-12-24T12:16:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,"{'coordinates': {'type': 'Point', 'coordinates': [3.39583, 6.45306]}, 'place_id': '00817d75276a95cf'}",#hopeful,,
Twitter for Android,811527466325921792,294015833,everyone,811527466325921792,Dear God/2017 - Sana ako naman po next..#hopeful,2016-12-21T11:03:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,811465059096375297,117912249,everyone,811465059096375297,"Prayers to my cousin for his fast recovery🙏🏻 Kaya mo yan Onad, magpapasko taung magkakasama🙂🙏🏻 Gising na!! #hopeful",2016-12-21T06:55:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,811014054823112704,3097501332,everyone,811014054823112704,Di ko gusto mag expect kay basin masakutan ko huhuhuhuhu #hopeful,2016-12-20T01:03:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,810508964081319936,549022103,everyone,810508964081319936,ok. baka magsimula ako magdasal ng 2017 para magkatotoo hehehe 🤞#hopeful #fingerscrossed http://someurl,2016-12-18T15:36:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Facebook,809687475094507520,20998617,everyone,809687475094507520,na mirisi...maniwang na daw ko balik Dadah😂👏| #hopeful http://someurl,2016-12-16T09:11:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,808269663293489152,1288568360,everyone,808269663293489152,"Lord, sana lang po yung pangarap ko po matupad , na makakanta bilang instrumento nyo #Hopeful :( :)",2016-12-12T11:17:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,808269033522872322,1288568360,everyone,808269033522872322,"Lord,sana pakinggan nyo po ang dasal ko Lord , kayo napo ang bahala, kung gagawin nyo po ba akong manunugtog nyo. :) #hopeful",2016-12-12T11:15:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,808178783442190336,77900576,everyone,808178783442190336,Lost my wallet! Sana may magandang pusong magbalik... #hopeful #positive #goodheart,2016-12-12T05:16:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,807961755146022914,529176571,everyone,807961755146022914,Brother palang na imong tawag sa akoa 😂💔 ma babe lagi na puhon 😂 #hopeful,2016-12-11T14:54:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,807849372159381504,114616356,everyone,807849372159381504,"Masama mainggit,.in Gods time ibibigay din nya ang hinihiling ko| #hopeful",2016-12-11T07:27:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,807563292109512704,104159284,everyone,807563292109512704,Kaawaan nawa.. #hopeful http://someurl,2016-12-10T12:31:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,806702530793119744,117747986,everyone,806702530793119744,Ayaw ko next year inconsistent nako 😆 #hopeful #positive http://someurl,2016-12-08T03:30:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,{'place_id': '58a4c3a0d54e1400'},#hopeful,,
Twitter for Android,806327864878505984,772655580842295296,everyone,806327864878505984,At dahil sa pinag gagawa nila mas ggnahan akong gagawa ng ganito.Eto kasi yung mga malapit na nilang maka level soon| #KW #hopeful #dreamfree http://someurl,2016-12-07T02:41:58.000Z,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 18, 'quote_count': 0}",tl,,#hopeful,,
Mobile Web (M2),805657271476711424,425546378,everyone,805657271476711424,#DearMORPango si Lani ang patunay na hindi basehan ang pisikal na kaanyuan para mahalin ka ng mahal mo. #Hopeful 😂😂,2016-12-05T06:17:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,805641504957952000,594253850,everyone,805641504957952000,Loobin makasama nawa sa aagawin. #mcgibrethrenknows #hopeful,2016-12-05T05:14:37.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,804332009942183941,3383864473,everyone,804332009942183941,"Yung 6 game winning streak ka, pagkatapos maganda pa resulta ng interview mo kahit ang layo ng main branch haha| #GreenDays| #Hopeful| #Waiting",2016-12-01T14:31:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,804029301083369472,403516319,everyone,804029301083369472,"Lord, ibigay mo na sakin to pls... #hopeful",2016-11-30T18:28:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,803991372646653952,195681896,everyone,803991372646653952,Kailan ko pa kaya makikita si jason dy sa personal?😔 #hopeful #mywish @someuser,2016-11-30T15:57:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,803963736839122944,319530310,everyone,803963736839122944,11/27/16| With ate Karen💖 Pretty ng kasama ko ohhhh💖| ~~| #day2 #futurenurses #intime #hopeful 🙏🏼 @someuser http://someurl,2016-11-30T14:07:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,803934100948008960,773004260996853768,everyone,803934100948008960,TV5 na lang pag-asa natin! Sana ma-air nila yung MAMA 2016. Omggg~ #hopeful http://someurl,2016-11-30T12:10:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,803917501755068416,1349228461,everyone,803917501755068416,Ikaw na bahala God!! #faithful #hopeful,2016-11-30T11:04:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,802779454321721344,719833512921210880,everyone,802779454321721344,sana ung prod kanina sa @someuser  lss si elmo ung kaduet ni jea!!! pwede naman next week or the week after #hopeful #WansaHollyMau,2016-11-27T07:41:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,802502924995678208,89690043,everyone,802502924995678208,"Grabe yung panaginip ko kagabi. Well, di naman OA sa pagkagrabe. Pero ang saya lang. And sana tama ang interpretation. Cmon baby! 🙏 #hopeful",2016-11-26T13:23:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,{'place_id': '006523c50dfe9086'},#hopeful,,
Twitter Web Client,801867354246246400,78780761,everyone,801867354246246400,Mashadong binibigay ng exposure sina Will/Luis this week. Sana mataas ang mga padaluck kina Thuy ^_^ #Hopeful #PBBsuperfriends,2016-11-24T19:17:29.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,801593552312508416,495745168,everyone,801593552312508416,@someuser kelan kaya ulit namin kayo ni kristine hermosa makikita sa isang movie? #hopeful #echotineforevz,2016-11-24T01:09:30.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",tl,,#hopeful,156918895,
Facebook,801386702304669696,1379136961,everyone,801386702304669696,Thank You Lord! #lightsOn #soil_electricity| Hayag jud ang kaugmaon pag mosalig lang sa Imoha Lord. ☺| | #hopeful http://someurl,2016-11-23T11:27:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,801366112743079937,195681896,everyone,801366112743079937,Epekto kapag walang magawa.| 😂 Hi baby Jason Dy.Ang kyott.😍| | @someuser #crushsince2014 #hopeful #inspiration #librelangmangarap http://someurl,2016-11-23T10:05:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,800886885052620800,3383864473,everyone,800886885052620800,Haha Araw nalang hinihintay.| Sana ito na talaga.| Hirap nga lang bumyahe araw araw sa meycauayan. :(| #hopeful,2016-11-22T02:21:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Facebook,800627218640580608,1879804027,everyone,800627218640580608,Eto na nga ang ayaw kong mangyari sana. Conflict sa schedule. wag naman sana. Kaya di ko mailabas yung tarp eh.| | #Hopeful,2016-11-21T09:09:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,798583036224753664,2533953709,everyone,798583036224753664,I still believe may magsasabi and gagawa nito sa akin someday. Haha. #Hopeful lol http://someurl,2016-11-15T17:46:47.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,798478223885549568,415460792,everyone,798478223885549568,kelan ba bentahan ng ticket? | nov. 24 po | akala ko ba Wanderland | ih Coldplay na to eh | sige. tignan natin | | #HOPEFUL HUHUHU,2016-11-15T10:50:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,798159062261121026,157940069,everyone,798159062261121026,Napakalaking tulong ng FB sa ngayon. Baka sa FB din mahahanap pamilya ng mga kliyente ko dito. #hopeful,2016-11-14T13:42:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,797753229572325376,67248015,everyone,797753229572325376,Ipon na ba for #MissSaigonMNL soon? #hopeful,2016-11-13T10:49:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Mobile Web (M2),797445896648663041,2893706442,everyone,797445896648663041,I feel like i am gaining weight tho! In Jesus name huhu! Kahit 1 kl lang i am healed in Jesus name lapit na bumalik sa hospital #hopeful,2016-11-12T14:28:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,796654972523966464,1407071066,everyone,796656844580134912,"@someuser Manatili tayong #hopeful. Dahil kung magiging #hopeless tayo, para na rin tayong sumukot nagpatalo.",2016-11-10T10:12:47.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,326684846,"[{'type': 'replied_to', 'id': '796654972523966464'}]"
Facebook,796655793546334209,326684846,everyone,796655793546334209,"Ay Rey Valera opens our ep tonight: Malayo pa ang umaga, di matanaw ang pag-asa #hopeful or #hopless",2016-11-10T10:08:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Facebook,796654972523966464,326684846,everyone,796654972523966464,Dahil sa mga nangyayari ngayon kayo ba ay #Hopeful or #Hopeless?,2016-11-10T10:05:21.000Z,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,796314941040922624,279514600,everyone,796314941040922624,Basta makapagtuloy ng BSA next school year Lord. #hopeful,2016-11-09T11:34:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,795574916120616960,774801717175066625,everyone,795574916120616960,"Umaasa ako na sana kantahin ni E yung Baliw ni MM at baguhin ang lyrics at gawing Oh Kisses aking prinsesa, gusto na gusto kita. #hopeful",2016-11-07T10:33:35.000Z,"{'retweet_count': 31, 'reply_count': 1, 'like_count': 76, 'quote_count': 0}",tl,,#hopeful,,
Mobile Web (M2),795225770385965056,111805612,everyone,795245364953673728,@someuser @someuser sana TAKING OFF na ito ng ONE OK ROCK!! #hopeful!,2016-11-06T12:44:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,45461766,"[{'type': 'replied_to', 'id': '795225770385965056'}]"
Mobile Web (M2),794428407740186625,698923081801162752,everyone,794428407740186625,soon | Makakapag Study dn ako :)| Promise Next Year May ipon nko :)| 14k Para sa tuition maiipon dn kta :)| #Hopeful,2016-11-04T06:37:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,794316431991050240,765315442227503104,everyone,794316431991050240,Sana ako din kasing swerte mo kuya. #hopeful http://someurl,2016-11-03T23:12:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
