id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,geo
810443551679057920,Instagram,810443551679057920,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-18T11:16:14.000Z,好爽喔 爽到翻天！！ 花錢很爽！！難得聖誕狂買！一點罪惡感都沒有～ #hopeful #精戰 #7600送800 @ Qsquare 京站時尚廣場 http://someurl,2289037802,zh,#hopeful,
799765830875508736,Twitter for Android,799765830875508736,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-19T00:06:47.000Z,#NewDAy 我又该开始新的一天了！唉～真是苦逼啊...主啊！ #helpme 这个世界太危险！而我太纯真！ #hopeful I thought I can recover.尽量的把每一天过好吧！希望自己好！人人都好！ #junhua #chinese  #中文,4487133446,zh,#hopeful,
756141551705853952,Instagram,756141551705853952,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-21T14:59:29.000Z,工作倒數一週！想玩水想度假⛱️| 度假兩天就要開始新工作了💪🏼| 既期待又怕受傷害的新挑戰🙈| #going #to #a #new #job #one #week #hopeful #jain... http://someurl,514481235,zh,#hopeful,
704178204081192960,Twitter for Android,704178204081192960,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-29T05:35:41.000Z,Make  a wish| | 許願樹承載著大家的心願| | 四年一次的2/29| | 用正能量傳遞滿滿幸福| | #hopeful | | http://someurl http://someurl,4712506447,zh,#hopeful,
694036838722453504,Instagram,694036838722453504,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-01T05:57:31.000Z,我知道，你快回來了| | 就像這溫暖的陽光| | 當夏至未至的時候| | 很快就會到來| #greenery #nice #spring #comfy #green #hopeful #love... http://someurl,1591126591,zh,#hopeful,
641631759600250880,Facebook,641631759600250880,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-09-09T15:18:27.000Z,明日定會有好天氣󾌵 Repost @someuser with @someuser #rx100m4 #hkig #hopeful #bluesky #慢活細看 http://someurl,2834632518,zh,#hopeful,
641102503539568640,Instagram,641102503539568640,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-09-08T04:15:22.000Z,First meal of the day. #hopeful #joyful ✨ @ Nola Kitchen 紐澳良小廚 - 新竹科園店 http://someurl,1083209023,zh,#hopeful,
636199560423956480,Echofon,636199560423956480,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-08-25T15:32:49.000Z,好久没有这种期待的感觉 😃 | #hopeful,163818672,zh,#hopeful,
616289692590301184,Twitter for iPhone,616289692590301184,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-07-01T16:58:07.000Z,"是否每一次的挫折都會有ㄧ次進步| 是否每一次悲傷都會帶來一次快樂| 每次的挫折都讓我瞭解到自己應該學會成長, 但始終無法達到| 朋友們的關心安慰真的令人很感動| 希望這次能真正讓我成長| 不過現在依然無法走出來...| #hopeful http://someurl",1971081632,zh,#hopeful,
612762249128767488,Instagram,612762249128767488,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-06-21T23:21:19.000Z,雨后终会有彩虹 Rainbow after storm. #NYC #nycgal #love #hopeful #beautiful #summer #newyorkcity #instatravel... http://someurl,6156612,zh,#hopeful,
