reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,referenced_tweets,in_reply_to_user_id,geo
everyone,en,814980604223770625,452684649,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814980604223770625,Rolling around with a baggy @someuser on my phone cause I gave my last one to @someuser 😂🙈#Pissed,Twitter for iPhone,2016-12-30T23:44:52.000Z,#pissed,,,
everyone,en,814977831553892352,28140831,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814977831553892352,One day phone screen repair has turned into a wk & a half...still no phone....wtf. 😡 #pissed. Msg me on social if u need to get a hold of me,Twitter for Android,2016-12-30T23:33:51.000Z,#pissed,,,
everyone,en,814977325456654340,995376253,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814977325456654340,You arent going to get anything from me if you hang up while Im speaking to you. #pissed,Twitter for iPhone,2016-12-30T23:31:50.000Z,#pissed,,,
everyone,en,814971985969160193,27164226,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814971985969160193,"DO NOT, I repeat DO NOT  use DuPont Goodrich FCU APP to take a picture and deposit a check.... ughhhhhhhhh #pissed",Facebook,2016-12-30T23:10:37.000Z,#pissed,,,
everyone,en,814934467722756096,521045953,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",814947279379529733,@someuser so I got mine done yesterday by our favorite person! #Pissed! 😠😤,Twitter for iPhone,2016-12-30T21:32:27.000Z,#pissed,"[{'type': 'replied_to', 'id': '814934467722756096'}]",511067034,
everyone,en,814943475594653697,360177309,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814943475594653697,Guess I will just go back to being a straight asshole to you again. #OverThis #Pissed #INeedToGoToTexas,Twitter for iPhone,2016-12-30T21:17:20.000Z,#pissed,,,{'place_id': '3b98b02fba3f9753'}
everyone,en,814942265118367744,2993624280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814942265118367744,SRT out of commission for a while ... #pissed,Twitter for Android,2016-12-30T21:12:31.000Z,#pissed,,,
everyone,en,814941405055479809,319289762,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",814941405055479809,Cba me and Sam inviting people places and then being lied to about why they cant come😂😂 GROW UP PLS #pissed,Twitter for iPhone,2016-12-30T21:09:06.000Z,#pissed,,,
everyone,en,814934152113844224,94386891,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",814934152113844224,when you get get locked out of both of your @someuser accounts. This is fucking bullshit #pissed #ijustforgotmypassword #fuckthis,Twitter Web Client,2016-12-30T20:40:17.000Z,#pissed,,,
everyone,en,814584483609448448,814524382462799872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814925134318489600,@someuser i am very salty about it #pissed lol,Twitter for iPhone,2016-12-30T20:04:27.000Z,#pissed,"[{'type': 'replied_to', 'id': '814901480314589185'}]",3158355134,
everyone,en,814924041735835649,3186018875,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814924513905430529,@someuser also #pissed #tired #HoneyMoon and of course #foggylondon #foggy #fog,Twitter for Android,2016-12-30T20:01:59.000Z,#pissed,"[{'type': 'replied_to', 'id': '814924041735835649'}]",3186018875,
everyone,en,814914058545610752,57449812,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814914058545610752,$100 for damn oil change! 🤒😬 #pissed,TweetCaster for Android,2016-12-30T19:20:26.000Z,#pissed,,,
everyone,en,814912373240823808,244358175,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814912373240823808,Just survived an accident this ban of not moving @ nite is shit #pissed,Twitter for BlackBerry,2016-12-30T19:13:44.000Z,#pissed,,,
everyone,en,814912226108776448,234554185,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814912226108776448,Forget not to get crunchies in my salad every time #pissed,Twitter for iPhone,2016-12-30T19:13:09.000Z,#pissed,,,
everyone,en,814907372267274242,396028186,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814907372267274242,Guess Casper paid another visit to the house. #pissed,Twitter for iPhone,2016-12-30T18:53:52.000Z,#pissed,,,{'place_id': 'b0e50abc7e3f7363'}
everyone,en,814906640499671040,2440706318,"{'retweet_count': 4, 'reply_count': 4, 'like_count': 12, 'quote_count': 0}",814906640499671040,"Chad coming in to find his SECOND choice for the evening...his wife, his soulmate, the mother of his child.😡😭 #Days #Chabby #pissed",Twitter for Android,2016-12-30T18:50:57.000Z,#pissed,,,
everyone,en,814905513964109824,284629430,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814905513964109824,@someuser such bad customer service. Been sitting at DTW since 4:30 AM & STILL DELAYED!!! a $200 voucher is not enough. #pissed,Twitter for iPhone,2016-12-30T18:46:29.000Z,#pissed,,6449282,{'place_id': '781e991b9f95b37f'}
everyone,en,814905138322214916,1636829887,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814905138322214916,"@someuser not only messed up my order once, but twice!!! #pissed",Twitter for iPhone,2016-12-30T18:44:59.000Z,#pissed,,16043308,
everyone,en,814905124132896768,521982716,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814905124132896768,Now I have to change my whole outfit #pissed,Twitter for iPhone,2016-12-30T18:44:56.000Z,#pissed,,,
everyone,en,814905052309532672,913397870,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814905052309532672,"@someuser I purchased $1200 dishwasher days ago, still no call for install. Sears rep said no other installer in my area #SoCal. #pissed http://someurl",Twitter for Android,2016-12-30T18:44:39.000Z,#pissed,,19464428,
everyone,en,814900819044597760,2754078731,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814900819044597760,They told me when I scheduled her brain scan I would be allowed back there with her - Stuck outside waiting #pissed #worried,Twitter for iPhone,2016-12-30T18:27:50.000Z,#pissed,,,{'place_id': '07d9e39e75c85004'}
everyone,en,814892924005662720,808400965611220992,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814892924005662720,You ever feel like just dropping everything and slamming the door on the way out? #pissed,Twitter for iPhone,2016-12-30T17:56:27.000Z,#pissed,,,
everyone,en,814889355709939712,119227451,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814889355709939712,Boo changed his avi #pissed,Twitter for iPhone,2016-12-30T17:42:16.000Z,#pissed,,,
