lang,public_metrics,id,text,author_id,reply_settings,created_at,conversation_id,source,search_query,geo,in_reply_to_user_id,referenced_tweets
es,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814282643252641793,Qué sería de simple plan si no existiera Brasil? A qué país LE ADORARIAN TANTO??! #pissed,2538203665,everyone,2016-12-29T01:31:25.000Z,814282643252641793,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",812993831469776896,Aunque también algo #pissed porque de 7 regalos que se dieron 3 se compraron en Sephora y no me pidieron mi tarjeta socio,2301537385,everyone,2016-12-25T12:10:08.000Z,812993831469776896,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811312016438788096,Estoy tan malditamente molesta ahora mismo que no puedo ni pensar con claridad #pissed #angry #sodamnangry,809073273698979841,everyone,2016-12-20T20:47:12.000Z,811312016438788096,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808775758713942016,#pissed porn porno american http://someurl,585915387,everyone,2016-12-13T20:49:01.000Z,808775758713942016,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808494474028584960,Clima cholero. #pissed,104005671,everyone,2016-12-13T02:11:18.000Z,808494474028584960,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",808028421297160192,Cuando no puedes verificar tu numero en @someuser y nadie te resuelve ni madres ! #Pissed,931104072,everyone,2016-12-11T19:19:22.000Z,808028421297160192,Twitter for Android,#pissed,{'place_id': '90a5d505052f7bae'},,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",806151107454046208,Ride de Twenty One Pilots se merecía un Grammy al menos estoy #pissed,2738973669,everyone,2016-12-06T14:59:36.000Z,806151107454046208,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",804910643321126912,teen lesbian sister #pissed porn http://someurl,1684061298,everyone,2016-12-03T04:50:26.000Z,804910643321126912,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",804333382427623424,¿Por qué todo solapa? #pissed,2890610417,everyone,2016-12-01T14:36:36.000Z,804333332376993792,Twitter Web Client,#pissed,,2890610417,"[{'type': 'replied_to', 'id': '804333332376993792'}]"
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",803996059320143874,Jania http://someurl en #follow4follow #truethat #believeinyourself #pissed #jogja #copete,2839618340,everyone,2016-11-30T16:16:12.000Z,803996059320143874,MEGAPO.ST,#pissed,,,
