source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,referenced_tweets,in_reply_to_user_id,geo
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2766479038,Matt Le Tissiers Prem Player of 2016 is ...... Virgil Van Dijk 🤣 #pissed,812676514294693889,812676514294693889,nl,everyone,2016-12-24T15:09:14.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 3, 'quote_count': 0}",2748320410,"290 Rooseveltplaats Antwerpen - Boom 13:20??? @someuser schandalig, hoe moet ne mens nog ergens geraken?! #pissed",811914660299546624,811914660299546624,nl,everyone,2016-12-22T12:41:54.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3057905576,"@someuser @someuser @someuser Het is inderdaad oorlog, maar die stomme politici beseffen dat niet. Incompetente zakken. #pissed",811256690188447745,810947016746565632,nl,everyone,2016-12-20T17:07:22.000Z,#pissed,"[{'type': 'replied_to', 'id': '810954538303754242'}]",220311287,
TweetDeck,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",293001743,Wat een drama @someuser #pechhulp ! Niks proberen te repareren sturen direct #Berger #Takel #pissed,810098920051396608,810098920051396608,nl,everyone,2016-12-17T12:26:48.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",234522822,Wat begon als een leuk kerstfeest eindigde met een uur lang zoeken naar mijn jas die nergens meer te vinden was. #pissed,810085671650164736,810085671650164736,nl,everyone,2016-12-17T11:34:09.000Z,#pissed,,,
Tweetbot for iΟS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",117712632,@someuser ik ben echt #pissed #off!  #buttfucked door de #minister #president #rutte #himself. #ZetVlagHalfStok,809455260779577347,809454515535507456,nl,everyone,2016-12-15T17:49:07.000Z,#pissed,"[{'type': 'replied_to', 'id': '809454515535507456'}]",36447473,
Twitter for Windows,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",780839253781598209,Ik vind het regelrecht Bullschit dat de Mc Donalds op de markt in Maastricht verdwijnt omdat meneer een saladebar erbij wil maken #Pissed!,804612548108677120,804612548108677120,nl,everyone,2016-12-02T09:05:55.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",115842854,"Fijn hoor betaal je jaren premie, gaat er 1 x wat kapot, vergoeden ze het niet omdat in de voorwaarden staat....  Snel weg bij #zelf #pissed",803218446553071616,803218446553071616,nl,everyone,2016-11-28T12:46:15.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",248588043,@someuser Kontich. Om 18:01 de deur niet meer openen voor pakket - al betaald - aan te nemen. Knap staaltje ambtenarij. Chapeau! #pissed http://someurl,801834428389609477,801834428389609477,nl,everyone,2016-11-24T17:06:39.000Z,#pissed,,156427043,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",4701382877,"@someuser Vgl zoals Linkse elite/kleine man zijn degenererend,vergroten onrust.Wat met Rechtse elite & #GWS?Ben e gewone burger e #pissed",801337577462759424,801331445658750977,nl,everyone,2016-11-23T08:12:21.000Z,#pissed,"[{'type': 'replied_to', 'id': '801331445658750977'}]",1608920108,
