lang,created_at,public_metrics,reply_settings,text,id,author_id,conversation_id,source,search_query,geo,referenced_tweets,in_reply_to_user_id
pt,2016-12-26T20:06:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Legenda para essa foto: Puta da vida! #pissed #cat #feline #bath http://someurl,813476196524691456,70689910,813476196524691456,Instagram,#pissed,,,
pt,2016-12-25T22:18:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,KD is #pissed,813146923242782720,543005710,813146923242782720,Twitter for iPhone,#pissed,,,
pt,2016-12-23T14:49:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Mas será que em todos os trabalhos que eu entro há sempre alguém para me foder a vida!! #pissed 😡,812309126814584832,2279225634,812309126814584832,Twitter for iPhone,#pissed,,,
pt,2016-12-22T13:50:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,A desgraça do youtube não está mostrando meus vídeos aos meus inscritos! #pissed,811931930639929344,129159941,811931930639929344,Facebook,#pissed,,,
it,2016-12-18T06:16:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,A B O S A DO ! ! ! | | #pissed,810368164315807745,269663015,810368164315807745,Twitter for iPhone,#pissed,{'place_id': '01f01a153f2e384d'},,
pt,2016-12-14T23:56:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Greensboro* #pissed http://someurl,809185229801979911,1553581710,809185229801979911,Twitter for iPhone,#pissed,,"[{'type': 'quoted', 'id': '809184174749974534'}]",
pt,2016-12-14T09:59:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#pissed porn sex camera http://someurl,808974603200634880,251513372,808974603200634880,Twitter Web Client,#pissed,,,
pt,2016-12-04T20:18:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,porn putas #pissed porn http://someurl,805506589897658368,711735403,805506589897658368,Twitter Web Client,#pissed,,,
pt,2016-12-03T10:04:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Pamela http://someurl os #girls #whiteisland #fatherdaughter #pissed  #vacaciones,804989587999391745,2791797040,804989587999391745,MEGAPO.ST,#pissed,,,
pt,2016-11-07T04:09:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",everyone,A Mulher do Mal!| #evil #girl #photoshop #photoshoppainting #josemi #comicart #heart #pissed #putadacara http://someurl,795478256510238720,49325181,795478256510238720,TweetDeck,#pissed,,,
pt,2016-10-23T18:40:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Domingão de folga e sem energia. Thank you a lot #pissed,790261597386248193,38861924,790261597386248193,Twitter for Android,#pissed,,,
pt,2016-10-22T07:29:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#pissed ha #reflex @ Reflex Bolton http://someurl,789730464068141057,742460485,789730464068141057,Instagram,#pissed,"{'coordinates': {'type': 'Point', 'coordinates': [-2.4270247, 53.5797535]}, 'place_id': '548c7806c1e1b70f'}",,
pt,2016-10-16T12:36:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Brita http://someurl ok #guy #sale #doubletapyay #fuckyou #pissed #of,787633253087846400,2790828532,787633253087846400,MEGAPO.ST,#pissed,,,
pt,2016-10-15T05:33:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Patricia http://someurl im #black #siguemeytesigo #all #darkness #pissed #weddingphotography,787164377787031556,2791797040,787164377787031556,MEGAPO.ST,#pissed,,,
