created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
2016-12-13T09:02:24.000Z,Plurk,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",我不知道該說些什麼⋯I dont know what to say anymore⋯ #feelings #sad #pissed #pissedoff #whataliar #lies #liar #depresse... http://someurl,808597931871916032,45514461,808597931871916032,everyone,zh,#pissed,,,
2016-11-15T14:48:48.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",如果一個人沒有苦難的感受，| 就不容易對他人給予同情。| | 你要學救苦救難的精神，| 就得先受苦受難。| | #People are realistic| #pissed off http://someurl,798538244170223620,4659344672,798538244170223620,everyone,zh,#pissed,,,
2016-06-22T01:57:24.000Z,Twitter Web Client,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",我不介意放假，而且放假可以促進消費，但是“光復節”、“蔣公誕辰”、“國父誕辰”... 靠我選“民主”進步黨是選假的喔！？莫名其妙。#Tsai #DPP #Taiwan #Pissed,745435487020580864,49681710,745435487020580864,everyone,zh,#pissed,,,
2016-06-11T06:06:07.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",白目的人無所不在，無時無刻都在考驗著你的EQ.. #pissed http://someurl,741511814899322880,1915111465,741511814899322880,everyone,zh,#pissed,,,
2015-08-03T07:08:00.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","袖手旁观者等于参与者! | 如果有看到火灾你不理,那以后同样的事发生在你身上你可别喊救命! | #pissed !",628099984882204672,176719490,628099984882204672,everyone,zh,#pissed,,,
2015-07-05T16:23:25.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",He is totally #pissed...只剩4小時睡覺兒！還是要洗頭😑 也算是ㄧ種 #relationship #goal http://someurl,617730510589153280,27868610,617730510589153280,everyone,zh,#pissed,,,
2015-05-05T13:18:54.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",知道我脾气不好 就不要惹我😈| I m #stubborn enuf to #ignore everything. Dont #pissed me or else I will become your... http://someurl,595578417443123201,352927298,595578417443123201,everyone,zh,#pissed,,,
2015-03-14T10:18:57.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",-| 自由不是像財產一樣的物件，而是人與生俱來永恆的權利。| #hkig #iger #thoughts #art #artist #artstudent #pissed #sadness #college... http://someurl,576688960367267840,461887220,576688960367267840,everyone,zh,#pissed,,,
2014-11-02T00:51:55.000Z,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Tdaqbj taj正 @someuser 违法乱纪 目标价他距离::mdua.h cdwg@someuser #pissed,528711065920471040,1229932124,528711065920471040,everyone,zh,#pissed,,,
2014-09-22T05:50:52.000Z,twitterfeed,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Mariza #pissed #slut #escort #in #Omaha #Nebraska [#Harbin 850] >>:  http://someurl 哈尔滨,513928396116463616,1131107958,513928396116463616,everyone,zh,#pissed,,,
2014-08-24T14:34:31.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Shit happens，bad day别问我发生了什么❕❕❕疼 ❕❕❕#shit #fuck #crap #damn #pissed #retarted #jaded #靠 #操 #麻痹 #疼👎👎👎 http://someurl,503550929438638082,766685762,503550929438638082,everyone,zh,#pissed,,,
2014-07-22T15:49:21.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","请你好好记住你对我说过的话,| 因为我决不会忘记| 将来，我也会让你知道什么叫‘滋味儿’. :)| #pissed #off",491610961069871104,1503819913,491610961069871104,everyone,zh,#pissed,,,
2014-06-24T08:46:02.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",joanneoh 的公主猫Vivi貌似不是很开心我打扰她睡午觉。 #pissed http://someurl,481357567919419392,104425799,481357567919419392,everyone,zh,#pissed,,,
2014-06-20T12:27:37.000Z,twitterfeed,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Crazy #old #lesbians #love #to #be #pissed #in #the #face [#Dongguan 801]:  http://someurl Dongguan 东莞,479963779875082240,292341203,479963779875082240,everyone,zh,#pissed,,,
2014-06-19T13:40:37.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",好心被雷劈🌵😡 DAMN YOU #Pissed,479619762750636033,478437388,479619762750636033,everyone,zh,#pissed,,,
2014-05-10T11:59:04.000Z,twitterfeed,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Mariza #pissed #slut #escort #in #Omaha #Nebraska [#texas 854]:  http://someurl 可爱的女孩在,465098694891552768,247324113,465098694891552768,everyone,zh,#pissed,,,
