source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,geo,referenced_tweets,in_reply_to_user_id
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",636684595,Get to hit up ESCM with @someuser tonight! #pumped,814983352377872384,814983352377872384,en,everyone,2016-12-30T23:55:47.000Z,#pumped,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",635040299,Merry Christmas and a happy new year to me!!! #pumped #healthyliving #lifestyle #dedication... http://someurl,814979988122255360,814979988122255360,en,everyone,2016-12-30T23:42:25.000Z,#pumped,"{'place_id': '6a0a3474d8c5113c', 'coordinates': {'type': 'Point', 'coordinates': [-106.3025818, 31.7634602]}}",,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1462489831,Staying in the same hotel as the Duke team. #pumped#fangirl,814979761743286273,814979761743286273,en,everyone,2016-12-30T23:41:31.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1655661948,Josie gave me her bath & body works gift card #pumped,814974176251576322,814974176251576322,en,everyone,2016-12-30T23:19:19.000Z,#pumped,{'place_id': '046f4f5c96e7e0d5'},,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",1966018927,Who wins in the main events in UFC 207 #RouseyVsNunes and #CruzVsGarbrandt ? #pumped,814973968872390656,814973968872390656,en,everyone,2016-12-30T23:18:30.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",606747275,"Skyler coming home, UL football with the bros, a little basketball and New Years Party. So ready for tomorrow. #pumped",814969562403893250,814969562403893250,en,everyone,2016-12-30T23:00:59.000Z,#pumped,,,
Sprout Social,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1897867573,Our current feelings toward 2017. #Pumped 💪🏾 http://someurl,814969366781509632,814969366781509632,en,everyone,2016-12-30T23:00:13.000Z,#pumped,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",730617438530863105,"MAGFest is approaching rapidly. Two years ago I went for a day, this year Ill be at the whole festival! #pumped",814965598451105793,814965598451105793,en,everyone,2016-12-30T22:45:14.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",755266519454494720,Play Fit To Win $500 #instantwingame for a chance to win #fitness #4K #5K #pumped #running http://someurl via @someuser,814953911815643140,814953911815643140,en,everyone,2016-12-30T21:58:48.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",17610271,"When Im at the #Gym and Derek and the Dominos Bell Bottom Blues comes on, it really gets me in the #Zone!| #Pumped #Blessed #WorkIt",814948320300777472,814948320300777472,en,everyone,2016-12-30T21:36:35.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",611936780,On no sleep and get to work the Ronda Rousey fight at a sports bar with loud drunks #pumped,814947511882240000,814947511882240000,en,everyone,2016-12-30T21:33:22.000Z,#pumped,{'place_id': '44d207663001f00b'},,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",45342179,Getting pumped for 2017....#cheers to a rockin #NewYear! #pumped #workhard #smile #bikes #bicycles #socool #fun #santamonica #goodtimes http://someurl,814944731733987328,814944731733987328,en,everyone,2016-12-30T21:22:19.000Z,#pumped,{'place_id': '59612bd882018c51'},,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2680534201,Time for a haircut and some coffee then off to the @someuser store for the overnight LAN #PUMPED http://someurl,814941187354279938,814941187354279938,en,everyone,2016-12-30T21:08:14.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",865502154,Dont know if Ive ever been more excited for a @someuser home opener before. #pumped #GoBandits #BanditLand,814940991438385152,814940991438385152,en,everyone,2016-12-30T21:07:27.000Z,#pumped,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",380091173,Tomorrow night!!! 🎸🎶🎉🍾 #marriott #littlerock #bethere #newyears #ZDB #pumped http://someurl,814935213797244928,814935213797244928,en,everyone,2016-12-30T20:44:30.000Z,#pumped,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",876706980,Cant wait!!! #pumped http://someurl,814927543191162880,814927543191162880,en,everyone,2016-12-30T20:14:01.000Z,#pumped,,"[{'type': 'quoted', 'id': '814889306380783616'}]",
Periscope,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",3306455767,Thank you 2016 #gratitude #pumped #change is #good http://someurl,814920785949167616,814920785949167616,en,everyone,2016-12-30T19:47:10.000Z,#pumped,,,
