id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
814235765534232576,Twitter Web Client,814235765534232576,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T22:25:08.000Z,#pumped cock sex sex elegant http://someurl,350173119,es,#pumped,,,
813994729511780352,Twitter Web Client,813994729511780352,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T06:27:21.000Z,peliculas pornos #pumped black pussy http://someurl,124319919,es,#pumped,,,
813845457126490112,Twitter Web Client,813845457126490112,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T20:34:12.000Z,#pumped pussy photos orca sex http://someurl,280253482,es,#pumped,,,
813022050541588480,Twitter for Android,813022050541588480,everyone,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",2016-12-25T14:02:16.000Z,Yo tras ver el trailer de #AlienCovenant | | #pumped #FuckYeah http://someurl,27601475,es,#pumped,,,
811852789269823488,Twitter Web Client,811852789269823488,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T08:36:03.000Z,#pumped pussy movie el mejor sexo anal http://someurl,467453099,es,#pumped,,,
811068285366239232,Twitter Web Client,811068285366239232,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T04:38:42.000Z,sex elegant #pumped cock sex http://someurl,240417371,cy,#pumped,,,
810934238585487360,Instagram,810934238585487360,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T19:46:03.000Z,A mantenerse en forma estas fiestas porque esta ca...! #xmas #fit #gymaddict #pumped http://someurl,16669292,es,#pumped,,,
810651388678209537,Twitter Web Client,810651388678209537,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T01:02:06.000Z,#pumped up pussy videos videos enanos porno http://someurl,179148401,es,#pumped,,,
810637483205480448,Instagram,810637483205480448,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T00:06:51.000Z,"#Pumped #5yrds #BKCustomConcrete #BofA @ Vallejo, California http://someurl",470007051,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [-122.236, 38.113]}, 'place_id': '7b5667de9caf1b92'}",,
807950794435784705,Twitter Web Client,807950794435784705,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-11T14:10:55.000Z,#pumped pussy galleries dicaprio fukc boy sexpron http://someurl,379169672,es,#pumped,,,
806526251867336704,Instagram,806526251867336704,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-07T15:50:17.000Z,Como me encanta esta cancion !| | #pumped up kids #fosterthepeople  #music http://someurl,2957658447,es,#pumped,,,
805176869624643584,TweetCaster for Android,805176869624643584,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-03T22:28:19.000Z,#TheLastofUs2 nuff said. No hay más nada que hablar. Cant wait #pumped #pompeaera #excited,92842739,es,#pumped,,,
804642251703889920,Instagram,804642251703889920,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-02T11:03:56.000Z,"Cuando alguien dice cañas, todos armamos excursión por el metro. 😜 #Pumped #FullCharge... http://someurl",92456983,es,#pumped,,,
804503262384844800,Twitter for iPhone,804503262384844800,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-02T01:51:39.000Z,En serio no puedo creer que ya se está acabando el 2016 😱🎉 #pumped,322188332,es,#pumped,,,
804331239889059840,Twitter Web Client,804331239889059840,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-01T14:28:05.000Z,#pumped pussy movie venezuelan woman pics nude http://someurl,366100511,es,#pumped,,,
800151495027130368,Twitter for Android,800147049932955649,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-20T01:39:17.000Z,@someuser vamooooo a ver como sale la vainaaa | #PUMPED,249386463,es,#pumped,,"[{'type': 'replied_to', 'id': '800150060398968834'}]",488628760
796088128138342400,Instagram,796088128138342400,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-08T20:32:55.000Z,"Dr. Strange with my boy! #Pumped #Excite #NoClueWhatItIsAboig #DangBoy @ Pié De Pató, Choco,... http://someurl",541846269,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [-76.995, 5.52583]}, 'place_id': '01a041721155079a'}",,
794549042428735488,Instagram,794549042428735488,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-04T14:37:08.000Z,#pumped #enjoyingtheview #koreshanstatepark @ Estero River http://someurl,3172471647,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [-81.85713889, 26.43161111]}, 'place_id': '4ec01c9dbc693497'}",,
793825803893080064,Twitter for Android,793825803893080064,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-02T14:43:14.000Z,"Cansado y con mucho ajetreo por las obligaciones, casi sin hueco en el día, toca entrenar en mi poco disponible.| #FelizMiercoles | #pumped",793448070390439936,es,#pumped,,,
793049936334090241,Instagram,793049936334090241,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-31T11:20:13.000Z,Ready for Siquijor! 💪🏾 #pumped #shortvacay @ Muscle District http://someurl,3305611699,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [122.97921783, 10.69749069]}, 'place_id': '01f6d94a76b32983'}",,
791282825626542080,Twitter for iPhone,791282825626542080,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-26T14:18:21.000Z,"Empezó el evento de Microchot, solo quiero ver al gran Panos Panay #pumped",134862759,es,#pumped,,,
787189425016934400,Instagram,787189425016934400,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-15T07:12:38.000Z,Hora de levantarse!!! #goodmorning #go #up #training #gym #pumped #fitness #instafit #instafuck http://someurl,307578531,es,#pumped,,,
785956973778829312,Instagram,785956973778829312,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-11T21:35:19.000Z,"#AbsoluteConcrete #Pumped #HouseSlab @ Paradise, Ca 95969 http://someurl",470007051,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [-121.5926917, 39.77109294]}, 'place_id': 'ca9dad2bd6490ee0'}",,
785929309622009856,Twitter for Windows Phone,785929309622009856,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-11T19:45:23.000Z,Habemus co-diseño! #PUMPED 💪💪💪,35269540,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [-56.15031553, -34.89015978]}, 'place_id': '01a9dbb9232f0fac'}",,
784097202851475456,Instagram,784097202851475456,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-06T18:25:15.000Z,Expo #rnrbrooklyn #halfmarathon #leggo #pumped #runnerd #phisigsrunbrooklyn #phisigsrunthiscity... http://someurl,226455831,es,#pumped,"{'coordinates': {'type': 'Point', 'coordinates': [-73.9909799, 40.75014]}, 'place_id': '01a9a39529b27f36'}",,
783453121783721984,Twitter Web Client,783453121783721984,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-04T23:45:54.000Z,#pumped pussy gallery videos caseros desexo http://someurl,1630912266,es,#pumped,,,
781070809729236992,Twitter for Android,781070809729236992,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-28T09:59:27.000Z,AUDS!! #pumped,238954646,es,#pumped,,,
780651605519511552,Twitter for Android,780651605519511552,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-27T06:13:41.000Z,Mañana a acampar a echological  y en unos días nos vamos a #CDMX a ver a @someuser #pumped,39099763,es,#pumped,,,
