lang,public_metrics,id,text,author_id,reply_settings,created_at,conversation_id,source,search_query,referenced_tweets,geo,in_reply_to_user_id
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811101615826599936,#pumped black pussy star trek teen http://someurl,855466578,everyone,2016-12-20T06:51:09.000Z,811101615826599936,Twitter Web Client,#pumped,,,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810893716525289472,@someuser account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,211039393,everyone,2016-12-19T17:05:02.000Z,810893716525289472,Twitter Web Client,#pumped,,,
nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810841610380603392,RT @someuser Hoe bereid je je voor op een sollicitatie gesprek? Luisteren naar @someuser op @someuser natuurlijk😁 http://someurl,22032691,everyone,2016-12-19T13:37:59.000Z,810841610380603392,Twitter for Android,#pumped,"[{'type': 'retweeted', 'id': '810836746770534401'}]",,
nl,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}",810836746770534401,Hoe bereid je je voor op een sollicitatie gesprek? Luisteren naar @someuser op @someuser natuurlijk😁 http://someurl #pumped,23189177,everyone,2016-12-19T13:18:39.000Z,810836746770534401,Twitter for iPhone,#pumped,,{'place_id': '879d7cfc66c9c290'},
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",808283982005760000,Vanavond op testrit bij deliveroo #pumped,19108981,everyone,2016-12-12T12:14:53.000Z,808283982005760000,Twitter for Android,#pumped,,,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",806958492007407617,De hometrainer een uur getrasht met pumped up muziek in mijn oren. Ik wilde dat ding kapot op het einde. #pumped,515300366,everyone,2016-12-08T20:27:51.000Z,806958492007407617,Twitter for Android,#pumped,,,
nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789408399750418433,RT @someuser: Onze video specialist is momenteel een promotie video aan het maken #pumped,384926904,everyone,2016-10-21T10:10:03.000Z,789408399750418433,Twitter Web Client,#pumped,"[{'type': 'retweeted', 'id': '789408327692193793'}]",,
nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",789408327692193793,Onze video specialist is momenteel een promotie video aan het maken #pumped,785824359583657984,everyone,2016-10-21T10:09:46.000Z,789408327692193793,Twitter Web Client,#pumped,,,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",787488652997824512,@someuser see you on snl😍 #pumped,2618853534,everyone,2016-10-16T03:01:40.000Z,787488652997824512,Twitter for iPhone,#pumped,,,100220864
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",780303909902491648,lekker naar de redactie van de schoolkrant #zekiezenmijntweet #pumped,775241932469596160,everyone,2016-09-26T07:12:04.000Z,780303909902491648,Twitter Web Client,#pumped,,,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",771466903701360640,NCAAF > NFL 💥💪🏻🏈 #PUMPED,298259541,everyone,2016-09-01T21:56:57.000Z,771466903701360640,Twitter for iPhone,#pumped,,,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",770400754347769856,Protein Scoop - Gym Humor http://someurl via @someuser #swolemates #shredded #pumped #pumpedup #jacked #aesthetics,3084473207,everyone,2016-08-29T23:20:27.000Z,770400754347769856,Twitter Web Client,#pumped,,,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",756631432081047554,@someuser Dus op deze pagina? Of op dat YouTube-kanaal? #pumped,367676040,everyone,2016-07-22T23:26:05.000Z,756573161878093825,Twitter for Android,#pumped,"[{'type': 'replied_to', 'id': '756573161878093825'}]",,1260628848
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",756488671071567872,BALLROOM BLITZ #PUMPED #me :p http://someurl,605723819,everyone,2016-07-22T13:58:48.000Z,756488671071567872,Twitter for iPhone,#pumped,"[{'type': 'quoted', 'id': '754374664588099584'}]",,
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",755409570256871424,@someuser steelers Renegade by Styxx! #pumped,1240592731,everyone,2016-07-19T14:30:51.000Z,755409570256871424,Twitter for iPhone,#pumped,,,453514087
nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",754180706268512256,💋| #nsfw| #emo teens| 💎 Zoe Chapman| ▶▶| http://someurl| #pumped pussy| #red head http://someurl,902940428,everyone,2016-07-16T05:07:47.000Z,754180706268512256,Twitter Web Client,#pumped,,,
