source,public_metrics,geo,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,in_reply_to_user_id,referenced_tweets
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '0073b76548e5984f'},145913681,B. Pibby #evie #pumped 🎢,813957472754900993,813957472754900993,pt,everyone,2016-12-28T03:59:18.000Z,#pumped,,
Radio Beats FM,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3198009484,#RadioBeats #PUMPED UP KICKS - FOSTER THE PEOPLE | Ouça agora http://someurl,813184553309376513,813184553309376513,pt,everyone,2016-12-26T00:48:00.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,800804342,Listas para Maná! #chivasrocksmana #VivirSinAire #pumped http://someurl,791430979701342209,791430979701342209,pt,everyone,2016-10-27T00:07:04.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,2244045340,Viva cada Session ✔| #bmx #flatland #trick #pumped #session #training #bikelife #saopaulo #zonanorte #photography #foto #mindtrip #blackwhite http://someurl,784508283604402176,784508283604402176,pt,everyone,2016-10-07T21:38:44.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3400276701,http://someurl| Instagram: alex_lucio_pt| | #gymtime #beastmode #beast #pumped... http://someurl,784481163561742336,784481163561742336,pt,everyone,2016-10-07T19:50:59.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,2244045340,O fim da arte superior é libertar ✔| #bikelife #bmx #bicicleta #lifestyle #mindtrip #free #unclear #life #thestreets #livesession #pumped http://someurl,781264170243284992,781264170243284992,pt,everyone,2016-09-28T22:47:48.000Z,#pumped,,
Facebook,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,58206034,UFC 205 presser WOW #Pumped #UFCNY,781003586130018304,781003586130018304,pt,everyone,2016-09-28T05:32:19.000Z,#pumped,,
Google,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3060089127,Gostei de um vídeo @someuser http://someurl And Montage~ !##Pumped Up Kicks##!,779610237611438080,779610237611438080,pt,everyone,2016-09-24T09:15:39.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,4739346259,Tempranito para @someuser 💪🏼 #morningworkouts #pumped #dalequetudale... http://someurl,774644060300701696,774644060300701696,pt,everyone,2016-09-10T16:21:50.000Z,#pumped,,
Vine for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,726206706724773888,Boa tarde genteeee! #music #ILove #pumped #BrasilNoTopo #vineoftheday #BoaTarde #Bras... (Vine by @someuser http://someurl,767856900205584384,767856900205584384,pt,everyone,2016-08-22T22:52:05.000Z,#pumped,,
