id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,geo,in_reply_to_user_id
814582354111057920,Twitter for iPhone,814582354111057920,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-29T21:22:22.000Z,YAYAYAYAYAYAYAYA!!! SECOND ROUND INTERVIEW BABAYYYYYY. HOLLAAAAA!!!! #pumped,457998385,tl,#pumped,,,
811464655348662272,Instagram,811464655348662272,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T06:53:44.000Z,Yahoo! Vacation na si #lorenzoantonio #pumped http://someurl,383672596,tl,#pumped,,,
807467219735216128,Instagram,807467219735216128,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-10T06:09:21.000Z,Fresh cutz #fresh #prince #of #sydney #ready #for #clubbing #haircut #snipsnip #pontoon #pumped... http://someurl,775645756069847040,tl,#pumped,,,
807085544945676292,Twitter Web Client,807085544945676292,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-09T04:52:43.000Z,#pumped pussy movie asia agcaoili nude pictures e30,424584738,tl,#pumped,,,
806417516889313280,Twitter Web Client,806417516889313280,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-07T08:38:13.000Z,#pumped pussy galleries yvonne yung hung sex scene http://someurl,281256533,tl,#pumped,,,
800343073800622080,Twitter Web Client,800343073800622080,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-20T14:20:33.000Z,okay lang yan team #ignite nect #KConYouth tayo ulit yung mananalo 😂 congrats #pumped !,735776086231896065,tl,#pumped,,,
799723360523423744,Twitter Web Client,799723360523423744,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-18T21:18:01.000Z,#pumped pussys xxxnx girl monkey. http://someurl,827658211,tl,#pumped,,,
797969177327837185,Twitter for iPhone,797969177327837185,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-14T01:07:32.000Z,Idaho in March #pumped #hunting #fishing,2375975952,tl,#pumped,,,
794985844943753216,Twitter for iPhone,794985844943753216,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-11-05T19:32:50.000Z,Laguna Beach marathon #pumped,221243355,tl,#pumped,,,
794818039409557504,Twitter for iPhone,794818039409557504,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",2016-11-05T08:26:02.000Z,"Wow! Thank you, Direk! Sana nga may forever 😆 mukhang mabubusog kami sa movie ha. #pumped #bakabukas http://someurl",1918691466,tl,#pumped,"[{'type': 'quoted', 'id': '794813574409437184'}]",,
786976337143541760,Twitter for iPhone,786976337143541760,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-14T17:05:54.000Z,Minahal nako ng weights. Pero ang sakit nya mag mahal. 😭💪🏻 #Pumped,3958135338,tl,#pumped,,,
782617472713256964,Twitter Web Client,782617472713256964,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-02T16:25:20.000Z,#pumped pussy galleries angelina stoli porn http://someurl,151427817,tl,#pumped,,,
782353775050776576,Instagram,782353775050776576,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-01T22:57:30.000Z,Punkin Patchin!!! 😈💀🎃🕸⚰️ #halloween #fall #october #autumn #pumped #pumpkin #pumpkinpatch @someuser http://someurl,78480453,tl,#pumped,,,
771499628197851137,Twitter Web Client,771499628197851137,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-02T00:06:59.000Z,@someuser Wahoooo..... #HarryPotterWeekend  #pumped,345152202,tl,#pumped,,{'place_id': 'dd9c503d6c35364b'},40105401
767142239080321024,Instagram,767142239080321024,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-20T23:32:17.000Z,"Pumped.| | #pumped #empowered #wivj16 #denver #lifeilluminated @ KUSA, Channel 9 http://someurl",470680136,tl,#pumped,,"{'coordinates': {'type': 'Point', 'coordinates': [-104.9818, 39.72149]}, 'place_id': 'b49b3053b5c25bf5'}",
766076572080091136,Twitter Web Client,766075591896342528,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-08-18T00:57:42.000Z,@someuser DINALA KO YUNG LAPTOP SA CR SOBRANG BINILISAN KO PERO BUTI NATAPOS AKO AGAD #PUMPED,3330048233,tl,#pumped,"[{'type': 'replied_to', 'id': '766076309541838848'}]",,2276045000
765572471152058368,Instagram,765572471152058368,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-16T15:34:35.000Z,"Off to gym before, animo animo animo lol #Pumped #Encendio 😁🎧💪🏽 #tipico http://someurl",216973490,tl,#pumped,,,
765213382383312896,Twitter Web Client,765213382383312896,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-15T15:47:41.000Z,anw magkakape na ko malapet na mag12am #PUMPED,3330048233,tl,#pumped,,,
762700539373117440,Twitter for iPhone,762700539373117440,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-08T17:22:33.000Z,ITS MONDAYAYAYAYA 🤑🤑🎉🎉👏🏻👏🏻 #Pumped http://someurl,3252372194,tl,#pumped,,,
760789766061391872,Twitter Web Client,760789766061391872,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-03T10:49:49.000Z,#pumped pussy movie sex xxxnx http://someurl,751799909796421632,tl,#pumped,,,
755631883564752897,erased12567046,755631883564752897,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-20T05:14:14.000Z,UltimaPo ... - 3D #Hentai #Schoolgirl Gets Big #Breasts #Pumped - #BigTits - http://someurl http://someurl,4886272203,tl,#pumped,,,
746751369298718720,Foursquare,746751369298718720,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-25T17:06:15.000Z,#pumped (@ George Angulo Fitness in San Pedro) http://someurl,133123959,tl,#pumped,,{'place_id': '0094bb312695c18f'},
737243144211730432,Twitter Web Client,737243144211730432,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-30T11:23:57.000Z,yeeeeeeeeeeeeeeeeeeees!! Makaka-train ako! #pumped,2270699660,tl,#pumped,,,
721171725971378177,Twitter for Android,721171725971378177,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 15, 'quote_count': 0}",2016-04-16T03:01:52.000Z,Pec + Pec = #Pectorals! T*angina nyo raw sabi ng dede ko! 😂 #Chest #ChestDay #Pecs #Pumped #Swole #Gains #DedeGoals http://someurl,49776644,tl,#pumped,,,
721170842311401472,Instagram,721170842311401472,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-16T02:58:22.000Z,Pec + Pec = #Pectorals! T*ngina nyo raw sabi ng dede ko! 😂 #Chest #ChestDay #Pecs #Pumped #Swole... http://someurl,49776644,tl,#pumped,,"{'coordinates': {'type': 'Point', 'coordinates': [121.02060783, 14.55779871]}, 'place_id': '017a4afa29d71c65'}",
719372580835037185,twitterfeed,719372580835037185,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-11T03:52:43.000Z,Latisha and Asa Akira  getting her wet pussy pumped hard: #Latisha and Asa Akira|  #getting #hard|  #pussy #pumped http://someurl,711648841641168897,tl,#pumped,,,
716943297189548033,Twitter for iPhone,716943297189548033,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",2016-04-04T10:59:36.000Z,"Naghahabol, ang hirap kapag natitigil. #nofilter #gymfie #selfie #mirrorselfie #pumped http://someurl",457356058,tl,#pumped,,,
710093641260208128,twitterfeed,710093641260208128,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-16T13:21:31.000Z,Asa Akira  being pumped with a giant black rod: #Asa Akira|  #pumped #with #being #black #rod|  #giant http://someurl,706778953156005889,tl,#pumped,,,
709225843101458432,Instagram,709225843101458432,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-14T03:53:12.000Z,Wahoo! #fitbit #challenge #pumped #motivated #hardwork #workout #exercise #healthyliving... http://someurl,28576957,tl,#pumped,,"{'coordinates': {'type': 'Point', 'coordinates': [-79.6667, 43.4333]}, 'place_id': '61ecf520fef6ce72'}",
702486017694040064,Twitter for iPhone,702486017694040064,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-24T13:31:32.000Z,Surprise daw ni mama #pumped,278875151,tl,#pumped,,,
694836722845245440,Instagram,694836722845245440,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",2016-02-03T10:55:58.000Z,1 min rest. #pumped 😀😊😲 @ CITIGYM http://someurl,291831461,tl,#pumped,,"{'coordinates': {'type': 'Point', 'coordinates': [123.90764, 10.32596]}, 'place_id': '00ca4cd1517ddd94'}",
693225694193664000,IFTTT,693225694193664000,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-30T00:14:19.000Z,glblfitwrldwide: After gym bicpes💪🔥 #training #instafit #igfitness #pumped #biceps #progress #workout #eatcleantra... http://someurl,2331082357,tl,#pumped,,,
692923469877616642,IFTTT,692923469877616642,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-29T04:13:23.000Z,After gym bicpes💪🔥 #training #instafit #igfitness #pumped #biceps #progress #workout #eatcleantraindirty #exercise ... http://someurl,3131620373,tl,#pumped,,,
689837874141724673,Mobile Web (M2),689837874141724673,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-20T15:52:20.000Z,"Though twice pa lang yung ganitong oras ko ng pag workout, I can say na mas okay pala talaga siya. 💪💪💪 #pumped",1026606637,tl,#pumped,,,
679842835512754176,Twitter for iPhone,679825072379437056,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-12-24T01:55:37.000Z,@someuser booooo Im going at 1145 at paradigm muehehe #pumped,66971754,tl,#pumped,"[{'type': 'replied_to', 'id': '679842500337504256'}]",,100464653
665444527436668928,Twitter for Android,665444527436668928,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-14T08:21:53.000Z,Kaabang-abang din talaga ang undercards ng UFC 193. #pumped #stoked,232161741,tl,#pumped,,,
664358213387747328,Twitter Web Client,664358213387747328,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-11T08:25:15.000Z,Happy Diwali Everyone| #excited #pumped,3789782952,tl,#pumped,,,
659510166514110465,Twitch.tv,659510166514110465,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-10-28T23:20:51.000Z,HALO HYPE #PUMPED #SWAYFAM @someuser http://someurl,723732024,tl,#pumped,,,
659442965966774273,Instagram,659442965966774273,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-10-28T18:53:49.000Z,Fresh Tuna Salad #foodies #goodeats #unprocessed #japanesefood #fueled #nutrition #midweektreat #pumped http://someurl,28947116,tl,#pumped,,,
659085306704957441,Twitch.tv,659085306704957441,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2015-10-27T19:12:36.000Z,HALO HYPE #PUMPED #SWAYFAM @someuser  @someuser http://someurl,723732024,tl,#pumped,,,
655390350773653504,TweetDeck,655390111429881858,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-10-17T14:30:10.000Z,@someuser #pUmPed na ba idol? :),517546745,tl,#pumped,"[{'type': 'replied_to', 'id': '655390111429881858'}]",,375633264
654646425062510592,Twitter for Windows,654646425062510592,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2015-10-15T13:14:05.000Z,That @someuser filing is a hard act to follow. Bayan o sarili? Bayan Muna!  #pumped #Halalan2016,91294780,tl,#pumped,,,
653942162757804032,Twitter for Android,653942162757804032,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-10-13T14:35:35.000Z,Start nako!!! #hyped #pumped #motivated #focused #shet,48923146,tl,#pumped,,{'place_id': '01b763b150004405'},
652618724046974976,iOS,652618724046974976,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2015-10-09T22:56:43.000Z,Representing Kansas in Chitown. #chimarathon #pumped http://someurl,150911501,tl,#pumped,,"{'coordinates': {'type': 'Point', 'coordinates': [-87.613877, 41.85524]}, 'place_id': '1d9a5370a355ab0c'}",
651675840242040832,Twitter Web Client,651673853333123072,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-10-07T08:30:02.000Z,@someuser so kailan ang draft natin btw? #pumped HAHA,3278317615,tl,#pumped,"[{'type': 'replied_to', 'id': '651675692048842752'}]",,140442072
649337809489166336,Twitter for iPhone,649337809489166336,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-09-30T21:39:32.000Z,Just ordered piyo😍😍 #pumped #21dayfix #piyo #beachbodycoach,3281216192,tl,#pumped,,,
647385259844206592,Twitter Web Client,647385259844206592,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-09-25T12:20:48.000Z,"PowerPoint, video editing, seminar, lahat na. Hahahaha #Pumped",251491430,tl,#pumped,,,
644172961541304320,TweetDeck,644172961541304320,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-09-16T15:36:16.000Z,Ang angas ng uniforms ng UP Badminton! #pUmPed #excited,52304004,tl,#pumped,,,
643838898662076416,Twitter for iPhone,643838898662076416,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-09-15T17:28:50.000Z,Taiwan & Singapore in Oct #pumped #wtafinal 🎾 #lovetravelling,1172716681,tl,#pumped,,,
640210995240128512,Twitter for iPhone,640210995240128512,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-09-05T17:12:50.000Z,HYYEAAHHH @someuser #PriceIsRight #Pumped #BlueJays #ComeTogether,258086818,tl,#pumped,,{'place_id': '32bdf27d67a9570d'},
639542280437768197,Instagram,639542280437768197,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-09-03T20:55:36.000Z,#Repost sapaoalan with repostapp.| ・・・| #nofilter #backprogress #pumped #greatworkout #deadliftday... http://someurl,802344986,tl,#pumped,,,
637207383534505984,Twitter for iPhone,637207383534505984,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-08-28T10:17:33.000Z,SHOVEL KNIGHT AMIIBO!!!!!!!!!!!!!!! #pumped #nintendo #gamegrumpstrailer,3136202240,tl,#pumped,,,
634906475027165184,Instagram,634906475027165184,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-08-22T01:54:34.000Z,[]Pumped[]>>Halo 3<<#pumped #security #sword #masterchiefcollection #simple #femalegamer #malegamer... http://someurl,1873642429,tl,#pumped,,,
631974947724918787,Instagram,631974947724918787,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-08-13T23:45:43.000Z,New kiks. #pumped #DCshoes #DC #DCforlife http://someurl,35680190,tl,#pumped,,,
628405881189732352,Twitter for Android,628405881189732352,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-08-04T03:23:31.000Z,Saglit lang ako nawala may patrending na.. at trending na sia... lol 😂😂 #pumped XianLim August Garage Cover,1920227648,tl,#pumped,,,
625890771288330240,Twitter for iPhone,625890771288330240,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2015-07-28T04:49:23.000Z,Tulo baby!!!!!!!!! #wooop #pumped #BlueJays,146976431,tl,#pumped,,,
623657204722323456,IFTTT,623657204722323456,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-07-22T00:53:59.000Z,RT HeyItsAissha: huhuhuhuhuhuhuhuh #drop #melody #kick #adrenaline #bass #filthy #awesome #pumped #l... (Vine by MalevicMarko),856046616,tl,#pumped,,,
623656128682065920,Vine - Make a Scene,623656128682065920,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2015-07-22T00:49:42.000Z,huhuhuhuhuhuhuhuh #drop #melody #kick #adrenaline #bass #filthy #awesome #pumped #l... (Vine by @someuser http://someurl,1035412886,tl,#pumped,,,
622162400855195648,Twitter Web Client,622162400855195648,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-07-17T21:54:10.000Z,jgh :D #pumped,2849224052,tl,#pumped,,,
620933748717060096,Twitter for Android,620933748717060096,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-07-14T12:31:56.000Z,1 MONTH NALANG PO CONCERT NA NG PLANETSHAKERS. #pumped http://someurl,324815184,tl,#pumped,,{'place_id': '00913613698f59d9'},
617005309203120128,Twitter for iPhone,617005309203120128,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-07-03T16:21:43.000Z,Snow - Ay Ay Ay #Pumped,483267368,tl,#pumped,,,
606969744202342401,iOS,606969744202342401,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-06-05T23:43:58.000Z,taylorgangs photo http://someurl #pumped,446553464,tl,#pumped,,,
600010820790030336,Twitter for iPhone,600010820790030336,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-05-17T18:51:41.000Z,4 days until DQ😛😛😛 #pumped,2250897327,tl,#pumped,,,
596108154372431872,Twitter for iPhone,596108154372431872,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-05-07T00:23:53.000Z,Ngayon lang ulit ako pinawisan ng ganun! #Sarap #Pumped 💪🏼😁,483093179,tl,#pumped,,{'place_id': '0003557c7b244fd3'},
584796741678931968,Instagram,584796741678931968,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-04-05T19:16:22.000Z,Hi babes!| #easter #bunny #cottontail #muscle #biceps #abs #chocolate #sugar #eastereggs #eggs #pumped... http://someurl,45405970,tl,#pumped,,,
583418041238691840,Twitter for iPhone,583418041238691840,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-04-01T23:57:55.000Z,Ordering my lucina amiibo tomorrow #pumped,2476232624,tl,#pumped,,,
580625866591440896,Mobile Web (M2),580618405692223488,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-25T07:02:48.000Z,Apa sumpeg baal ? *mukapolos-___-._. @someuser : #pumped,2666053331,tl,#pumped,"[{'type': 'replied_to', 'id': '580618405692223488'}]",,141186163
579069280441872384,Twitter Web Client,579067434373488640,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-20T23:57:29.000Z,@someuser Heading to Lyoko! | #Pumped,3100618445,tl,#pumped,"[{'type': 'replied_to', 'id': '579068660121124864'}]",,399677426
577823574523707393,Twitter Web Client,577823574523707393,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-17T13:27:30.000Z,"woah FIBA World Cup, malaki chance na tayo mag host.| #pumped",606315138,tl,#pumped,,,
577014613109243905,Instagram,577014613109243905,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-15T07:52:58.000Z,"Yown!!! Haha #16kFinisher #Pumped #711RUN1500 @ Filinvest City, Alabang http://someurl",91745861,tl,#pumped,,"{'coordinates': {'type': 'Point', 'coordinates': [121.03622152, 14.41990604]}, 'place_id': '00c699d656122ebe'}",
576968862148644864,Twitter for Android,576968862148644864,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-15T04:51:10.000Z,NIKAAAAAAL BC! LESGO EFFING GO BOIIS #PUMPED,393028312,tl,#pumped,,,
576734393630220289,Twitter for iPhone,576734393630220289,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-14T13:19:29.000Z,Maroon 5 #letsgetit #excited #pumped http://someurl,3067081454,tl,#pumped,,,
575387123110559745,Twitter for iPhone,575387123110559745,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-10T20:05:54.000Z,Haloti Ngata to the @someuser #pumped #NFLFreeAgency #onepride #defendtheden,1269553434,tl,#pumped,,,
574628066816819200,Twitter for Android,574628066816819200,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-03-08T17:49:41.000Z,Holy shit we just got Ndamukong Suh #Pumped #DolphinsFanForLife,455574550,tl,#pumped,,,
