conversation_id,created_at,geo,reply_settings,text,author_id,source,id,public_metrics,lang,search_query
766788988732596224,2016-08-20T00:08:35.000Z,"{'place_id': '017f6751306425f0', 'coordinates': {'type': 'Point', 'coordinates': [113.94356066, 22.3208905]}}",everyone,Get #pumped this weekend at @someuser #boothf12 🙌🏼 #madeinhk @ 亞洲國際博覽館 Asia-World Expo http://someurl,3190245403,Instagram,766788988732596224,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
729879442424635392,2016-05-10T03:43:14.000Z,,everyone,小时候，我们都知道一是一，二是二，但是长大了之后总有一些灰色地带，道不清说不明，因此难免人很容易会受到委屈。但是与其在那抱怨，不如学会化委屈为动力，把精力和时间放在生存，自我增值和发展上。| #Pumped,286086931,Twitter for iPhone,729879442424635392,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
727334488569577472,2016-05-03T03:10:29.000Z,,everyone,#Pumped Up Kicks #Foster The People (擁抱人群樂團) #KKBOX #nowplaying http://someurl,4007480953,Twitter for iPhone,727334488569577472,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
647954069739319296,2015-09-27T02:01:03.000Z,,everyone,#SportsCarnival: Get #PUMPED for the #dragon boat #race! #Youth #POWER 最高! #NJYouthFest2015 http://someurl,2776688257,Twitter Web Client,647954069739319296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",zh,#pumped
562205110424846336,2015-02-02T11:05:18.000Z,,everyone,下一站 马来西亚吉隆坡，你准备好了么！ 3月 13日 ONE FC 回归 ——ONE FC: AGE OF CHAMPIONS! #onefightnight #kualalumpur #pumped #AGEOFCHAMPIONS| http://someurl,541440380,Hootsuite,562205110424846336,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",zh,#pumped
548489719353729025,2014-12-26T14:45:14.000Z,,everyone,BTV: 亚洲最大综合格斗赛事在京举行 http://someurl #onefightnight #pumped #China,541440380,Hootsuite,548489719353729025,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
540703961255530496,2014-12-05T03:07:24.000Z,,everyone,来了！kick 来了！ 😂😂😂😂 #pumped #veins http://someurl,226790650,Instagram,540703961255530496,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
512111971064238080,2014-09-17T05:33:03.000Z,,everyone,#Kelly #hard #pumped #in #doncaster [#Shantou 157] >>:  http://someurl 汕头,287214089,twitterfeed,512111971064238080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
511887756197261312,2014-09-16T14:42:06.000Z,,everyone,#Kelly #hard #pumped #in #doncaster [#sex #in #taipei 76] >>:  http://someurl 在台北发生性,480564779,twitterfeed,511887756197261312,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
325396371383386112,2013-04-19T23:51:55.000Z,"{'coordinates': {'type': 'Point', 'coordinates': [113.937759, 22.316341]}}",everyone,At da Airport <3| #on #my #way #to #malaysia #super #pumped @ Terminal 2 二號客運大樓 http://someurl,1050580622,Instagram,325396371383386112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
18335615145738240,2010-12-24T16:02:05.000Z,,everyone,Merry Christmas!!! Selamat Hari Natal!!! 圣诞节快乐!!! #pumped,62014350,Mobile Web,18335615145738240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#pumped
