reply_settings,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,geo,in_reply_to_user_id,referenced_tweets
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:59:10.000Z,814984201942536192,814984201942536192,Twitter for Android,94947121,en,A sign that you are old. When you recognize 90% of the celebrity names on the celebrity death tributes. #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:57:38.000Z,814983816532135937,814983816532135937,Twitter for Android,324734000,en,Watching the in memoriam tribute on the news...#sad #heartbreaking,#sad,{'place_id': '3cd12646c811c87e'},,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:57:15.000Z,814983722873262081,814983722873262081,Twitter for iPhone,370924795,en,I cant believe the @someuser is shutting down. No one stepped up to help or buy them out? #sad #foodie,#sad,{'place_id': '01476f41278c3cd7'},,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:53:32.000Z,814982786658476032,814982786658476032,Twitter for iPhone,1667991319,en,Was in the Dome today. I could only think about the #jays & this was me. | | #sad #nervous #hopeful #praying #glasscaseofemotion http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:53:32.000Z,814982784259395584,814982579824824320,Twitter Web Client,274039142,en,@someuser @someuser My result was much the same a year ago. #sad,#sad,,20415761,"[{'type': 'replied_to', 'id': '814982579824824320'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:51:23.000Z,814982243009622017,814958820980039681,Twitter for iPhone,3244270372,en,@someuser @someuser @someuser @someuser you are the proof why people should retire at 65. Just go golf or something! #sad,#sad,,25073877,"[{'type': 'replied_to', 'id': '814958820980039681'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",2016-12-30T23:50:05.000Z,814981918341136385,814981918341136385,Twitter for iPhone,770058262175707136,en,.@someuser takes on a new role: TV guide #sad http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:49:41.000Z,814981816633409536,814981816633409536,Twitter for Android,799300715537715200,en,Im so pissed off. There are at least 100 ppl that see my tweets but none of em like my tweets I feel ignored AF | #sad #disappointed #fuck http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:48:00.000Z,814981391809216512,814981391809216512,Instagram,2737401855,en,The logo just fell of my old joggers... #detournement | #logo| #adidas | #nologo | #design| #sad http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:47:26.000Z,814981249680936965,814959897624379392,Talon (Plus),2723954565,en,@someuser @someuser @someuser another giveaway ending with me not winning #sad,#sad,,29873662,"[{'type': 'replied_to', 'id': '814959897624379392'}]"
