public_metrics,source,created_at,id,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,in_reply_to_user_id,geo
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T23:54:34.000Z,814983046290165760,814983046290165760,Pues yo voy a ver si duermo a ver si así me olvido de cuanto duele no tenerte... #AmoryDolor #Sad #QueTristeTodo #amor http://someurl,802874181062893568,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T23:52:09.000Z,814982436119605248,814982436119605248,"Mi mama anda plan, si quieren comer cocinen ustedes que la niña y yo ya comimos :( #sad",479389373,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T23:33:07.000Z,814977648065650689,814977648065650689,"quiero tener un fin de año y un año nuevo re piola pero me voy a quedar en casa con mis viejos, so, va a ser un día más #sad",253180027,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T23:26:16.000Z,814975924299067392,814975924299067392,"Es la segunda vez en el año que cancelo un recital que realmente tenia ganas de ir, #sad",2493342650,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T23:21:32.000Z,814974731329925120,814974731329925120,No sabía que Gus estaba en las sombras y yo aquí hablando de mis pedos #sad,3298482236,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T23:03:50.000Z,814970278140923905,814936574886641666,"@someuser @someuser no hay que emocionarse mucho. Los impuestos de ESA y CR son casi $100. En cima, Veca cobra $10 por la reserva. #sad 😢",432692303,es,everyone,#sad,"[{'type': 'replied_to', 'id': '814936984154177536'}]",981641024,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T22:56:35.000Z,814968453916426245,814968453916426245,El de lio es el que menos rt tiene #sad http://someurl,4301087655,es,everyone,#sad,"[{'type': 'quoted', 'id': '814885859585654786'}]",,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPad,2016-12-30T22:36:06.000Z,814963297527234560,814963297527234560,No tengo nadie con quien compartir bebida mañana. Estoy muy #sad,598414507,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T22:29:30.000Z,814961639120314368,814960997307977728,@someuser mis charlas en wpp #sad,3627215957,es,everyone,#sad,"[{'type': 'replied_to', 'id': '814960997307977728'}]",3627215957,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T22:21:23.000Z,814959595873562624,814959595873562624,#MiFotoConAtl oh esperen 😭 yo no tengo aun foto con el #Sad,760240194956046340,es,everyone,#sad,,,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T22:20:19.000Z,814959326800572420,814959326800572420,7u7 #laurasad  #sad #tranquilo xdddd :3 @someuser me pegaste tu canción http://someurl,2440585453,es,everyone,#sad,,,
"{'retweet_count': 3, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",Twitter for Android,2016-12-30T22:01:56.000Z,814954702202896384,814954702202896384,Hoy es el último 0:00 del año #sad,1400202896,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T21:58:30.000Z,814953838285352960,814953838285352960,Odio estar a 3g y no poder ver los vídeos bizarros de tw que me hacen feliz en cualquier momento #sad,2834514701,es,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T21:48:18.000Z,814951268590518274,814951268590518274,Moriré esperando que justin me siga :c #belieber #sad #JustinBieber,762500775855607809,es,everyone,#sad,,,
