public_metrics,source,created_at,id,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,in_reply_to_user_id,geo
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter SMS,2016-12-30T17:11:27.000Z,814881597455560704,814881597455560704,*Aj Ki Raat B Mumkin He Na So Sakoon*| _| _| *Yaad Phir Aai He Neendhy Urani Wali*| _| #sad niii8,757588771214798850,hi,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter SMS,2016-12-30T15:39:31.000Z,814858463935426562,814858463935426562,*Tum Samundar Ki BaaT Karty Ho*| _| _| _| *Hum To Aankhon Mein Doob Jaty Hain| | #Sad poetry| #Urdu shairi| | Follow| @someuser| | Send 40404,3177178308,hi,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,2016-12-30T13:00:00.000Z,814818317483450369,814812999407923200,@someuser Dard De Gaye Sitam Bhi De Gaye;| Zakhm Ke Sath Marham Bhi De Gaye;| Aur Hamein Note Na Chupane  Ki Kasam De Gaye! #sad,804559516306022401,hi,everyone,#sad,"[{'type': 'replied_to', 'id': '814812999407923200'}]",44588485,
"{'retweet_count': 41, 'reply_count': 0, 'like_count': 27, 'quote_count': 0}",Twitter Web Client,2016-12-30T09:40:22.000Z,814768078407933953,814768078407933953,भगवंत मान के रंग में रंगा सुखबीर का जलालाबाद| #BhagwantMann #Rally #Jalalabad #PunjabElection2k17 #AAP #SAD #Congress| http://someurl,288077673,hi,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter SMS,2016-12-30T02:21:25.000Z,814657615783489536,814657615783489536,"Uff,| | Khudi Karte Hain Bewafaai Log Muhabat Main....!!-| -| Jhooth He K Muhabat K Dushman DuniYa WaLe Hen...!!| -| #PoetrY| #Sad",1202631522,hi,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-29T18:31:11.000Z,814539278147432448,814539278147432448,पटियाला से AAP नेता हरजीत सिंह अकाली दल में शामिल|  #AAP #SAD http://someurl,3989159413,hi,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-29T15:35:46.000Z,814495130996604928,756171025641943040,@someuser 99% pakistani acche hai. Jo 1% ghalti se udhar paida ho gye hai..voh twitter pe Bina vajah apni Gaand jala rahe hai. #Sad,797346290204020736,hi,everyone,#sad,"[{'type': 'replied_to', 'id': '756171025641943040'}]",1272790244,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-29T15:26:48.000Z,814492872816869376,814492872816869376,@someuser #pmo #sad  में है या #BJP  में वह भारत की जनता को क्लियर करें एसवाईएल के मुद्दे पर मोदी किस तरफ है ?,810885935797858304,hi,everyone,#sad,,18839785,{'place_id': '501a540042ea0f51'}
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-29T09:53:40.000Z,814409038960218112,814409038960218112,Main Sochta Hun K Mujh Main Kami Thi Kis Shay Ki| K Sub Ka Ho K Raha Wo Bus Ek Mera Na Hua...| |  #Sad,1281236346,hi,everyone,#sad,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-29T09:53:21.000Z,814408958605725696,814408958605725696,Sehraa K Samandar Pe Pyasa Khara Tha Main| Phir Teri Yaad K Ashkon Ne Honton Ko Choo Lia...| |  #Sad,1281236346,hi,everyone,#sad,,,
