source,conversation_id,author_id,text,referenced_tweets,in_reply_to_user_id,reply_settings,created_at,id,public_metrics,geo,lang,search_query
Twitter for iPhone,814960661516140544,231073403,@someuser #top200 wij nog steeds. #laatstedag is begonnen. #sad #NPORadio2 gr Nils&Jill #odoorn,"[{'type': 'replied_to', 'id': '814960661516140544'}]",187472808,everyone,2016-12-30T23:09:21.000Z,814971666535223302,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",{'place_id': 'dcd56821cc63f82e'},nl,#sad
Twitter for Android,814933191400235008,814914658322829312,dagen gaan over in slapeloze nachten en ik kan alleen maar denken aan de rekensom die ik niet begrijp. #2016 #sad,,,everyone,2016-12-30T20:36:28.000Z,814933191400235008,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814930235728740352,814923534392840192,@someuser @someuser ik bedoel ik krijg nooit taart op feestjes ik ben voor alles allergisch wat erin zit☹️ :( #sad,,814914658322829312,everyone,2016-12-30T20:24:43.000Z,814930235728740352,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814571357736488960,773475390190940160,@someuser @someuser geef mij maar die Korfbalr. trui echt vet jammer dat hij niet verkocht kan worden #sad,"[{'type': 'replied_to', 'id': '814586301022433282'}]",65881225,everyone,2016-12-30T16:13:54.000Z,814867114246991872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814861591267180547,3021616497,"RT @someuser Iedereen maakt een speciale video voor het einde van het jaar.. sorry guys, ik niet #sad","[{'type': 'retweeted', 'id': '814568391000395777'}]",,everyone,2016-12-30T15:51:57.000Z,814861591267180547,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814570137340837888,317238117,@someuser @someuser haar held @someuser al meteen vervangen #sad,"[{'type': 'replied_to', 'id': '814570137340837888'}]",2483309574,everyone,2016-12-30T14:37:14.000Z,814842788957274112,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814801373304913920,47409121,"Ik heb n zwak voor mannen die voor me koken. Wat daar momenteel t dichtstbij zit, zijn de bezorgers van mn @someuser maaltijden. #sad",,,everyone,2016-12-30T11:52:40.000Z,814801373304913920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",{'place_id': '871685aa82f8a489'},nl,#sad
Twitter for Android,814793842675318784,82936600,RT @someuser Exact 12u de site in! Zijn ze op! Zal wel... #paradiso #sad #TributeforGeorgeMichael #fuck #ticketmaster #vuilspelletje http://someurl,"[{'type': 'retweeted', 'id': '814791124262993921'}]",,everyone,2016-12-30T11:22:44.000Z,814793842675318784,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814791124262993921,49162428,Exact 12u de site in! Zijn ze op! Zal wel... #paradiso #sad #TributeforGeorgeMichael #fuck #ticketmaster #vuilspelletje http://someurl,,,everyone,2016-12-30T11:11:56.000Z,814791124262993921,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814765016390004736,1712587152,"@someuser @someuser Triest.De rechter is onafhankelijk.Ben je het niet eens, dan kun je wraken. Ondermijnen van rechters is teloorgang #sad","[{'type': 'replied_to', 'id': '814765016390004736'}]",811509459310747648,everyone,2016-12-30T09:50:30.000Z,814770629962514434,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814605583655596033,762744716660207616,@someuser Waarom reageer je nooit op mijn mails naar boos@someuser ? #sad,,65881225,everyone,2016-12-29T22:54:40.000Z,814605583655596033,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter Web Client,814582457697767424,33479074,Wat doe ik eigenlijk op twitter. Niemand volgt mij. #sad,,,everyone,2016-12-29T21:22:46.000Z,814582457697767424,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
TweetDeck,814568391000395777,2512066358,"Iedereen maakt een speciale video voor het einde van het jaar.. sorry guys, ik niet #sad",,,everyone,2016-12-29T20:26:53.000Z,814568391000395777,"{'retweet_count': 2, 'reply_count': 13, 'like_count': 216, 'quote_count': 0}",,nl,#sad
Twitter for Android,814559649009696768,1322719230,Wanneer je op de planning kijkt en ziet dat je morgen als enige om 8 uur moet beginnen #sad,,,everyone,2016-12-29T19:52:08.000Z,814559649009696768,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",,nl,#sad
Twitter for iPhone,814528413197287424,418546612,@someuser 100gr frambozen van de ene op andere dag net geen 20% duurder??toeval net voor oudjaar?? #pluimdeconsument #sad,,2609465192,everyone,2016-12-29T17:48:01.000Z,814528413197287424,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,814436160311324672,3253583279,Zeker van die primaten ouders waarbij min en min zelden plus wordt.| #sad http://someurl,,,everyone,2016-12-29T11:41:26.000Z,814436160311324672,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Instagram,814346532845654016,202811522,Wanneer je helemaal klaar staat voor je groene smoothie en je blender is kapot 😭 #healthy #sad... http://someurl,,,everyone,2016-12-29T05:45:17.000Z,814346532845654016,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","{'coordinates': {'type': 'Point', 'coordinates': [5.4543093, 51.70315808]}, 'place_id': '8ac97430823284b8'}",nl,#sad
