reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,geo,referenced_tweets,in_reply_to_user_id
everyone,zh,814695401148149760,130894280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814695401148149760,人生。。。就是充滿病痛| #人生 #人蔘 #hkig #hkinstagram #sick  #vsco #vscocam #sad #希望食完pinkyD藥會鬼打咁精神 #咁岩親戚好似就探我... http://someurl,Instagram,2016-12-30T04:51:34.000Z,#sad,,,
everyone,zh,814140702795833347,2856893036,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814140702795833347,16days left 😶😶😶 #leavehq #sad #emo #enjoy #pokemon @ 華僑大學 http://someurl,Instagram,2016-12-28T16:07:24.000Z,#sad,"{'place_id': '01514a7563cab6a1', 'coordinates': {'type': 'Point', 'coordinates': [118.63987401, 24.94076954]}}",,
everyone,zh,814050628058030080,3104512094,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814050628058030080,"好可愛, 但好唔好食... 所以話呢, 無時間準備就唔好亂買野. 朱古力慕絲蛋糕, 朱古力味淡到近乎零, 個底個塊朱古力味餅底如曲奇, 同慕絲分離, 仲要好難先切得開. #好睇唔好食 #sad... http://someurl",Instagram,2016-12-28T10:09:28.000Z,#sad,,,
everyone,zh,814040099100901376,130894280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814040099100901376,兔兔：：(| 肥桃：放心！有我保護你。| #vsco #vscocam #病左就會睇唔開 #sad #sick #hkgirl #hkig #hkinstagram http://someurl,Instagram,2016-12-28T09:27:38.000Z,#sad,,,
everyone,zh,813788512298221568,8711692,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813788512298221568,90% of work in this country is done by ppl who dont feel good. #change #sad #fact 这个国家里90%的工作是由感觉不好的人在做 #WhyThisNationIsInDecline #China,twittbot.net,2016-12-27T16:47:55.000Z,#sad,,,
everyone,zh,813672877874675712,402598957,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813672877874675712,"失守了！弟弟也焼到39度從托兒所接回來了😭😭😭#インフルエンザa型 #我が家 #三人目 #sad #down #ak的北海道生活 @ Obihiro, Hokkaido http://someurl",Instagram,2016-12-27T09:08:26.000Z,#sad,,,
everyone,zh,813582891942875141,179083189,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813582891942875141,#SAD 我看了大约三十八分钟那啥没品的微博...没找到一条我的推,Tweetbot for Mac,2016-12-27T03:10:51.000Z,#sad,{'place_id': '946ccd22e1c9cda1'},,
everyone,zh,813558154168598528,2350373340,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813558154168598528,没事不要乱逛街.| #Shopping #Newyear #Nice #Happy #Sad #2016 http://someurl,Instagram,2016-12-27T01:32:33.000Z,#sad,,,
everyone,zh,813084521025310720,2546948402,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813084521025310720,這位捧油你為什麼要逼人家wwwwww| | #FNAF #FNAF擬人 #SAD #MONEY http://someurl,Twitter Web Client,2016-12-25T18:10:30.000Z,#sad,,,
everyone,zh,812969518100254720,231764011,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812969518100254720,趕著出門引發的悲劇，瀏海剪失敗啦啦啦😱好想哭⋯| .| .| .| #1225 #merrychristmas #sad http://someurl,Instagram,2016-12-25T10:33:32.000Z,#sad,,,
everyone,zh,812335027283333121,805761125505609728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812335027283333121,我也好想要嗚嗚....... This is very cute....... Im so sad ........| #TAIWAN #I #WANT #SAD http://someurl,Twitter Web Client,2016-12-23T16:32:17.000Z,#sad,,,
everyone,zh,811973764141355008,7183862,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",811973764141355008,晚餐跟同事一起訂了好久沒吃的肯德基。好難吃啊... 怎麼會這樣 #Sad,Twitter Web Client,2016-12-22T16:36:45.000Z,#sad,,,
everyone,zh,811945000023900160,2658388962,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811945000023900160,很不喜歡眼淺的我🙈🙈捨不得Paul哥😭 #sad  #crying #unhappy http://someurl,Instagram,2016-12-22T14:42:27.000Z,#sad,,,
everyone,zh,811757050162126848,486001436,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811757050162126848,人參嘛！本來就是來來去去的。| | 但想起來還是很難過是真的| | #sad http://someurl,Instagram,2016-12-22T02:15:37.000Z,#sad,,,
everyone,zh,811565056093655040,46326284,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811565056093655040,心在難過| 也要自己忍住別讓別人發現| #sad,Twitter for iPhone,2016-12-21T13:32:42.000Z,#sad,,,
everyone,zh,811378876806995968,14106076,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811378876806995968,OMG🙀，第一場就斷線了，BG66F掰掰👋| | #morning #badminton #brokenstring #sad #kaohsiung @ 中正技擊館羽毛球場 http://someurl,Instagram,2016-12-21T01:12:53.000Z,#sad,"{'place_id': '00dcc81a0ec32f15', 'coordinates': {'type': 'Point', 'coordinates': [120.3357745, 22.62834821]}}",,
everyone,zh,811181137427103744,38354072,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811181137427103744,Yummy ... | #uni #sashimi #prawns #yummy #quicklunch #sad #missingmydogs #cry @ 海膽屋Uniya http://someurl,Instagram,2016-12-20T12:07:08.000Z,#sad,"{'place_id': '011a1d1e753ec5a8', 'coordinates': {'type': 'Point', 'coordinates': [114.15233, 22.28616]}}",,
everyone,zh,810425100985978880,793281699656310784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",810425100985978880,如果你抢了我的零食，我会很伤心的| #food #Sad http://someurl,Twitter for Android,2016-12-18T10:02:55.000Z,#sad,,,
everyone,zh,809922521013305344,91361504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809922521013305344,#SAD #DTA 😢 (at 水塘 Reservatório) #SAD #DTA 😢 (at 水塘... http://someurl,WordPress.com,2016-12-17T00:45:51.000Z,#sad,,,
everyone,zh,809921796464082944,91361504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809921796464082944,#SAD #DTA 😢 (at 水塘 Reservatório) #SAD #DTA 😢 (at 水塘...: #SAD #DTA 😢 (at 水塘 Reservatório... http://someurl,Google,2016-12-17T00:42:58.000Z,#sad,,,
everyone,zh,808894520809156610,3390506565,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808894520809156610,#✌️ 最近的心情真的很燥很累了 #😀 #down #sad #tired #累 #情绪 http://someurl,Instagram,2016-12-14T04:40:56.000Z,#sad,,,
