source,in_reply_to_user_id,text,reply_settings,lang,conversation_id,id,referenced_tweets,author_id,created_at,public_metrics,search_query,geo
Twitter for Android,25243665,"@someuser Feeling myself trapped in a garbage disposal really. Where the walls are closing in. One is 2016, the other 2017. #Scared",everyone,en,814982738767970305,814983903903698945,"[{'type': 'replied_to', 'id': '814982738767970305'}]",60883401,2016-12-30T23:57:59.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,"Ok, was it just me, or was Fyfe looking at Barnett when he fumbled the snap? #Vols #Scared?",everyone,en,814981539738030081,814981539738030081,,431091270,2016-12-30T23:48:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Instagram,,Through my eyes you can see my heart and soul.. #Lost #Lonely #Scared #Depressed #BlackHeart... http://someurl,everyone,en,814979497548083200,814979497548083200,,2509083964,2016-12-30T23:40:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,991556887,"@someuser this just appeared! Youd been home, showered, pampered fae Jenna by then #dehydrated #dark #forest #scared 😂 http://someurl",everyone,en,814973390075400194,814973390075400194,,422147291,2016-12-30T23:16:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,{'place_id': '7734d65039233b0f'}
Twitter for Android,983275014,@someuser @someuser @someuser @someuser @someuser @someuser Ha! You know its f@someuser KILLING me too 😣💪😂 | Youre a ninja.. #scared,everyone,en,814952607743512576,814969002111942657,"[{'type': 'replied_to', 'id': '814967718260645889'}]",2354462115,2016-12-30T22:58:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",#scared,
Twitter for iPhone,413327979,When @someuser tweet #DontInterruptMeWhile I am speaking my mind & being brutally honest to you. Let me finish. I be like #scared http://someurl,everyone,en,814967110019346432,814968103192797184,"[{'type': 'replied_to', 'id': '814967110019346432'}]",1494587336,2016-12-30T22:55:11.000Z,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",#scared,
Twitter for Android,,Well seems #2016 took a break. No deaths today but we still got 6 hrs to go #scared,everyone,en,814967487695618050,814967487695618050,,17216900,2016-12-30T22:52:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,I should not be watching Harry Potter alone #scared #helpme,everyone,en,814958602876256259,814958602876256259,,181679458,2016-12-30T22:17:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,,Max strength workout today. Working for max lifts in #strictpress #squat #deadlift #scared #excited #fitness #strength #crossfit #coachjoe,everyone,en,814951810431668224,814951810431668224,,953765618,2016-12-30T21:50:27.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,{'place_id': 'ff074e1ff3c7a5c8'}
Twitter for iPhone,,This is scary and Im scared more people arent as scared as I am. #scared. http://someurl,everyone,en,814947733568180224,814947733568180224,,857265684,2016-12-30T21:34:15.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,"How have the girls convinced me to go out, this isnt me, I dont do this, I need at least 2 weeks to prep 4 a night out now lol #scared ☹️",everyone,en,814946270062268417,814946270062268417,,402284804,2016-12-30T21:28:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,
Twitter Web Client,,LOL #Trump clearly doesnt need any help on that. He can create treason trouble all on his own. #Sad #Scared #WTF http://someurl,everyone,en,814940475027292161,814940475027292161,,30525535,2016-12-30T21:05:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for Android,,Lil bitch punched then ran away from a 1 legged dude lol #Scared #Bitch| http://someurl,everyone,en,814937037488930816,814937037488930816,,801097468670869504,2016-12-30T20:51:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Instagram,,Terrifying photo...#scared #jackaloose #evillooking http://someurl,everyone,en,814921227865354240,814921227865354240,,25263287,2016-12-30T19:48:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,46328741,@someuser just found The Black Spot in my nacho chips. What are you trying to tell me? #treasureisland #scared #curseof2016 #sendhelp 😯 http://someurl,everyone,en,814919537489539072,814919537489539072,,65636242,2016-12-30T19:42:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,Having a scary time on our ghost buster tour! #york @someuser #scared #whereisthebar http://someurl,everyone,en,814916011895955456,814916011895955456,,56341478,2016-12-30T19:28:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,{'place_id': '0c4f58af36a910a6'}
Twitter for iPhone,,Always left to watch scary films on my own!! #scared 😂😂🙈🙈,everyone,en,814909507067400192,814909507067400192,,49719923,2016-12-30T19:02:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,,"G Herbo Scared Of Church Members, Hes Freaking Out Badly http://someurl v #GHerbo #LilBibby #Chiraq #Scared #Church #Savage #Goons",everyone,en,814904900056391680,814904900056391680,,760108137055563777,2016-12-30T18:44:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,,Funny how @someuser drops disorder from headline about @someuser .  Just a little bit #scared ?  Has The Guardian lost a pair? http://someurl,everyone,en,814901310109716480,814901310109716480,,93166280,2016-12-30T18:29:47.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
dlvr.it,,#pics @someuser | I think he noticed I was in His jungle... #gorilla #scared... http://someurl http://someurl,everyone,en,814899924919676928,814899924919676928,,19733334,2016-12-30T18:24:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,Getting my hair done td #scared,everyone,en,814889376794742784,814889376794742784,,736727654649483264,2016-12-30T17:42:21.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",#scared,
Twitter for Android,1428245454,@someuser @someuser Its like nothing is REAL.... I truly believe Trump thinks running our country is like running a Reality show! #Scared,everyone,en,814876956827250688,814879011813949441,"[{'type': 'replied_to', 'id': '814876956827250688'}]",1015479589,2016-12-30T17:01:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
