lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,referenced_tweets,in_reply_to_user_id,geo
es,814961966250766336,814961966250766336,2016-12-30T22:30:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",396059371,Twitter for Android,Ultimo dolor de el año😨 #Dentista #Scared #EsteAnoMeDejo 😂😂,everyone,#scared,,,
es,814856224382431233,814856224382431233,2016-12-30T15:30:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",730066952,Twitter for iPhone,Y es así como poco a poco las cosas se van acomodando. Tiempo de nuevos comienzos 💫 #wishesfor2017 #lonuevovsloviejo #scared,everyone,#scared,,,
es,814279437655113732,814279437655113732,2016-12-29T01:18:41.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",2209935169,Twitter for Android,Mi vecino se hizo una re pileta &me dijo que si quería usarla a la mañana &cuidarle a las hijas no había drama. #scared,everyone,#scared,,,
es,814257123643289600,814258862152884224,2016-12-28T23:56:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",404904272,Twitter for iPhone,@someuser deja de leerme la mente en todo que encima ni nos conocemos en persona #scared,everyone,#scared,"[{'type': 'replied_to', 'id': '814258564017586176'}]",1028447232,
es,814146795647406080,814146795647406080,2016-12-28T16:31:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",82995298,Instagram,Ese sentimiento de que se apaguen las luces y te salga la niña del aro #QueTrenMasViejo #scared... http://someurl,everyone,#scared,,,"{'place_id': '319ee7b36c9149da', 'coordinates': {'type': 'Point', 'coordinates': [-77.095192, 38.887102]}}"
es,813846177649139712,813846177649139712,2016-12-27T20:37:03.000Z,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",834243624,Twitter for Android,No quiero saber el cliffhanger que nos va a dejar... #scared http://someurl,everyone,#scared,,,{'place_id': 'f0bc6569b8d489ec'}
es,813471872314544128,813471872314544128,2016-12-26T19:49:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",493686307,Instagram,Ayer descubrí que abuelo era el #TexasChainsawMassacre #chainsaw #terror #horror #scared #abuelo... http://someurl,everyone,#scared,,,
es,812968266704547841,812968266704547841,2016-12-25T10:28:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",51211200,Instagram,Ya se acabaron los regalos...| | #Epic #scared http://someurl,everyone,#scared,,,
es,812665573976973312,812665573976973312,2016-12-24T14:25:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",779702794051657732,Instagram,El coco... 😶... 😂 #coco #coconut #scare #scared #boogieman #elcoco #supermarket #super #conbini... http://someurl,everyone,#scared,,,
tl,812014995894583296,812014995894583296,2016-12-22T19:20:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",439234574,Instagram,Miren quien estaba #super #emocionado #exited  y #asustado #scared  esa #navidad hahahahaha #tbt... http://someurl,everyone,#scared,,,
es,811795539025084416,811795539025084416,2016-12-22T04:48:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",163868576,Instagram,Curse #scared @ Radio Elsinta http://someurl,everyone,#scared,,,"{'place_id': '7c7e93f29191841c', 'coordinates': {'type': 'Point', 'coordinates': [106.72244261, -6.21960935]}}"
es,811349206057238528,811349206057238528,2016-12-20T23:14:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",91247729,Instagram,I look kinda #scared. #PanchoVilla es el #diablo (gringo accent) 🤠 @ Paseo del Carmen http://someurl,everyone,#scared,,,"{'place_id': 'cb407226ddba7ce4', 'coordinates': {'type': 'Point', 'coordinates': [-87.0752777, 20.622444]}}"
es,811253819858362368,811253819858362368,2016-12-20T16:55:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",165888063,Instagram,Todo va a ir bien. Lo sé!| #afternoon #coffee #stepbystep #calm #scared #strong #wehavetosmile... http://someurl,everyone,#scared,,,
es,811236142339104768,811236142339104768,2016-12-20T15:45:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",70723779,Instagram,"He was scared :(| | Jajajaja, me gusta espantarlos x3| | #Cat #Instacat #Scared #Gato http://someurl",everyone,#scared,,,
es,811072617226584064,811072617226584064,2016-12-20T04:55:55.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",837319135,Twitter for iPhone,A veces me da por hacer la limpieza escuchando Alejandro Fernández ¿donde está el rock en todo este asunto? Ni idea...| #Scared,everyone,#scared,,,
es,809840886230216704,809840886230216704,2016-12-16T19:21:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1327949533,Twitter Web Client,3d sexvilla 2 game #scared having sex http://someurl,everyone,#scared,,,
es,809691467564412928,809691467564412928,2016-12-16T09:27:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2203791854,Facebook,43/1 to 54/5| Pakistan in Australia. | #scared| #Be_very_scared :D,everyone,#scared,,,
