source,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,in_reply_to_user_id,referenced_tweets,geo
Twitter SMS,#Vocab| | #Scar| Dagh/Nishan| | #Scare| Darna| | #Scared| Khofzadda| | #Scarce| Nayaab/Kam| | #Scatter| Muntashir Hona,everyone,hi,801076263771340801,801076263771340801,3016843926,2016-11-22T14:53:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Instagram,#poolKHAI #бубух #jump #goodweather #aftertraining #scared @ Khai http://someurl,everyone,hi,792719002191757314,792719002191757314,484319679,2016-10-30T13:25:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,"एल.जी का पलटवार, कहा जांच से डर क्यूं रही #ArvindKejriwal की सरकार| @someuser #Scared #Government | http://someurl http://someurl",everyone,hi,787254873632935936,787254873632935936,2201706786,2016-10-15T11:32:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 1}",#scared,,,
Twitter Web Client,"अगर विधानसभा चुनाव बिहार में होते, तो पीएम वहीं गए होते : अखिलेश यादव  #Scared #JrPappu",everyone,hi,785778223732764672,785778223732764672,53979014,2016-10-11T09:45:02.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
Instagram,"#goldentemple #berbababudhasahib #scared #tree @ Golden Temple (Shri Darbar Sahib), Amritsar http://someurl",everyone,hi,783724710529896449,783724710529896449,42390132,2016-10-05T17:45:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Jurni Inc.,saravana_kumar has shared a jurni #SCARED #TECH #Jurni http://someurl,everyone,hi,783012888025849856,783012888025849856,537140964,2016-10-03T18:36:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,"Aaj university jaany ka dil nai kr raha, #scared",everyone,hi,780711210866118657,780711210866118657,767733654546157568,2016-09-27T10:10:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#scared,,,
Twitter for iPhone,"साल, दिन, लम्हे बीत रहे है तनहा यहाँ | भीड़ से डरने वाले आज तनहायी से ख़फ़ा है | | #aashiquie #alone #loneliness #scared",everyone,hi,778300503377805312,778300503377805312,79405850,2016-09-20T18:31:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,,,
Twitter for Android,Gehri chot aa sakta hai #scared,everyone,hi,777565017084465154,777565017084465154,182914957,2016-09-18T17:48:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Hootsuite,बलूच पर पीएम मोदी के दिए बयान से डर गया है पाकः मेहरान| http://someurl #modi #baloch #scared #pakistan http://someurl,everyone,hi,777043846421176320,777043846421176320,713334024756793344,2016-09-17T07:17:44.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,एक बिल्ली जो हर समय डरी हुई लगती है! देखिए मज़ेदार वीडियो| http://someurl| #animals #scared #cat #trending,everyone,hi,763623228870791169,763623228870791169,4778435725,2016-08-11T06:28:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,सड़क पर खुल गया थाना!| http://someurl| #mppolice #scared #policestation #vastudosh,everyone,hi,761774490170908672,761774490170908672,4778435725,2016-08-06T04:02:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,"अपने ही बच्चे को देखकर डर गई मां, जानिए क्यों?| http://someurl| #Woman #scared #ultrasound #baby #trending",everyone,hi,759302315530596352,759302315530596352,4778435725,2016-07-30T08:19:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,Ye auqaat hai insaan ke. #scared,everyone,hi,754646180508921856,754647109098430465,381090417,2016-07-17T12:01:06.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,381090417,"[{'type': 'replied_to', 'id': '754646774980182016'}]",
Facebook,"मॉडलिंग से बॉलीवुड की ऊंचाईयां, अब लग रहा डर@someuser9GjMi8| #PriyankaChopra #Scared #fame http://someurl",everyone,hi,751421328121556992,751421328121556992,46853675,2016-07-08T14:23:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
Instagram,#abondoned #house #esi #rooftop #scared #dad #5oo9 @ Eden City Maheshtala http://someurl,everyone,hi,749674489986813952,749674489986813952,181538337,2016-07-03T18:41:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '70957ac3123b3249', 'coordinates': {'type': 'Point', 'coordinates': [88.2111421, 22.4943218]}}"
Twitter for Android,@someuser lagta ha idhar bhi kuch research ki hui hai! #Scared #IgiveUp 😜😂,everyone,hi,746229087203557376,746236398512934914,3172770038,2016-06-24T06:59:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",#scared,2894918162,"[{'type': 'replied_to', 'id': '746234863569637376'}]",
Twitter for Android,"Jutaa raha hoo himmat tujhse baat karne ki, kahin ye himakat kahi koi saza na de de... #nervous #scared",everyone,hi,743758819801473024,743758819801473024,277929883,2016-06-17T10:54:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
