lang,reply_settings,source,public_metrics,created_at,text,conversation_id,id,author_id,search_query,referenced_tweets,in_reply_to_user_id,geo
nl,everyone,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:37:48.000Z,#Democrats are #scared ijs,814978828703412224,814978828703412224,49898756,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T16:36:58.000Z,Van die mensen die nu al vuurwerk afsteken🙄 #scared #doyouhavealife,814872922020085760,814872922020085760,3303653530,#scared,,,
nl,everyone,TweetDeck,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2016-12-22T12:25:10.000Z,"Oef, toets van gisteren is heel slecht gemaakt. We krijgen nu het voorlopige cijfer te horen. Docent kreeg er buikpijn van..... #scared",811910449524539396,811910449524539396,3017329917,#scared,,,
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T03:49:14.000Z,#scared hart diet ls2 helmets india online shopping,810693446562365441,810693446562365441,788927936,#scared,,,
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-02T18:45:11.000Z,Iemand is hier bang voor de stofzuiger😂😂 #catsofinstagram #cat #scared #silly http://someurl,804758327771201536,804758327771201536,221794609,#scared,,,
nl,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-23T21:43:41.000Z,Een ware horrorkok bij @someuser in #Almere| | #spookhuis #scared #cook #evil #cookin... http://someurl http://someurl,801541756911308809,801541756911308809,86901025,#scared,,,
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-16T18:26:58.000Z,"@someuser @someuser @someuser Oei....!? #scared Maar geduld is een schone deugd, en we blijven kijken!",798951262981160966,798955535970209792,215997696,#scared,"[{'type': 'replied_to', 'id': '798955060969340928'}]",388219090,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-13T10:09:56.000Z,Damn zit hier gwn alleen thuis en belt er 3x iemand aan en kijk ik s der niemand #Scared,797743289680203780,797743289680203780,3332729589,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-09T08:14:09.000Z,"Brexit, trump, ik zie Geert Wilders in de Nederlandse toekomst. #uselections #verkiezingen #scared #help",796264602577367043,796264602577367043,45335599,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-09T07:36:33.000Z,#RIPUSA Donald Trump wordt de volgende president van de VS #scared #winteriscoming http://someurl,796255139753553920,796255139753553920,499028078,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-09T07:11:45.000Z,@someuser @someuser een wereld met @someuser @someuser  @someuser @someuser en @someuser| Prachtig toch? #Scared,796247202813399040,796248898843066368,147112413,#scared,"[{'type': 'replied_to', 'id': '796247202813399040'}]",14690638,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-09T04:58:39.000Z,Beurzen zen aant crashe.eerste resultaten komen nog voor het officieel is! @someuser #ClintonVsTrump  #scared #PrayForTheWorld  #PrayForUSA,796215403777327104,796215403777327104,25098327,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-06T11:37:41.000Z,"Three things @someuser has never been: #sorry, #lonesome, or #scared @someuser @someuser",795228658361372677,795228658361372677,1333616060,#scared,,,
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-31T20:05:36.000Z,#halloween #scared #friends #amigaslindas #tekkers #funtimes @ Tekkers Family Bar & Restaurant http://someurl,793182152196259840,793182152196259840,20614384,#scared,,,
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-29T09:55:54.000Z,#halloween  pffft. I aint #scared http://someurl,792303940599701504,792303940599701504,210376385,#scared,,,
nl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-25T12:48:42.000Z,"Bij ons verkrijgbaar, lenzen!! #halloween #oct #october #31 #scary #spooky #boo #scared #costume #ghost #pumpkin... http://someurl",790897874057981952,790897874057981952,118749025,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2016-10-17T05:00:33.000Z,Kmoe naar de orthodontist en kheb mijn rekkers nie gedragen shittt iemand ervaring? #scared,787880957848281092,787880957848281092,2719890539,#scared,,,{'place_id': '5c0f71f3a48b5550'}
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-14T01:49:49.000Z,#inktober #inktober2016 | Bennie is #scared | #sukasareads #sukasareads http://someurl,786745796293033984,786745796293033984,256100662,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-11T20:56:06.000Z,Waterbury/Bridgeport is ghetto af #i #Am #Scared,785947103382077440,785947103382077440,256105903,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-04T14:23:20.000Z,"Het stormt, waait en regent heel erg. We zijn erg bang. Het enige wat we kunnen doen is afwachten #HurricaneMatthew #Haiti #scared",783311548110479360,783311548110479360,158797692,#scared,,,
nl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-03T07:02:38.000Z,Wij hebben onze Halloween weer uitgepakt!! #halloween #oct #october #31 #denhelder #spooky #boo #scared #costume... http://someurl,782838254152351744,782838254152351744,118749025,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-10T16:18:51.000Z,Er reed net een auto voorbij met een clown achter de stuur #scared en nee t was geen mini auto,774643309847478272,774643309847478272,252001073,#scared,,,
nl,everyone,Twitter Web App,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2016-09-08T01:15:56.000Z,Enorm aan het twijfelen om trg met yt te beginnen of niet #doubts #youtube #angst #scared #dontknowwhattodo,773691304815525888,773691304815525888,3404436004,#scared,,,
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-03T22:56:50.000Z,Laatste weekend voor de rest van je leven. #excited #scared #depressed #enthusiastic,772206749508104192,772206749508104192,108991266,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-31T11:18:32.000Z,Spinnen zijn echt te groot tegenwoordig #scared,770943853889196032,770943853889196032,78946165,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-17T23:54:35.000Z,Laat mij nu niet ziek worden in de nacht voor gamescom. 😩 #scared,766060688045383680,766060688045383680,827590418,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-16T23:14:06.000Z,Ik sta echt doodsangsten uit voor die verschrikkelijke buren.... Doodenge aggressievelingen met 1 hersencel... #scared #bang #Neighbours,765688114304221184,765688114304221184,305115610,#scared,,,
nl,everyone,Vine - Make a Scene,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-03T15:02:59.000Z,Dat filta doe #snapchatfaces #LOL #wtf #omg #comedy #funny #Vine #Bored #lmao #scared #follow #haha http://someurl,760853478767943680,760853478767943680,842707500,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-02T00:07:06.000Z,Binnen maand voort eerst middelbaar #scared😑😳,760265634353741824,760265634353741824,4697561234,#scared,,,
nl,everyone,Twitter for Windows,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-01T20:48:36.000Z,@someuser poepsimpel #hides #runs #scared,760175606868959232,760215676569153536,186068526,#scared,"[{'type': 'replied_to', 'id': '760183874005635072'}]",4129701,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 9, 'quote_count': 0}",2016-08-01T19:16:51.000Z,Das een monster op zen buik #scared http://someurl,760192588590768128,760192588590768128,725633149682761728,#scared,,,
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-29T20:38:19.000Z,De 1e videos uit #Edmonton komen ook binnen. Zoals deze #Scared. http://someurl En check BC| #tragicallyhip #thehip #manmachinepoem,759125926525403136,759125926525403136,1698655789,#scared,,,{'place_id': '871685aa82f8a489'}
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-28T15:17:32.000Z,"omw dokter, 2 spuiten in beide knieen, met n beetje geluk weer normaal kunnen lopen #Scared #Needle #INeedADoctor :P",758682810165108736,758682810165108736,2890551598,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-19T12:26:32.000Z,#scared uuuwwooooooo http://someurl,755378288952868865,755378288952868865,1699236900,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-18T20:57:41.000Z,Aanslag in Duitsland.. Waar gaat de wereld naartoe? 😮 #scared,755144532681953280,755144532681953280,351807376,#scared,,,
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-14T16:45:21.000Z,Jajaja by snapchat 👻👻👻| #spooky #Scared #fear #thewalkingdead #death #Shout #instavideo #Good... http://someurl,753631481700818944,753631481700818944,339092095,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-09T22:03:15.000Z,Ik zet inmiddels elke minuut de boel even op pauze. Ben echt niet zo stoer en volwassen als ik zou willen zijn op dit moment. #huilt #scared,751899542941999104,751899542941999104,23738666,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-09T07:34:04.000Z,Over 3 dagen ga ik bijna vliegen rond deze tijd😐 #scared #backpack #Guatemala,751680807819939840,751680807819939840,197175889,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-23T19:59:02.000Z,Gosh ik haat onweer 🤕 #scared,746070075690594304,746070075690594304,313340991,#scared,,,
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-22T21:07:38.000Z,Morgen met de trein en maar hopen dat de NS het een beetje voor elkaar heeft #NS #scared,745724951680811008,745724951680811008,224250390,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-07T14:51:11.000Z,Ga zo dadelijk een make-over ondergaan. Bybye longhair #scared,740194398340808704,740194398340808704,3159013142,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-06-04T20:56:12.000Z,Geluk dat ik binnen zit en via het raam in de slaapkamer geen zicht heb op het onweer. #scared,739199093977812992,739199093977812992,213021423,#scared,,,{'place_id': '584ead16e0f26581'}
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-30T16:42:20.000Z,Toen straks tijdens het eten heeft het even super hard zitten onweren! #scared,737323265979502593,737323265979502593,421832568,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-15T19:04:10.000Z,"Alle landen uit de EU. Dan hebben de eurofielen geen baan, daarom zegt M instabiliteit en Cameron WO3. #scared http://someurl",731923142759862273,731923142759862273,2498890181,#scared,"[{'type': 'quoted', 'id': '731914765199642624'}]",,
nl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-13T02:14:09.000Z,#NewJack VS Gypsy Joe| | #Shocked #Scared #Nightmare #OG #Gangster| | #CRAZY #ProWrestlingMatch| | http://someurl via @someuser| | #pray4joe,730944188309626880,730944188309626880,22373791,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-05-09T18:26:25.000Z,Iemand tips om niet bang te zijn als je s nachts alleen thuis bent en dit absoluut niet gewend bent...? #scared #homealone #dtv,729739315383808000,729739315383808000,2200883964,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-05-07T22:55:14.000Z,"Al vanaf dat ik in mijn kamer ben, hoor ik precies voetstappen op de gang en ze zijn niet van mijn ouders of zus #scared",729082190605201408,729082190605201408,1656089485,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-06T07:53:50.000Z,"Gevallen met fiets, kaak gebroken, operatie, ..... #pain #lotsoffpain #scared #damn ......",728492958622846976,728492958622846976,275190232,#scared,,,{'place_id': '2a8a74486cd0d519'}
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-05-06T07:15:43.000Z,Morgen 1ste keer alleen op reis vertrekken! Gelukkig heb ik het boek van @someuser 😊✌🏼️ #scared #excited #waarbenikaanbegonnen,728483364118904833,728483364118904833,106780523,#scared,,,
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-05-02T20:50:49.000Z,Babyfoot! 😂🙈😳#scared http://someurl,727238940479131648,727238940479131648,173936629,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-17T09:24:48.000Z,@someuser ooft! #scared,721576929917280256,721630478936236033,3040709241,#scared,"[{'type': 'replied_to', 'id': '721615137984131072'}]",2298044475,
nl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-12T12:19:57.000Z,emcoop89 #neutralbaybandits #scared #shitherself #poop #nickiminaj #closet #hiding #prank... http://someurl,719862618815500288,719862618815500288,4773347954,#scared,,,
nl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-04T15:28:29.000Z,Ik besef nu pas dat ik volgende week terug geschiedenis #scared,717010960624578560,717010960624578560,2809458200,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-26T10:03:14.000Z,"Bagagekar is tegen de motor vh vliegtuig aangereden, ze gaan kijken of ze hem kunnen repareren... #what @someuser #scared #vliegangst",713667621418311680,713667621418311680,72020405,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2016-03-22T08:29:59.000Z,Mijn hart gaat uit naar alle slachtoffers van de aanslagen in #Brussels en hun naasten en houd mijn hart vast voor wat er komen gaat.#Scared,712194600375619584,712194600375619584,60937483,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-20T22:00:02.000Z,RT @someuser Jeeezus! @someuser @someuser #TowerBlock #scared 😳😳😁,711673680695316485,711673680695316485,51734538,#scared,"[{'type': 'retweeted', 'id': '711666308681756672'}]",,
nl,everyone,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-20T21:30:44.000Z,Jeeezus! @someuser @someuser #TowerBlock #scared 😳😳😁,711666308681756672,711666308681756672,187111049,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-20T16:29:52.000Z,"@someuser 6 uur lange operatie deze woensdag in UZG, wens me succes ajb, zou zoveel voor me betekenen 😭🙏🏻 #scared",711590591642079233,711590591642079233,2879542058,#scared,,345215108,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2016-03-14T17:43:14.000Z,De les vennootschapsboekhouden lijkt op de 10 kleine negertjes van Agatha Christy. Elke les komen er minder studenten opdagen. #Scared,709434727950843904,709434727950843904,110681472,#scared,,,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-29T20:09:48.000Z,"@someuser Ik kon heel die man niet, ik kreeg een déjà vu naar de onderbreking bij het nos journaal toentertijd met die gek haha #scared",704398184282517505,704398184282517505,152703010,#scared,,2493961494,
nl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-27T21:39:21.000Z,Vanaf morgen dus proberen te vloggen.. #scared http://someurl,703695941707145216,703695941707145216,1865275256,#scared,,,
