reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,referenced_tweets,geo,in_reply_to_user_id
everyone,zh,806936809498406912,555271978,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806936809498406912,Im so scared~~~~~~剛講電話講到一半，突然聽到有一個聲音說「好吵喔⋯⋯」😱😱😱，真的嚇到了⋯我朋友安慰說是我聽錯了⋯呃～～好可怕⋯⋯⋯😖😖😖 !! #scared... http://someurl,Instagram,2016-12-08T19:01:42.000Z,#scared,,,
everyone,zh,798040817806045184,514481235,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",798040817806045184,原來做惡夢到醒不來是真的..| 太多太多可怕的事了 原來我也會哭著驚醒| 最近有點害怕睡著..| #jain #nightmares #feel #scared #terrible #dreams... http://someurl,Instagram,2016-11-14T05:52:12.000Z,#scared,,,
everyone,zh,793088312391131137,1407741890,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",793088312391131137,來應景一下唄！| #happyhalloween🎃 #scared #omg #1031 jouan603 #HappyBirthDay #friendinjuniorhigh #wish... http://someurl,Instagram,2016-10-31T13:52:43.000Z,#scared,,,
everyone,zh,759101465319370753,720118740759810048,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",759101465319370753,台中下大雷雨| 雷聲真的滿可怕的....| 閃電也好亮| | #taichung #taichungcity #rain☔ #rain #terrible #scared http://someurl,Instagram,2016-07-29T19:01:07.000Z,#scared,,,
everyone,zh,757639688253419520,84250409,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757639688253419520,▪️Hon. Elijah Muhammad 跟我们说过” 男人只有的天堂是在女人找得到▪️#Women #Farrakhan #heaven #divine #scared  http://someurl,Twitter for iPhone,2016-07-25T18:12:32.000Z,#scared,"[{'type': 'quoted', 'id': '757546590789705728'}]",,
everyone,zh,744886522013417474,50674527,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",744886522013417474,很好  我的眼睛現在腫的見不得人耶😰認真考慮明天要不要出門😑| #hurted #LITTLESURGERY #EYES #SWELLING #SHOCKED #SCARED #DOCTOR # http://someurl,Instagram,2016-06-20T13:36:00.000Z,#scared,,,
everyone,zh,742373314476277760,725565554,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",742373314476277760,20160612| 每次來台茂就是看鬼片| 花錢來嚇自己| 而且還那麼貴😢| 可以不要再出鬼片了嗎！| #厲嬰宅2 #紅衣小女孩 #scared @ 台茂美麗華影城 http://someurl,Instagram,2016-06-13T15:09:25.000Z,#scared,,,
everyone,zh,740522414770098176,738260827673743360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",740522414770098176,最近一直在追電影，哈！| 希望會好看...| #theconjuring #movies #scared http://someurl,Instagram,2016-06-08T12:34:36.000Z,#scared,,,
everyone,zh,728548168384716800,3061544394,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",728548168384716800,聽說明天。。。是丙檢| gg~~~~~| 拜託給我DESIGNER| 拜託讓我過ㄚ| #丙檢  #scared  #please  #pass,Twitter for Android,2016-05-06T11:33:13.000Z,#scared,,,
everyone,zh,718430468966785024,725565554,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",718430468966785024,我笑的真誠或虛偽| 都是因為想讓一切更有希望| 我找了千百個理由| 卻不願面對唯一的答案| 所有的不安襲捲而來| 我真的想知道真相嗎| #ex #truth #scared http://someurl,Instagram,2016-04-08T13:29:06.000Z,#scared,,,
