public_metrics,created_at,id,text,reply_settings,conversation_id,source,geo,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,withheld
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:56:36.000Z,814983558108483588,Look at these #beautiful #pictures of our model! Were #super #excited! Call now to #reserve your new #home! (855)277-7106 http://someurl,everyone,814983558108483588,Twitter for iPhone,{'place_id': '69ae3b3b99c42508'},740277517840310272,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:51:52.000Z,814982366372433920,Watching early episodes of Bullseye is like watching a new series of How We Used To Live. #super #smashing #sexist,everyone,814982366372433920,Twitter for iPhone,{'place_id': '53b67b1d1cc81a51'},126939237,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:50:55.000Z,814982128978931712,Av been mood 😷😷all day dnt no y😕😕 #super-Nani👌#onmyownrules🙆 #ownitbosslady😇🌟smile http://someurl,everyone,814982128978931712,Instagram,,1271801490,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:49:55.000Z,814981875240419328,#super sexy nude models girlfriends mom naked http://someurl,everyone,814981875240419328,Twitter Web Client,,751916519496544256,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-30T23:48:02.000Z,814981401577750529,Good smile is a good start of my day | |  #super http://someurl,everyone,814981401577750529,Twitter Web Client,,4699392445,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:47:37.000Z,814981295516155904,I Know THATS RIGHT!!! #Super#Humble#ItPayedOff#WontHeDoIt😇🙏🏽🙏🏽🙌🏽🙌🏽💯🤗 http://someurl,everyone,814981295516155904,Instagram,,1174011595,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:46:52.000Z,814981110127919104,So bored just cant sleep 😴😴😴 #super-Nani #onmyownrules🙆 #ownitbosslady😇🌟smile http://someurl,everyone,814981110127919104,Instagram,,1271801490,en,#super,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:45:17.000Z,814980708544475137,Check out Collectable Puzzles! Super Mario Maker 550-Piece Puzzle Game #USO http://someurl via @someuser| #Super Mario,everyone,814980708544475137,Twitter Web Client,,53801950,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:33:07.000Z,814977647965073410,#Super #bowl #Li #houston #texas #2017 call today and book your package @someuser.. http://someurl,everyone,814977647965073410,Instagram,,2157874332,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:27:50.000Z,814976319813361664,Im fixin to Superhero Kneel on 2017!  #marvel #super #motivation #dc #hero http://someurl,everyone,814976319813361664,Instagram,,34827219,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:17:20.000Z,814973675669622785,Two teams not named NY Giants to look out for on Cowboys path to Super Bowl #teams #named #giants #cowboys #super http://someurl http://someurl,everyone,814973675669622785,dlvr.it,,784064981427974144,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:15:31.000Z,814973217156775936,"#Ethelandernest. A must see walk thru #raymondbriggs family story encompassing history, social changes, modern inventions. #super",everyone,814973217156775936,Twitter for iPhone,,141358636,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:09:16.000Z,814971646066835456,"#2007 #HYUNDAI #SONATA **** #super #clean ****: QR Code Link to This Post Automatic, v6, 141k mile, metallic blue... http://someurl http://someurl",everyone,814971646066835456,dlvr.it,,2595181597,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:08:06.000Z,814971354281889792,Jan 28 Dreamer the ultimate Supertramp Tribute in buffalo | @someuser music hall #super... http://someurl http://someurl,everyone,814971354281889792,IFTTT,,39070226,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:08:00.000Z,814971326121340929,@someuser  Keep up the great work!!!! 💪🏻💪🏻🏋🏼‍♀️🏋🏼‍♀️ We need you in the playoffs!!! #Here we go Steelers!!!!! #Super Bowl 50 🏈🏈,everyone,814968910755860481,Twitter Web App,,2165703326,en,#super,"[{'type': 'replied_to', 'id': '814968910755860481'}]",222365692,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-30T23:07:59.000Z,814971323927633920,beauty #queen | |  #super http://someurl,everyone,814971323927633920,Twitter Web Client,,740125616561901568,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:00:33.000Z,814969454178119680,feeling mighty super about this next year! #super #solace... http://someurl,everyone,814969454178119680,Instagram,"{'coordinates': {'type': 'Point', 'coordinates': [-122.36375, 47.56871]}, 'place_id': '300bcc6e23a88361'}",111797670,en,#super,,,
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-30T22:55:43.000Z,814968236106084352,"just getting #naked and #something got #super #hard, #lol just 2017 #newYear #goal, go #lean and #keep #cumming and #camming, #happynewyear http://someurl",everyone,814968236106084352,Twitter Web Client,,734869530120323072,en,#super,,,
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:50:08.000Z,814966831144321024,by @someuser / Power Instinct ( #Super #Nintendo/#SNES/#NES ) Rare Atlus/#SNES #retrogaming #ebay http://someurl http://someurl,everyone,814966831144321024,dlvr.it,,2801606834,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:39:56.000Z,814964262288392192,Move over #Super #Mario! #Watch John #Legere and crew take on the #Wireless #Industry in 8-bit #Graphics| | http://someurl http://someurl,everyone,814964262288392192,NewsVideos,,2994053057,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:26:09.000Z,814960796031709184,#super hero adult miller lite girls nude http://someurl,everyone,814960796031709184,Twitter Web Client,,751922889117536256,en,#super,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:21:43.000Z,814959680799866881,#Super #Nintendo/#SNES/#NES/CONSOLE + 3 GAMES + PAD + TV LEAD - WORKING & TESTED UK/#SNES #retrogaming #ebay http://someurl http://someurl,everyone,814959680799866881,RetroDeals,,703537008002605057,en,#super,,,
