source,geo,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,in_reply_to_user_id,referenced_tweets
Instagram,"{'place_id': '7ba06860ba32da18', 'coordinates': {'type': 'Point', 'coordinates': [-68.92674315, -37.38780102]}}",El Axiom en Rincón de los sauces con Luis sebastian #Super @ Rincón... http://someurl,everyone,es,814981210430644225,814981210430644225,160534549,2016-12-30T23:47:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,MI CARA LO DICE TODO PASANDOLA #SUPER EN MIS #VACATIONS #VACACIONES #patinandoenhielo... http://someurl,everyone,es,814980858478231553,814980858478231553,27363506,2016-12-30T23:45:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#super,,
Instagram,"{'place_id': '7ba06860ba32da18', 'coordinates': {'type': 'Point', 'coordinates': [-68.92527778, -37.39027778]}}",El axiom en Rincón de los Sauces con Damas Gratis #Super @ Rincón de... http://someurl,everyone,es,814980515296059398,814980515296059398,160534549,2016-12-30T23:44:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
RetroDeals,,Mega Man X -/#SNES/#NES/#Super #Nintendo (repro)/#SNES #retrogaming #ebay http://someurl http://someurl,everyone,es,814977246154948608,814977246154948608,703537008002605057,2016-12-30T23:31:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#super,,
RFJS_ES,,#Anillo de Plata #Super Skinny apilamiento http://someurl #etsyshop #joyeríafina #demoda #contento #etsyhandmade #accesorios,everyone,es,814976901378936832,814976901378936832,787986249084788736,2016-12-30T23:30:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,#super long pussy lips venezuela xxx http://someurl,everyone,es,814943875211100160,814943875211100160,124908781,2016-12-30T21:18:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
mommyinmotion,,Gal Gal Gal Gal #Super #Milk #Harlem #Intercourse http://someurl http://someurl,everyone,lt,814942923930275840,814942923930275840,2592457604,2016-12-30T21:15:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,#ADQUIERE #HOY tu SOAT AUTO y obtén una #SUPER #PROMO bono gasolina x $30MIL. Solo en Seguros Éxito .com: http://someurl http://someurl,everyone,es,814938732985978880,814938732985978880,330505265,2016-12-30T20:58:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,"Dsd mañana los #Super no dan mas #bolsas ,ni las pueden cobrar ,en #EEUU los super te ponen doble bolsa plastica pero la gente esta #educada",everyone,es,814917098107441152,814917098107441152,160768274,2016-12-30T19:32:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#super,,
Twitter for Android,{'place_id': '9d8ae4b0fac2036a'},El #Super @someuser ya tiene la mira puesta en el 2017. Sintoniza el ultimo #SnackMusic del 2016 #FelizAñoNuevo #PasalaBien http://someurl,everyone,es,814913528356306944,814913528356306944,536273507,2016-12-30T19:18:20.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
