reply_settings,public_metrics,source,author_id,text,created_at,id,conversation_id,lang,search_query,in_reply_to_user_id,referenced_tweets,geo
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,242063709,#super big pussy lips rani mukherjee naked http://someurl,2016-12-29T12:50:07.000Z,814453445830787072,814453445830787072,hi,#super,,,
everyone,"{'retweet_count': 31, 'reply_count': 0, 'like_count': 14, 'quote_count': 0}",Twitter Web Client,288077673,अमीर परिवारों के लिये गरीबों की बलि: राहुल | #Poor #Sacrifice #Super #Rich #RahulGandhi| http://someurl,2016-12-28T09:36:38.000Z,814042365648191488,814042365648191488,hi,#super,,,
everyone,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}",Twitter for Android,4048021213,#My brother bijin  #super  naa| @someuser @someuser | @someuser @someuser http://someurl,2016-12-28T04:34:59.000Z,813966450440503299,813966450440503299,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetDeck,327935226,#Super se bhi #OOPER @someuser,2016-12-27T10:15:22.000Z,813689722350354432,813689395119149056,hi,#super,355989081,"[{'type': 'replied_to', 'id': '813689395119149056'}]",
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter SMS,25095162,"#Super #Bomb Banshee, Siren #Super #Sonic #Spiritual #Bombshell",2016-12-26T14:35:14.000Z,813392733440122880,813392733440122880,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2561720820,"@someuser| Vaghelaji aaye #Pappu K paas ek din, Gujarat mei 20-25 saal #Modiji k saath kaam kiya, wo kehte hain Modiji #Super planner Hain :",2016-12-26T10:19:32.000Z,813328385782923264,813328385782923264,hi,#super,1153045459,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Windows,2159217230,RTRAHUL JI KEJARIWAL MAMTA LALU ADI JAISE #SUPER#CHALU BAN RAHE H#DEMONETISATION KI#AANCH SE BANANE K LIYE@someuser http://someurl,2016-12-22T11:43:34.000Z,811899980533399552,811899980533399552,hi,#super,,"[{'type': 'quoted', 'id': '811890891002523648'}]",
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Google,792317482635669504,#Super #saver #Security #Chain #Company #SC1040 #Radial Chain #Cable #Traction #Tire Chain... http://someurl,2016-12-22T05:48:49.000Z,811810703413833728,811810703413833728,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2772505729,#Super: रईस शाहरूख और उनकी लैला सनी लियोन...सलमान के साथ| http://someurl| #Raees #ShahRukhKhan #SunnyLeone #LailaOLaila @someuser,2016-12-19T04:20:11.000Z,810701237205274624,810701237205274624,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,344418913,अरबो खरबो रुपए कमाने के बाद #Super Dancer वाले जितने वाले बच्चे को सिर्फ #15_लाख | | हद है ................#लीचड़_पन की,2016-12-19T03:12:31.000Z,810684206812635136,810684206812635136,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Facebook,768770111465414656,"#Super star Krishna #Krishna Devudu Lanti Manishi book launched, Vinayaka Raohttp://someurl http://someurl",2016-12-18T10:08:07.000Z,810426408774168576,810426408774168576,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Facebook,843529538,iOS यूजर्स के लिए उपलब्ध हुई सुपर मारियो रन| #iOS #users #super #mario http://someurl,2016-12-18T06:05:26.000Z,810365333676654592,810365333676654592,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Facebook,843529538,9 साल की दित्या बनीं इंडिया की पहली सुपर डांसर| #ditya #winner #super #Dancer http://someurl,2016-12-18T05:01:59.000Z,810349368486268928,810349368486268928,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,3150212815,#Super: रईस शाहरूख और उनकी लैला सनी लियोन...सलमान के साथ http://someurl via @someuser,2016-12-17T19:26:20.000Z,810204499067473921,810204499067473921,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,974357442,@someuser Hai #super thalapathi#😜😜😜😜,2016-12-17T18:21:13.000Z,810188112924119040,810188112924119040,hi,#super,923189442,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",dlvr.it,606888581,#Super: रईस शाहरूख और उनकी लैला सनी लियोन...सलमान के साथ http://someurl http://someurl,2016-12-17T17:57:13.000Z,810182071930892288,810182071930892288,hi,#super,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",hindi.news24online.com,34206701,कई जहाजों को एक साथ लेकर उड़ सकता है नासा का ये जहाज सुपर गप्पी #NASA #Super #Guppy http://someurl http://someurl,2016-12-17T00:02:58.000Z,809911728632958976,809911728632958976,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,799647220631011328,"#ETSmartGreen| #Super Emigration #DaagSeKyaDarnaDay2 | #AbAurNahi | मोदी इस बेस्ट,,राहुल इस वेस्ट😊😊😊😊 आप इसे मानते हैं???",2016-12-16T16:21:25.000Z,809795578280480768,809795578280480768,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,114689666,Kuch jyada jaldi morning ho gai 🙈 #super #earlymorning #goodmornin,2016-12-13T00:06:29.000Z,808463062197882880,808463062197882880,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,750930683594469376,@someuser  #happy birthday thalaiva #super star yaaru nu ketta chinna kulanthiyum sollum...🎂🎂🎂🎆🎆🎊🎊🎇🎉🎉🎋🎋🎁🎂🎈🎈🎈 ... # rajinikinath,2016-12-12T06:55:25.000Z,808203586803011584,808203586803011584,hi,#super,1176135546,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",TweetCaster for Android,248064505,#super RT @someuser Prabhas http://someurl,2016-12-10T04:16:18.000Z,807438767594217472,807438767594217472,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Daily-Manything,758659792906911745,#rt #Super Smash #Bros Melee  http://someurl,2016-12-09T10:29:46.000Z,807170365797568512,807170365797568512,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1596543638,देश में ऐक फिल्म चल रही है| ( तबाही )| #Super #hit| #नोटबंदी_नहीं_व्यापारबंदी,2016-12-09T08:23:07.000Z,807138493197586432,807138493197586432,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,116218936,"#अगर_कांग्रेस_ना_होती desh aaj duniya ki #Super #Power hoti !, #Sardar #vallabhbhai patel desh k pahle #PM hote !!",2016-12-08T17:31:18.000Z,806914060503523328,806914060503523328,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2465355172,@someuser @someuser sir kya Aap ne kabhi socha tha ke comedy krte krte #super #star banne ka maouka milega,2016-12-07T05:52:18.000Z,806375762299392000,806375762299392000,hi,#super,704663994976641028,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,1943550776,Have a #super midweek @ Viharamahadevi Park http://someurl,2016-12-07T05:36:38.000Z,806371822245711872,806371822245711872,hi,#super,,,"{'coordinates': {'type': 'Point', 'coordinates': [79.8606, 6.91389]}, 'place_id': '173c2bb9d42baaa5'}"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,3537857412,#Fashion #Thunder Bolt #Lightning #Super #Pendant Long Chain #Necklace #Gifts 216203 #Fadkart http://someurl via @someuser,2016-12-06T11:08:34.000Z,806092968679481344,806092968679481344,hi,#super,,,
everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",Twitter for Android,793735597613469697,#Super  se bhi upar hoga #Kaabil & #Raaes 😎 | <DrunkenMaster>| @someuser @someuser #ShahRukhKhan #HrithikRoshan | @someuser | @someuser http://someurl,2016-12-03T20:37:48.000Z,805149054904705026,805149054904705026,und,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,802951207392333824,@someuser @someuser paji tuhade to baad Duniya end hai #super se uper #love u  Rabb mehar rkhe...   :),2016-12-03T19:19:22.000Z,805129315901984772,805023775607517184,hi,#super,310679156,"[{'type': 'replied_to', 'id': '805023775607517184'}]",
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,261118253,boom badoom boom boom badoom #super 🤘🏻,2016-12-01T23:03:23.000Z,804460915793899520,804460915793899520,hi,#super,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Mobile Web (M2),336342946,Jiyaa laage na #np #music #Talaash pinne oru #super um. Oru :) koodi,2016-12-01T16:56:54.000Z,804368688786931712,804368688786931712,hi,#super,,,
