in_reply_to_user_id,lang,public_metrics,id,text,author_id,referenced_tweets,reply_settings,created_at,conversation_id,source,search_query,geo
200098418,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814896443811069952,@someuser @someuser @someuser Goedkoop| Echt weer helemaal geschreven in de smerigste #haatzaai taal. | | Ik vind de leus #Super| Echt Hollands,2534677363,"[{'type': 'replied_to', 'id': '814773671407583232'}]",everyone,2016-12-30T18:10:26.000Z,814773671407583232,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814880309984559105,"Een #super #opdracht om volgende week het nieuwe jaar mee te beginnen, alles voorbereiden voor het komende... http://someurl",573534539,,everyone,2016-12-30T17:06:20.000Z,814880309984559105,Facebook,#super,
,nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814873633969569792,RT @someuser Zojuist nr1 oliebollen gekocht bij onze @someuser #Maaswijk #spijkenisse #echt #super 👍👍👍,26579503,"[{'type': 'retweeted', 'id': '814863174138740736'}]",everyone,2016-12-30T16:39:48.000Z,814873633969569792,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814871125888860161,Het beste citaat #super #qotd http://someurl,177983442,"[{'type': 'quoted', 'id': '814870922024861696'}]",everyone,2016-12-30T16:29:50.000Z,814871125888860161,Twitter for Android,#super,
,nl,"{'retweet_count': 1, 'reply_count': 4, 'like_count': 4, 'quote_count': 0}",814863174138740736,Zojuist nr1 oliebollen gekocht bij onze @someuser #Maaswijk #spijkenisse #echt #super 👍👍👍,398725680,,everyone,2016-12-30T15:58:14.000Z,814863174138740736,Twitter for Android,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814834676242202625,RT @someuser: Deze moet even op jullie website @someuser @someuser @someuser @someuser @someuser #super 👌😉 http://someurl,4070501122,"[{'type': 'retweeted', 'id': '814588583566831616'}]",everyone,2016-12-30T14:05:00.000Z,814834676242202625,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814834351187828736,"We zouden vandaag eigenlijk met zn allen naar het Spoorwegmuseum, maar nu we nog ziek waren, heeft n vriendin de meiden meegenomen #super :)",161179219,,everyone,2016-12-30T14:03:42.000Z,814834351187828736,Twitter for Android,#super,
511707260,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814820766814441472,@someuser goede jaarwisseling voor jou en al die #super collegas bij jou op de afdeling; maak er een mooi 2017 van| !,632284766,"[{'type': 'replied_to', 'id': '814758604544888832'}]",everyone,2016-12-30T13:09:44.000Z,814758604544888832,Twitter for Android,#super,{'place_id': 'afca51d4c1fdf88b'}
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814800612630155264,#Minions love #Banana. Deze zijn aangekleed met http://someurl #creatief met #plakband. #super! http://someurl,2208215964,"[{'type': 'quoted', 'id': '799558826760531970'}]",everyone,2016-12-30T11:49:38.000Z,814800612630155264,TweetDeck,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814786465095880704,#super #sale bij #morseltmode in #borne en #oldenzaal De restanten sale is alleen in Borne verkrijgbaar! http://someurl,250321022,,everyone,2016-12-30T10:53:25.000Z,814786465095880704,Twitter for Android,#super,
,nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814768866282835968,RT @someuser Volledige buitenland check bij  @someuser #vakkundig #uitvoerige check #super  #vleuterweide #leidscherijn http://someurl,208419669,"[{'type': 'retweeted', 'id': '814760318672969728'}]",everyone,2016-12-30T09:43:30.000Z,814768866282835968,Twitter for iPhone,#super,
,nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814760318672969728,Volledige buitenland check bij  @someuser #vakkundig #uitvoerige check #super  #vleuterweide #leidscherijn http://someurl,105745887,,everyone,2016-12-30T09:09:32.000Z,814760318672969728,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814759114903584768,#Ziggo zendt alle F1 wedstrijden uit op 14 en 401 uit. Per wedstrijd en half uur.| | #super #MaxVerstappen | @someuser @someuser http://someurl,217813235,,everyone,2016-12-30T09:04:45.000Z,814759114903584768,Twitter for Android,#super,{'place_id': '0e818880cd0717ad'}
727726717599662080,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814757166418690048,"@someuser #studentenhosting biedt de nieuwste versie van #PHP, namelijk #PHP7. Dit is #super #snel.Ga snel naar http://someurl",727726717599662080,,everyone,2016-12-30T08:57:00.000Z,814757166418690048,TweetDeck,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814705331058200577,Finish in zicht! #succes #super #allesvoorals #gramsbergen http://someurl,94349301,,everyone,2016-12-30T05:31:02.000Z,814705331058200577,Twitter for Android,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814616369727737856,RT @someuser Veel dank vrijwilligers van @someuser voor E-toernooi zaalvoetbal in @someuser Prima sfeer #super! http://someurl,222607922,"[{'type': 'retweeted', 'id': '814138389956005888'}]",everyone,2016-12-29T23:37:32.000Z,814616369727737856,Twitter for iPhone,#super,
,nl,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814604487260307456,"RT @someuser Op mijn site nu het verslag van Sri Lanka.. 10 dagen, veel gezien en gedaan #Reizen #Super #SriLanka http://someurl",234074786,"[{'type': 'retweeted', 'id': '814352534370328578'}]",everyone,2016-12-29T22:50:19.000Z,814604487260307456,Twitter for Android,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814588583566831616,Deze moet even op jullie website @someuser @someuser @someuser @someuser @someuser #super 👌😉 http://someurl,103312822,"[{'type': 'quoted', 'id': '814576354691784704'}]",everyone,2016-12-29T21:47:07.000Z,814588583566831616,Twitter for iPad,#super,
618419310,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814552304816975874,"@someuser Jaren lang in eerste model Ford Transit gereden. nog met V motor en ronde koplampen, dubbel lucht en verlengd. #super",316302593,"[{'type': 'replied_to', 'id': '814550758695862272'}]",everyone,2016-12-29T19:22:57.000Z,814550758695862272,TweetDeck,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814530351020339200,RT @someuser Over een paar weekjes weer naar #ibiza voor de nieuwe #ibiza #app 📱#super 😎by #willmediaibiza... http://someurl,569077144,"[{'type': 'retweeted', 'id': '814076756080623616'}]",everyone,2016-12-29T17:55:43.000Z,814530351020339200,Twitter for iPhone,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814481439697891328,"Eindejaars - AANBIEDING | #Porsche #Panamera 4.8 4S | Full Options #Super #Dik| bouwjaar 2010 | kilometerstand 126.000| € 53.950,- http://someurl",182777935,,everyone,2016-12-29T14:41:22.000Z,814481439697891328,TweetDeck,#super,
,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814469079566352385,Gister avond laat iets bij @someuser  besteld nu al in huis! #super,116181214,,everyone,2016-12-29T13:52:15.000Z,814469079566352385,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814453808990277633,#justintime 🎉🎉🎉🎁 De #nieuwe #theodoor #cadeaubon !!! Mooi #ingepakt en #super #leuk om te #krijgen en #cadeau te... http://someurl,2737331708,,everyone,2016-12-29T12:51:34.000Z,814453808990277633,Facebook,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814417120301871104,Of het voorjaar is. Wat een serenade van dit #roodborstje ? #super #singing http://someurl,110742295,,everyone,2016-12-29T10:25:47.000Z,814417120301871104,Facebook,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814372223301586944,non nude blonde teen #super naked models http://someurl,119114758,,everyone,2016-12-29T07:27:22.000Z,814372223301586944,Twitter Web Client,#super,
,nl,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814352534370328578,"Op mijn site nu het verslag van Sri Lanka.. 10 dagen, veel gezien en gedaan #Reizen #Super #SriLanka http://someurl",18728669,,everyone,2016-12-29T06:09:08.000Z,814352534370328578,Twitter for Android,#super,{'place_id': '7b02fbddf4d9f2c6'}
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814273524823166976,#super internet tv porn teen models leotard http://someurl,39481088,,everyone,2016-12-29T00:55:11.000Z,814273524823166976,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814151675552403457,Ik zeg het #PostmaPad! #tenboer #fietspadplus #super http://someurl,54504297,"[{'type': 'quoted', 'id': '814149335629828096'}]",everyone,2016-12-28T16:51:00.000Z,814151675552403457,Twitter for iPad,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814148132489560064,Green Ranger x Pink Ranger x Red Ranger. #green #pink #red #ranger #mmpr #sentai #super #bandai... http://someurl,40622749,,everyone,2016-12-28T16:36:55.000Z,814148132489560064,Instagram,#super,
