source,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,in_reply_to_user_id,referenced_tweets,geo
Google,Gostei de um vídeo @someuser de @someuser http://someurl 🎄#SUPER-AMACIANTE CONCENTRADO E ECONOMICO P/ O MÊS TODO /,everyone,pt,814961245438808064,814961245438808064,1554064969,2016-12-30T22:27:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Linka_tv_inonda1,E iniziato Detective Conan su #super| Clicca qui per classifica tweet: http://someurl,everyone,it,814952962606952448,814952962606952448,1962587364,2016-12-30T21:55:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Twitter for Android,Estou baixando o Super Mario RUN para Android no http://someurl #Super Mario RUN para Android,everyone,pt,814930562767011841,814930562767011841,799379141506334723,2016-12-30T20:26:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Twitter for iPhone,"@someuser vlw meu mano, ainda tem correria por ai, vamo que vamo #super",everyone,pt,814925120078802944,814926847511293953,4209458901,2016-12-30T20:11:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#super,2305797770,"[{'type': 'replied_to', 'id': '814926609606176768'}]",
Linka_tv_inonda1,E iniziato Adam & Adam su #super| Clicca qui per classifica tweet: http://someurl,everyone,it,814910178206384128,814910178206384128,1962587364,2016-12-30T19:05:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Google,Gostei de um vídeo @someuser de @someuser http://someurl #SUPER POP LIVE AGRADECIMENTO A CIDADE DE SALVA TERRA,everyone,pt,814900191908294656,814900191908294656,421502996,2016-12-30T18:25:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Linka_tv_inonda1,E iniziato Victorious su #super| Clicca qui per classifica tweet: http://someurl,everyone,it,814890045396094976,814890045396094976,1962587364,2016-12-30T17:45:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Twitter Web Client,🎄#SUPER-AMACIANTE CONCENTRADO E ECONOMICO P/ O MÊS TODO / Elisangela Eva... http://someurl via @someuser,everyone,pt,814869387358404608,814869387358404608,814833836588670980,2016-12-30T16:22:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
playlib_share,Já jogou Super Shot Soccer? #super-shot-soccer #playlib | | http://someurl,everyone,pt,814833434736607232,814833434736607232,787971367379533824,2016-12-30T14:00:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,,
Instagram,@someuser #RCSSKT | #bomdia a TODOS 🔅 🔥 | Hoje é o último dia da #super #PROMOÇÃO com 50% de... http://someurl,everyone,pt,814809783102357504,814809783102357504,34284168,2016-12-30T12:26:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,34284168,,"{'place_id': '68e019afec7d0ba5', 'coordinates': {'type': 'Point', 'coordinates': [-46.68907, -23.59655]}}"
