lang,referenced_tweets,reply_settings,source,public_metrics,in_reply_to_user_id,created_at,text,conversation_id,id,author_id,search_query,geo
en,"[{'type': 'replied_to', 'id': '814972489445101568'}]",everyone,Twitter for BlackBerry,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",87912932,2016-12-30T23:40:46.000Z,@someuser @someuser @someuser same 2 u sweety......i love u Kitty.......have a #wonderful 2K17,814063524230156288,814979572139593728,524427385,#wonderful,
en,,everyone,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T23:37:03.000Z,#Wonderful news from China!   http://someurl,814978638038712321,814978638038712321,22820478,#wonderful,
en,,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T23:29:24.000Z,You should always believe something wonderful will happen | #Quote #happy #feelinginspired #positivity #thinklikeart #wonderful,814976712777887746,814976712777887746,437922175,#wonderful,
en,,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T23:26:39.000Z,Watched #itsawonderfullife couple of days ago for the first time ever (me born 1969) & it is indeed #wonderful,814976019983695873,814976019983695873,2372187749,#wonderful,{'place_id': '67bc7263f7b9047b'}
en,,everyone,Zapier.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T23:23:15.000Z,>>> http://someurl <<< #Besançon #pickup anal #nipples petite #webcamfun strip #wonderful #coquines http://someurl,814975165801107456,814975165801107456,776318536494882816,#wonderful,
en,,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T23:03:23.000Z,Home away from home! What a #wonderful year it has been and what a #beautiful place to #relax... http://someurl,814970167063179264,814970167063179264,847995602,#wonderful,
en,,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T22:53:36.000Z,"English Bay Beach in Vancouver, BC [4549x3033] [OC] #Beach #Amazing #Wonderful http://someurl",814967705409388551,814967705409388551,2608731229,#wonderful,
en,,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T22:53:23.000Z,Night in with thehughjackman Les Miserables | #Wonderful #LesMiserables #MeTime... http://someurl,814967649734168577,814967649734168577,2311528420,#wonderful,
en,,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T22:53:21.000Z,Third EP di Hiatus| #wonderful#ttime oflove❤🔝🔝🍸🍸🍾 http://someurl,814967642360578048,814967642360578048,488574126,#wonderful,
en,,everyone,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T22:51:26.000Z,George Michael street art appears in east London http://someurl #Wonderful#Streetart❣,814967159872962563,814967159872962563,2178074630,#wonderful,
en,,everyone,Zapier.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T22:50:15.000Z,>>> http://someurl <<< #Nîmes #couple rimming #interracial ebony #model analslut #wonderful #baiser http://someurl,814966860575834113,814966860575834113,776313168587005952,#wonderful,
en,,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-30T22:47:46.000Z,"Sunrise over the Athabasca river, west of Hinton A.B. [OC] [5025x3350] #Earth #EarthPorn #Wonderful http://someurl",814966236886994944,814966236886994944,2608731229,#wonderful,
en,"[{'type': 'replied_to', 'id': '814961843588448256'}]",everyone,Twitter for iPhone,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",4850953684,2016-12-30T22:36:47.000Z,@someuser @someuser @someuser @someuser @someuser @someuser @someuser @someuser @someuser @someuser #Delightful #HAPPYNEWYEAR #greetings Thank You 💕Jenny💕#Friends #wonderful to see You So.. #special  #blessed to be #connected in #truelove 💕 http://someurl,795998594805460992,814963472836546560,2992512774,#wonderful,
