source,text,reply_settings,lang,conversation_id,id,referenced_tweets,author_id,created_at,public_metrics,search_query,geo,in_reply_to_user_id
Twitter Web Client,"RT @someuser #Wonderful @someuser @someuser #article📝, Evan! 👍🏽| | #Space🚀| #Tech💻| #Investing💰| #Future| | @someuser| @someuser| @someuser| @someuser",everyone,nl,813888578736521217,813888578736521217,"[{'type': 'retweeted', 'id': '811578997062664192'}]",703090157063254022,2016-12-27T23:25:33.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,RT @someuser Black ...ook hij is er niet meer vanaf dit jaar ...😪#wonderful life #Top2000 @someuser,everyone,nl,813396523966930945,813396523966930945,"[{'type': 'retweeted', 'id': '813395733445492736'}]",227982407,2016-12-26T14:50:18.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPad,Black ...ook hij is er niet meer vanaf dit jaar ...😪#wonderful life #Top2000 @someuser,everyone,nl,813395733445492736,813395733445492736,,105170702,2016-12-26T14:47:09.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#wonderful,,
Twitter for Android,@someuser #wonderful songz,everyone,nl,813033082806747141,813073466824032256,"[{'type': 'replied_to', 'id': '813033082806747141'}]",812794439429214208,2016-12-25T17:26:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,{'place_id': '01eddd9d0dbec2c8'},26216972
Zapier.com,>>> http://someurl <<< #Fréjus #onlinedating orgazm #blowjob hooker #camshow lesbian #wonderful #cochonne #hanouka http://someurl,everyone,nl,812763817583280129,812763817583280129,,776337387165249536,2016-12-24T20:56:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,"#Wonderful @someuser @someuser #article📝, Evan! 👍🏽| | #Space🚀| #Tech💻| #Investing💰| #Future| | @someuser| @someuser| @someuser| @someuser| @someuser http://someurl",everyone,nl,811578997062664192,811578997062664192,"[{'type': 'quoted', 'id': '811571824488316928'}]",408898240,2016-12-21T14:28:05.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 10, 'quote_count': 1}",#wonderful,,
Twitter for iPhone,Lavinia Bocu - White Christmas prachtige cd voor kerst #wonderful#christmas http://someurl,everyone,nl,808777885758750720,808777885758750720,,3024770230,2016-12-13T20:57:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,@someuser een behoorlijke #fail #wonderful #bentnodig? http://someurl,everyone,nl,808008382963732480,808008382963732480,,62488657,2016-12-11T17:59:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,94992933
Twitter for iPhone,Kijk nu al uit naar #MENS Van @someuser Nog even luisteren naar wat oud materiaal. #wonderful #loveit http://someurl,everyone,nl,807282903034032128,807282903034032128,,268299903,2016-12-09T17:56:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
MEGAPO.ST,#autism  on http://someurl Dodie  #sugarbaby  #wonderful  #foodpic  #sparkles #pet,everyone,nl,807159174404706304,807159174404706304,,2837268440,2016-12-09T09:45:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,Wauw wauw wauw wat prachtig! #wonderful #life @someuser @someuser @someuser #abovt http://someurl,everyone,nl,806605819148201984,806605819148201984,"[{'type': 'quoted', 'id': '806477611325071364'}]",66336535,2016-12-07T21:06:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#wonderful,{'place_id': '97c947a0b42af46f'},
Instagram,O wat was het gaaf. #plane #intheplane #skyhigh #emrphotography #wonderful #instagood http://someurl,everyone,nl,806246306872250368,806246306872250368,,230956944,2016-12-06T21:17:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,From @someuser  -  Mooie zonsopkomst tijdens het hardlopen!| #wonderful #sunrise #morningrun... http://someurl,everyone,nl,806116636117725184,806116636117725184,,797016446517870592,2016-12-06T12:42:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for Android,"Prachtige en indrukwekkende Mahler, op de bok Maestro Haitink🎶 WOW✨| #people #music #Mahler #Haitink #wonderful http://someurl",everyone,nl,805815969021095937,805815969021095937,,755663941494272001,2016-12-05T16:47:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,Wouw Wouw wouw you jippy ja jee #supermooi #wonderful #instagood #hungary🇭🇺 #budapest #instagood... http://someurl,everyone,nl,805422764517638148,805422764517638148,,230956944,2016-12-04T14:45:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
MEGAPO.ST,#gaylook  on http://someurl Dodie  #bikinigirl  #wonderful  #vscoyilan  #so #dailyfrenchie,everyone,nl,804150811429404673,804150811429404673,,2837268440,2016-12-01T02:31:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
IFTTT,Advent u Zegebru🎄| #wonderful #lights #city #place #zagreb #advent #adventzagreb #kuhanovin... http://someurl http://someurl,everyone,nl,803690141315452928,803690141315452928,,48949697,2016-11-29T20:00:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#wonderful,,
Instagram,#streetartist #chewinggumman @someuser #wonderful #personalstory #minimalart #loveit @ Paard Van... http://someurl,everyone,nl,803626298182512640,803626298182512640,,171050752,2016-11-29T15:46:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"{'place_id': '67687709552688fe', 'coordinates': {'type': 'Point', 'coordinates': [3.72225, 51.04999]}}",
IFTTT,"Oeschinen Lake, Kandersteg Switzerland [OC] [4995x2514] #Earth #EarthPorn #Wonderful http://someurl",everyone,nl,803085846773534726,803085846773534726,,2608731229,2016-11-28T03:59:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,Ja hoor #london #lazarus #musical #bowie #wonderful #theater #theatre #michaelchall #exited😍 http://someurl,everyone,nl,799306804194742272,799306804194742272,,77814089,2016-11-17T17:42:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,,
Instagram,Supermoon! | #nature_perfection #nature #supermoon #moon #light #wonderful #beautiful http://someurl,everyone,nl,798169157753663488,798169157753663488,,381508386,2016-11-14T14:22:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Instagram,"Big Ben landscape 🇬🇧 #westminister #londoneye #london #central #wonderful #landscape @ Big Ben,... http://someurl",everyone,nl,797147675925696512,797147675925696512,,254067879,2016-11-11T18:43:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"{'place_id': '5de8cffc145c486b', 'coordinates': {'type': 'Point', 'coordinates': [-0.12996714, 51.52662355]}}",
MEGAPO.ST,Colleen http://someurl en #bomdia #wonderful #gayargentina #benjerry #frenchbulldog #spn,everyone,nl,796977801261891584,796977801261891584,,2791463091,2016-11-11T07:28:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for Android,Love this song #Wonderful life #Thabo Nduli on @someuser .Musiek is maar net mooi.👌👏💃😍,everyone,nl,794954222366232577,794954222366232577,,3023268388,2016-11-05T17:27:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
MEGAPO.ST,Dodie http://someurl in #followforfollow #wonderful #weightloss #foodpic #cheflife #barabar,everyone,nl,792586369797332992,792586369797332992,,2791463091,2016-10-30T04:38:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
MEGAPO.ST,Colleen http://someurl in #babygirl #wonderful #ristorante #breakfast #animallovers #in,everyone,nl,786483702801035264,786483702801035264,,2791463091,2016-10-13T08:28:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
IFTTT,Wonderful ❤️ model: @someuser  #blackandwhite #nature #hidden #wonderful #girlinframe #naturalframe #nikon #caro... http://someurl,everyone,nl,785723478129475584,785723478129475584,,66442217,2016-10-11T06:07:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,,
TweetDeck,"Supermoon, #Norway | #PhotoOfTheNight #Moonlight #beautiful #wonderful http://someurl",everyone,nl,784968633055313920,784968633055313920,,737978614386282496,2016-10-09T04:08:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#wonderful,,
Twitter for iPhone,Joep Beving| Solipsism 🎹 #magnificent #wonderful #music #concert #innerpeaceconference http://someurl,everyone,nl,782854394756956160,782854394756956160,,59119851,2016-10-03T08:06:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Facebook,UWCT Grand Opening #ThaiPerformance #wonderful #ThankYou Kanungnit Kietthawornwong Pumy Ong ศรุตา เป้าทอง #alwaysproundofyou,everyone,nl,782197950881550336,782197950881550336,,2173651440,2016-10-01T12:38:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter Web Client,RT @someuser citroen c5 airscape concept car| #citroen| #wonderful| #motorsport http://someurl,everyone,nl,782097861043298304,782097861043298304,"[{'type': 'retweeted', 'id': '748403880736735232'}]",2413398547,2016-10-01T06:00:35.000Z,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
IFTTT,Frisky robot opens door http://someurl #futurism #science #gadgets #wonderful #Politics #Tech #News #Revi... http://someurl,everyone,nl,781915285385338880,781915285385338880,,16946467,2016-09-30T17:55:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter Web Client,By the marvelous Linda Nortje @someuser | #TalkingAbout HotEatsAndCoolReads @someuser | #New #wonderful #recipe http://someurl,everyone,nl,781577517849280514,781577517849280514,"[{'type': 'quoted', 'id': '781489161970659328'}]",727805154762854400,2016-09-29T19:32:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter Web Client,by Gielies Gouws @someuser | #TalkingAbout Thai Thai Ka @someuser | #wonderful http://someurl,everyone,nl,781559042112098304,781559042112098304,"[{'type': 'quoted', 'id': '781546965343539200'}]",767316525023911937,2016-09-29T18:19:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter for Android,Uitzicht v a balkon #wonderful http://someurl,everyone,nl,780805293307469824,780805293307469824,,409113863,2016-09-27T16:24:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,{'place_id': 'ccc3b2b3863e32c9'},
Twitter for iPhone,Eerste keer deze week eindelijk goed geslapen en dat gelijk gecombineerd met een heerlijke uitslaap sessie.... #Wonderful #EnjoyedMyself,everyone,nl,780033852265857029,780033852265857029,,130782801,2016-09-25T13:18:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TweetDeck,RT @someuser Waarom niet de herfst vieren in #Parijs @someuser #Traviata #wonderful #mixingbusinesswithpleasure http://someurl,everyone,nl,778862648435892224,778862648435892224,"[{'type': 'retweeted', 'id': '778707851975888897'}]",187827880,2016-09-22T07:45:00.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,Waarom niet de herfst vieren in #Parijs @someuser #Traviata #wonderful #mixingbusinesswithpleasure http://someurl,everyone,nl,778707851975888897,778707851975888897,,1211784049,2016-09-21T21:29:54.000Z,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 8, 'quote_count': 0}",#wonderful,,
Twitter Web Client,by  Gielies Gouws @someuser | #TalkingAbout #streetphotography| #wonderful @someuser http://someurl,everyone,nl,778284447632396288,778284447632396288,"[{'type': 'quoted', 'id': '778216160835801089'}]",767316525023911937,2016-09-20T17:27:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Facebook,#repost #nbcagt #agt sofiedossi and grace_vanderwaal #wonderful and #beautiful #girls 󾌬󾆫󾆞 @ JY...... http://someurl,everyone,nl,776233744399151104,776233744399151104,,890350015,2016-09-15T01:38:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,#repost #nbcagt #agt sofiedossi and grace_vanderwaal #wonderful and #beautiful #girls 😘👸👩 @ JY... http://someurl,everyone,nl,776233727739371520,776233727739371520,,890350015,2016-09-15T01:38:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#wonderful,"{'place_id': '7929cea6bd5b32bd', 'coordinates': {'type': 'Point', 'coordinates': [72.9656296, 19.1652603]}}",
Facebook,Een paar mooie pareltjes uit de oude doos :) #wonderful #whatmusiccando #enjoy #sun http://someurl,everyone,nl,776064359453851650,776064359453851650,,16927899,2016-09-14T14:25:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
RoundTeam,RT @someuser Prachtig! #wonderful  http://someurl,everyone,nl,775360336593551360,775360336593551360,"[{'type': 'retweeted', 'id': '775359505735507968'}]",279637651,2016-09-12T15:48:04.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,Prachtig! #wonderful  http://someurl,everyone,nl,775359505735507968,775359505735507968,"[{'type': 'quoted', 'id': '775328229318135808'}]",55031462,2016-09-12T15:44:46.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 2}",#wonderful,,
Instagram,Valvasone 2k16 #gufo #guforeale #medioevo #wonderful #owl #real #fly instaowl @ Medioevo A... http://someurl,everyone,nl,775089537726963712,775089537726963712,,3101696176,2016-09-11T21:52:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"{'place_id': 'a5c3f3bbae32bdbd', 'coordinates': {'type': 'Point', 'coordinates': [12.86285516, 45.99594255]}}",
Mobile Web (M2),@someuser #Wonderful choon..! #thanksforsharing Lx,everyone,nl,774673292972134400,774674911520358400,"[{'type': 'replied_to', 'id': '774673292972134400'}]",360231081,2016-09-10T18:24:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,27935881
IFTTT,Ralph waldo Emerson omschreef succes #success #kapsel #ondernemen #kapsalon #wonderful #mi... http://someurl http://someurl,everyone,nl,774578159173926912,774578159173926912,,337655608,2016-09-10T11:59:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,Vans | #world #wonderful #wonderland #earth #tattoo  #Thailand #peace #PhotoArt #photograph #art... http://someurl,everyone,nl,774235583803641856,774235583803641856,,366668847,2016-09-09T13:18:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"{'place_id': '00a7834164189296', 'coordinates': {'type': 'Point', 'coordinates': [100.494, 13.7522]}}",
Instagram,De Waag at Amsterdam 👍😍#netherlands🇳🇱 #internship #wonderful #thankgod #drinks #eat #laughs... http://someurl,everyone,nl,774186324953739264,774186324953739264,,271150744,2016-09-09T10:02:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,Sunset in Cyprus is #wonderful | #☀ #🌞 #🌊| #awesome #amazing #beautiful #cute #style #fashion... http://someurl,everyone,nl,773387113865814016,773387113865814016,,510156385,2016-09-07T05:07:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"{'place_id': 'f0af1239cbebb474', 'coordinates': {'type': 'Point', 'coordinates': [34.0, 34.9917]}}",
Buffer,"Leubeek, nieuwe bewerking #leudal #heythuysen #limburg #super_holland #igholland #wonderful... http://someurl http://someurl",everyone,nl,768728123982680065,768728123982680065,,33176544,2016-08-25T08:34:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,#wonderful spots along the #hw1 |  Van #losangeles naar #sanfrancisco... http://someurl,everyone,nl,767141050523713536,767141050523713536,,946079282,2016-08-20T23:27:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter for Android,@someuser 43:03 #WR #W #Wonderful Wayde Van Niekerk,everyone,nl,764994708745621504,764994708745621504,,67613408,2016-08-15T01:18:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,1391917958
