lang,public_metrics,id,text,author_id,reply_settings,created_at,conversation_id,source,search_query,geo,referenced_tweets,in_reply_to_user_id
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814819026501304321,"Bahia Honda State Park, Florida Keys [3036 x 3036] #Beach #Amazing #Wonderful http://someurl",2608731229,everyone,2016-12-30T13:02:49.000Z,814819026501304321,IFTTT,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814571231433396225,#wonderful sophiarania #love #girl #instagood #model #paolodelfrate #love #TFLers #tweegram... http://someurl,3812781921,everyone,2016-12-29T20:38:10.000Z,814571231433396225,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814499140080177152,"Bahia Honda State Park, Florida Keys [4048 x3036] #Beach #Amazing #Wonderful http://someurl",2608731229,everyone,2016-12-29T15:51:42.000Z,814499140080177152,IFTTT,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814178743593959425,Túnel!!!!!| #fantastic #wonderful #earth #world #travel #pic #picoftheday #nice #bañosdeaguasanta... http://someurl,958981332,everyone,2016-12-28T18:38:33.000Z,814178743593959425,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814056172391120896,>>> http://someurl <<< #Vannes #onlinedating submassive #masturbation findom #live porno #wonderful #coquine http://someurl,776370855777562624,everyone,2016-12-28T10:31:30.000Z,814056172391120896,Zapier.com,#wonderful,,,
it,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814026663335985152,Passeggiando| #ParcodellaBurcina #nature #green #wonderful #yellow #tree #friends #life #love... http://someurl,435334583,everyone,2016-12-28T08:34:15.000Z,814026663335985152,Instagram,#wonderful,"{'place_id': 'b7a86ed6d57a7c44', 'coordinates': {'type': 'Point', 'coordinates': [8.02439, 45.56179]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814001867147608064,Tempo lindo #SemFiltro #wonderful http://someurl,225999793,everyone,2016-12-28T06:55:43.000Z,814001867147608064,Twitter for Windows Phone,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813803761177161729,Minitortita de vainilla 👄😊 0972418665 #tasty #sweet #cake #beautifull #wonderful http://someurl,266943971,everyone,2016-12-27T17:48:31.000Z,813803761177161729,Instagram,#wonderful,,,
pt,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",813548425069338624,Boa Noite. ❤🌃😍 #BiancaRinaldi #MagazineInRio #Beautiful #Wonderful http://someurl http://someurl,762337201367769088,everyone,2016-12-27T00:53:54.000Z,813548425069338624,Twitter Web Client,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813513643409043456,#futuroscope #pyrotechnik #magnifique #wonderful #magic @ Futuroscope http://someurl,393705556,everyone,2016-12-26T22:35:41.000Z,813513643409043456,Instagram,#wonderful,"{'place_id': '28f8c1e507a7e569', 'coordinates': {'type': 'Point', 'coordinates': [0.3673768, 46.66665261]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813137675842715649,Fim do domingo de natal 🎄🎅🎁🍻🍀 #guiadeniteroi #niterói #nicepic #view #landscape #wonderful... http://someurl,310831710,everyone,2016-12-25T21:41:43.000Z,813137675842715649,Instagram,#wonderful,"{'place_id': '59373f0a295160e4', 'coordinates': {'type': 'Point', 'coordinates': [-43.1303825, -22.9082069]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813104531517145093,>>> http://someurl <<< #Montpellier #sexdating porn #dominant pov #camslut boobs #wonderful #desir #hanouka http://someurl,776313168587005952,everyone,2016-12-25T19:30:01.000Z,813104531517145093,Zapier.com,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813039722826231808,Campo santo... monte olivo! #quito #camposanto #monteolivo #wonderful #maravilloso #naturaleza... http://someurl,721394153729441792,everyone,2016-12-25T15:12:30.000Z,813039722826231808,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812693522839175168,#retrospectiva2016 Um dia em que o sol brilha na cinzenta São Paulo! #wdestinations #wonderful... http://someurl,42052575,everyone,2016-12-24T16:16:49.000Z,812693522839175168,Instagram,#wonderful,"{'place_id': '68e019afec7d0ba5', 'coordinates': {'type': 'Point', 'coordinates': [-46.69900775, -23.61290809]}}",,
it,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812369340486000641,E quindi?! | Sissy Corti. | | #cat #cats #pet #catsofinstagram #love #honey #wonder #wonderful #amazing #cool... http://someurl,400631117,everyone,2016-12-23T18:48:38.000Z,812369340486000641,Facebook,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811924258679099392,Wonderful Kingdom - Between Alvão and Marão http://someurl| #documentary #wonderful #kingdom #nature #mountains #forest #hiking,774236632295800832,everyone,2016-12-22T13:20:02.000Z,811924258679099392,Twuffer,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811916728888389637,Hoje é o segundo dia de verão e meu registro de hoje é... Que continue assim. #grayday #wonderful,136497283,everyone,2016-12-22T12:50:07.000Z,811916728888389637,Twitter for Android,#wonderful,{'place_id': '0895555685d01c06'},,
en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",811835770889785345,#sex #hot_sexygifs #fuck #ass #tits #blowjob #Babel #cock #HOT #boobs #dick #awesome#cute #funny #shoutout  #wonderful #lovely http://someurl,807954524,everyone,2016-12-22T07:28:25.000Z,811835770889785345,Twitter for Android,#wonderful,,,
en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811732626763612162,Angel Message - Angel Guidance - #Angel Feliz Navidad... Have a #Wonderful #Falalalalalalalala #Mont http://someurl,2260768729,everyone,2016-12-22T00:38:34.000Z,811732626763612162,Pinterest,#wonderful,,,
pt,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811557337492312064,Port of Sausalito #sausalito #port #boats #california #usa🇺🇸 #travel #sanfrancisco #wonderful #nice👌 #landscape http://someurl,748566946539507712,everyone,2016-12-21T13:02:01.000Z,811557337492312064,Buffer,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811530789309599744,"Leça da Palmeira, Matosinhos, Portugal. [960x720] #Beach #Amazing #Wonderful http://someurl",2608731229,everyone,2016-12-21T11:16:32.000Z,811530789309599744,IFTTT,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811375788117393414,Terça🌞 #photography #photooftheday #cloudscape  #sun #terca #wonderful #landscape #colors... http://someurl,22412855,everyone,2016-12-21T01:00:37.000Z,811375788117393414,Instagram,#wonderful,"{'place_id': '59d67b1398533ab6', 'coordinates': {'type': 'Point', 'coordinates': [-47.99, -21.13777778]}}",,
pt,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",810927320978616320,SUGAR... 🚠| | #paodeacucar #sugarloaf #riodejaneiro #errejota #coisalinda #wonderful #urca @ Pão... http://someurl,84744186,everyone,2016-12-19T19:18:34.000Z,810927320978616320,Instagram,#wonderful,"{'place_id': '97bcdfca1a2dca59', 'coordinates': {'type': 'Point', 'coordinates': [-43.16672485, -22.95516104]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810829490771333120,"O coração dispara, tropeça quase para 😱👏👏👏| | #wonderful http://someurl",4856958431,everyone,2016-12-19T12:49:49.000Z,810829490771333120,Instagram,#wonderful,,,
in,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810618538322862080,Windows X-mas. #hotel #xmas #vienna #nice_place #wonderful #holiday... http://someurl,105815339,everyone,2016-12-18T22:51:34.000Z,810618538322862080,Instagram,#wonderful,"{'place_id': '9f659d51e5c5deae', 'coordinates': {'type': 'Point', 'coordinates': [16.35399, 48.20857]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810553528540221440,Conexão 🤘🏻✈️ #cold #toronto #friopracaramba #longwait #traveling #photography #wonderful @someuser http://someurl,560320151,everyone,2016-12-18T18:33:15.000Z,810553528540221440,Instagram,#wonderful,"{'place_id': '5c43cbdfce4d3247', 'coordinates': {'type': 'Point', 'coordinates': [-79.61551815, 43.6819795]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810305616954658820,Livraria Lello #livrarialello #livrarialelloeirmao #porto #books #library #wonderful # @someuser http://someurl,51803731,everyone,2016-12-18T02:08:08.000Z,810305616954658820,Instagram,#wonderful,"{'place_id': 'b5f9b1150985d719', 'coordinates': {'type': 'Point', 'coordinates': [-8.61484644, 41.14657905]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810268254585425920,Melhor pessoa 😍😍😍😍| #JHope #TheBest #Beautiful #Wonderful #Saranghae 💓💓 @someuser http://someurl,355022897,everyone,2016-12-17T23:39:40.000Z,810268254585425920,Twitter for Android,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810230334490980352,#mirante #serra do #mar #ocean #brazil #landscape #mataatlantica #wonderful @ Praia De... http://someurl,15898157,everyone,2016-12-17T21:08:59.000Z,810230334490980352,Instagram,#wonderful,,,
en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809906696646692864,JESUS! 💝 | | #glorious #wonderful #worthy #beautiful #GenRev #NCC,203039583,everyone,2016-12-16T23:42:58.000Z,809906696646692864,Facebook,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809784832079368192,"Boca do Inferno - Cascais, Portugal [OC][3775x2500] #Earth #EarthPorn #Wonderful http://someurl",2608731229,everyone,2016-12-16T15:38:43.000Z,809784832079368192,IFTTT,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809434183525396481,Parque Nacional Do Iguaçu; Brasil🇧🇷 #Iguazú #Iguaçu #Love #Wonderful #Amazing #Falls... http://someurl,383294866,everyone,2016-12-15T16:25:22.000Z,809434183525396481,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808500847663599617,Parque Nacional Do Iguaçu; Brasil🇧🇷 #Iguazú #Iguaçu #Love #Wonderful #Amazing #Intercambio @someuser http://someurl,383294866,everyone,2016-12-13T02:36:37.000Z,808500847663599617,Instagram,#wonderful,,,
pt,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808394097421590528,"De mil amores, o próprio 🍻👌😘💃❤| #Sunday #pool #drinks #love #riodejaneiro #sun #happy #wonderful... http://someurl",953721276,everyone,2016-12-12T19:32:26.000Z,808394097421590528,Linkis: turn sharing into growth,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808317808308322309,"😍 No centro da cidade, quem diria? #flower #pretty #fantastic #nature #surprise #wonderful http://someurl",222321329,everyone,2016-12-12T14:29:17.000Z,808317808308322309,Instagram,#wonderful,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808302453187866624,#bansko # centara #bulgaria #winter #beautiful #awesome #place #nice #wonderful #tb #tbt #follow... http://someurl,2276617297,everyone,2016-12-12T13:28:17.000Z,808302453187866624,Instagram,#wonderful,"{'place_id': '1ef1183ed7056dc1', 'coordinates': {'type': 'Point', 'coordinates': [23.5, 41.8394]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807995655859748865,maravilhoso estarmos juntas 💕 #amigas #amizade #amazing #wonderful http://someurl,308598772,everyone,2016-12-11T17:09:10.000Z,807995655859748865,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807777263764656128,"#lovedog #fofo #wonderful @ Rio de Janeiro, Brazil http://someurl",319892567,everyone,2016-12-11T02:41:22.000Z,807777263764656128,Instagram,#wonderful,"{'place_id': '97bcdfca1a2dca59', 'coordinates': {'type': 'Point', 'coordinates': [-43.17986794, -22.91000096]}}",,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807729509571162112,Gotículas! #beautiful #wonderful #b&w #transito #trafficjam http://someurl,4161046703,everyone,2016-12-10T23:31:36.000Z,807729509571162112,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807710020838260736,De hoje 😍 #makeup #beautiful #wonderful #inlove http://someurl,2773985758,everyone,2016-12-10T22:14:10.000Z,807710020838260736,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807698813104361472,Luzes depois da tempestade. #rainbow #sky #céu #brasil #br_skies #beautiful #life #wonderful... http://someurl,4161046703,everyone,2016-12-10T21:29:38.000Z,807698813104361472,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807605827993554944,Mais um pra coleção\;;/ #passagemparaholyland #wonderful #pic #photooftheday #show... http://someurl,135568548,everyone,2016-12-10T15:20:08.000Z,807605827993554944,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807603007013711872,regram @someuser| Mais um pra coleção\;;/ #passagemparaholyland #wonderful #pic... http://someurl,135568548,everyone,2016-12-10T15:08:56.000Z,807603007013711872,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",807553505867206656,#algarve #wonderful #outdoor #ceremony  http://someurl @ Algarve. Portugal http://someurl,3198706631,everyone,2016-12-10T11:52:14.000Z,807553505867206656,Instagram,#wonderful,,,
pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807365311032922114,Já chegou o Natal... #coca #caminhao #Marcelinho #wonderful #beautiful #instamoment #nice... http://someurl,82381830,everyone,2016-12-09T23:24:24.000Z,807365311032922114,Instagram,#wonderful,"{'place_id': '23d81de6fe7594cb', 'coordinates': {'type': 'Point', 'coordinates': [-49.3071, -16.64409]}}",,
fr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807304638936518656,MAGNIFIQUE ! Tu trouves pas : http://someurl  ?! #Cannabis #Awesome #AwesomeWeed #Weed #Marijuana #Ganja #Wonderful #Marvelous http://someurl,771556615300354049,everyone,2016-12-09T19:23:19.000Z,807304638936518656,Twitter Web Client,#wonderful,,,
