source,public_metrics,geo,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,referenced_tweets,in_reply_to_user_id
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '97bcdfca1a2dca59', 'coordinates': {'type': 'Point', 'coordinates': [-43.22189, -22.98686]}}",167920937,Nice night 😌 #riodejaneiro #leblon #leblonbeach #wonderful #amazing @ Hotel Marina Palace RJ http://someurl,814957951261675520,814957951261675520,tl,everyone,2016-12-30T22:14:51.000Z,#wonderful,,
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2608731229,"Badlands National Park, South Dakota- [OC] [2500 x 1600] #Earth #EarthPorn #Wonderful http://someurl",814859182222508032,814859182222508032,tl,everyone,2016-12-30T15:42:23.000Z,#wonderful,,
Zapier.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,776321117086769152,>>> http://someurl <<< #Strasbourg #sexy nudes #anal bigtits #nudecam bigtits #wonderful #levrette http://someurl,814673152328564736,814673152328564736,tl,everyone,2016-12-30T03:23:10.000Z,#wonderful,,
Zapier.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,776320895208001536,>>> http://someurl <<< #Pau #sexo wife #pornstar nudity #webcam gangbang #wonderful #salope http://someurl,814635389793275904,814635389793275904,tl,everyone,2016-12-30T00:53:06.000Z,#wonderful,,
Buffer,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,542171255,Who Needs Akihabara When You Got Nakano Broadway? #weird #wonderful #tokyo  http://someurl http://someurl,814629648982118400,814629648982118400,tl,everyone,2016-12-30T00:30:18.000Z,#wonderful,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '00802a3061ae546b', 'coordinates': {'type': 'Point', 'coordinates': [121.72600608, 17.81444]}}",74683088,Ngayon pa lang maglulunch 🍝🍝🍝 #TeamOnon #TeamGlobe #Wonderful #PansitBatilPatung #WhenInCagayan... http://someurl,814375565386018816,814375565386018816,tl,everyone,2016-12-29T07:40:39.000Z,#wonderful,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '90a5d505052f7bae', 'coordinates': {'type': 'Point', 'coordinates': [-99.19338889, 19.33933333]}}",166449684,#Soumaya #museum #museo #wonderful_places #wonderful #ArteParaTodos #CDMX #México @ Museo Soumaya http://someurl,813880136835670016,813880136835670016,tl,everyone,2016-12-27T22:52:00.000Z,#wonderful,,
Zapier.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,776389492064346113,>>> http://someurl <<< #Meaux #onlinedating mature #bigtits boob #webcamgirl dildo #wonderful #chaudes http://someurl,813325357357076480,813325357357076480,tl,everyone,2016-12-26T10:07:30.000Z,#wonderful,,
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2608731229,"Arabian Nights (Rub al Khali Desert, Abu Dhabi) [OC] [6954 x 5936] #Earth #EarthPorn #Wonderful http://someurl",812427713852022784,812427713852022784,tl,everyone,2016-12-23T22:40:35.000Z,#wonderful,,
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2608731229,"Gulf Shores, Alabama [1334x750] (OP) #Beach #Amazing #Wonderful http://someurl",811646571746127872,811646571746127872,tl,everyone,2016-12-21T18:56:37.000Z,#wonderful,,
