reply_settings,geo,conversation_id,public_metrics,id,text,created_at,source,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [-3.182222, 55.955278]}, 'place_id': '7ae9e2f2ff7a87cd'}",814930014156234752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814930014156234752,爱丁堡的新年火剧游行真的太温馨，每个参与的人都被光与爱照亮，满脸洋溢着幸福和满足❤️#lovely #girl #enjoy the #wonderful #hogmanay... http://someurl,2016-12-30T20:23:50.000Z,Instagram,9342422,zh,#wonderful,,
everyone,,814458850984095745,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814458850984095745,#1226孟瑞生日快乐 #孟瑞 #mengrui #生日会 #beijing #idol #actor #birthdayparty #birthday #flowers #happy #wonderful #remember #瑞member 这里面有两个我😏 http://someurl,2016-12-29T13:11:36.000Z,Twitter for Android,772044008474292224,zh,#wonderful,,
everyone,,814458740879392769,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814458740879392769,#1226孟瑞生日快乐 #孟瑞 #mengrui #生日会 #beijing #idol #actor #birthdayparty #birthday #flowers #happy #wonderful #remember #瑞member 真诚，温暖，安心 http://someurl,2016-12-29T13:11:10.000Z,Twitter for Android,772044008474292224,zh,#wonderful,,
everyone,,814458618745528320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814458618745528320,#1226孟瑞生日快乐 #孟瑞 #mengrui #生日会 #beijing #idol #actor #birthdayparty #birthday #flowers #happy #wonderful #remember #瑞member 【内场】余生陪你走♡ http://someurl,2016-12-29T13:10:41.000Z,Twitter for Android,772044008474292224,zh,#wonderful,,
everyone,,814458399366578176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814458399366578176,#1226孟瑞生日快乐 #孟瑞 #mengrui #生日会 #beijing #idol #actor #birthdayparty #birthday #flowers #happy #wonderful #remember #瑞member 帅气的立牌✨ http://someurl,2016-12-29T13:09:48.000Z,Twitter for Android,772044008474292224,zh,#wonderful,,
everyone,,814457714243833857,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814457714243833857,#1226孟瑞生日快乐 #孟瑞 #mengrui #生日会 #beijing #idol #actor #birthdayparty #birthday #flowers #happy #wonderful #remember #瑞member #letter 给少爷的信❤ http://someurl,2016-12-29T13:07:05.000Z,Twitter for Android,772044008474292224,zh,#wonderful,,
everyone,,812549411268161537,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812549411268161537,倒數5小時！晚上見！| #OZOTW #xmas #beautiful #light #show #party #urbancyclist #urbanrider #trackbike #fun #wonderful... http://someurl,2016-12-24T06:44:10.000Z,Facebook,46371666,zh,#wonderful,,
everyone,,812248493595250688,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812248493595250688,#xmas 就是一個可以對別人好讓自己很開心的節日 ❤ #merrychristmas #wonderful #happiness #paul #cake #yummy #strewberry... http://someurl,2016-12-23T10:48:26.000Z,Instagram,2466070063,zh,#wonderful,,
everyone,,809919628050731008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809919628050731008,一想到昨天兩個人緊張要死😂😂| 就覺得好好笑沒想到已經過了🎉🎉🎉| 迎接美好的週末，來去監考。| | #161217 #Happy #Wonderful #Weekend #Cold #Frozen... http://someurl,2016-12-17T00:34:21.000Z,Instagram,3040876165,zh,#wonderful,,
everyone,,809810797371260928,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809810797371260928,生理期我還喝冰雞尾酒真是好作死🍸🍸🍸| #dinner #cocktails #wonderful #night #Friday #happy #girltime #Instagram... http://someurl,2016-12-16T17:21:54.000Z,Instagram,1591126591,zh,#wonderful,,
