source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,geo,search_query,in_reply_to_user_id,referenced_tweets,withheld
Twitter Web Client,814975330251214849,517997193,everyone,814975330251214849,Am I #worried about me re all this? Perhaps slightly but it doesnt #compare to how I worry for the #future! #Peace 👉 🌏✌️ 👉,2016-12-30T23:23:54.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '01864a8a64df9dc4'},#worried,,,
Twitter for iPhone,814974843103875077,14763635,everyone,814974843103875077,"Of all the really worrying tweets by Trump, this is one of the most worrying. Im genuinely worried for the world. #worried http://someurl",2016-12-30T23:21:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814969381335642113,487241715,everyone,814969381335642113,lolos blood pressure is still high. and he has an aneurysm. #worried,2016-12-30T23:00:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814953011936108544,72286806,everyone,814953011936108544,"When #VisitingLovedOnes this #HolidaySeason, are you #worried about them #LivingAlone these days? #AssistedLiving... http://someurl",2016-12-30T21:55:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814915019074928641,3388951702,everyone,814915019074928641,@someuser His hair is officially out of control! #beyondajoke #serious #worried @someuser http://someurl,2016-12-30T19:24:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,{'place_id': '0239f5fd632185d5'},#worried,3556164135,,
TweetDeck,814912335991205888,86698337,everyone,814912335991205888,You know something is up when your teenage daughter doesnt want to go shopping on your card #worried,2016-12-30T19:13:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,,#worried,,,
Instagram,814902339870031872,754853591203061761,everyone,814902339870031872,She seems nos to be worried about life| •••| #cat #cats #catslovers #life #worried #sleep #nap... http://someurl,2016-12-30T18:33:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814900819044597760,2754078731,everyone,814900819044597760,They told me when I scheduled her brain scan I would be allowed back there with her - Stuck outside waiting #pissed #worried,2016-12-30T18:27:50.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '07d9e39e75c85004'},#worried,,,
Instagram,814893755253735424,474532520,everyone,814893755253735424,My little #angel has this #look #down she is a #mischevious one already  #proud but #worried... http://someurl,2016-12-30T17:59:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814881983021064192,177579517,everyone,814892485587718145,@someuser thats an hour on the 3rd floor now. Only 30 hours left this year #worried,2016-12-30T17:54:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,177579517,"[{'type': 'replied_to', 'id': '814881983021064192'}]",
Twitter for iPhone,814891879724523521,776964830670401537,everyone,814891879724523521,@someuser wats wrong ???😥😥😥😥😥😥#worried http://someurl,2016-12-30T17:52:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,41016696,"[{'type': 'quoted', 'id': '814891683951374338'}]",
Twitter Web Client,814890372610531332,182699930,everyone,814890372610531332,I may be too trusting. Let the door unlocked for the chimney fixer guy. Hopefully everything is there when I get home...| #Worried.,2016-12-30T17:46:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814867488320143362,375209393,everyone,814867488320143362,What is the remedy of anxiety🤔😔?| #worried | #Helpasisterout,2016-12-30T16:15:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814819300011819008,299829744,everyone,814819300011819008,Still sitting waiting/wondering whether my boyfriend is actually dead or alive @someuser I should be used to this!!! #worried,2016-12-30T13:03:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814812359776735232,3529730716,everyone,814812359776735232,My head so flustered that I have dreams of the things Im stressing over now #sad #nightmares #worried,2016-12-30T12:36:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814758777337487360,1076353393,everyone,814758777337487360,MRW the spawns find all the #MurderMystery #torture style fiction /non fiction #books #worried http://someurl,2016-12-30T09:03:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814753510055092224,2861728635,everyone,814753510055092224,I should probably go pop another pill and try to go back to sleep.  Those damn democrats and liberals have my nerves torn up again. #worried,2016-12-30T08:42:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814751027966705664,3040954409,everyone,814751027966705664,Im hoping this isnt a bad omen for todays @someuser RRV shift| #worried #paramedic http://someurl,2016-12-30T08:32:37.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 1}",en,,#worried,,,
Twitter Web Client,814746503004782592,773141392029786112,everyone,814746503004782592,This gives me a very uncomfortable #FridayFeeling. Thank goodness its for a limited time only. #KFC #Cockroach #Worried http://someurl,2016-12-30T08:14:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814737041191763969,1203007692,everyone,814738961813925888,I thought it was just me @someuser  @someuser needs to look into this. #worried,2016-12-30T07:44:40.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#worried,126593567,"[{'type': 'replied_to', 'id': '814737041191763969'}]",
Twitter for iPhone,814729382350581762,3232732747,everyone,814729382350581762,My sister gets excited every time theres a sign that says Dog meat. #worried,2016-12-30T07:06:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814723893843914752,328262579,everyone,814723893843914752,So my phone autocrrects Crack with a capital letter 😣 #worried #saynotodrugs,2016-12-30T06:44:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Hootsuite,814720801211617284,2928183631,everyone,814720801211617284,What #Obama Just did has #Americans #worried and #anxious!!!| Learn More:| http://someurl,2016-12-30T06:32:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Mac,814689763303243778,24205736,everyone,814689763303243778,@someuser Hi Danielle! I have a flight out on Tuesday evening.. what are the accumulation totals looking like for the 3rd? #worried,2016-12-30T04:29:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,391492163,,
Twitter for iPhone,814669951676125186,597732890,everyone,814669951676125186,@someuser ugh just opened a bag of bunny grahams and it smells and tasted like saw dust/cardboard...#worried #hopingidontgetsick,2016-12-30T03:10:26.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#worried,29511514,,
Twitter for iPhone,814666075812036609,814605743437545472,everyone,814666075812036609,"Lifes too short to be #worried about who likes you And Whos gona support you.. Love yourself, support yourself. The rest will follow~",2016-12-30T02:55:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814662666706939906,930851898,everyone,814662666706939906,Waiting for the other cement boot to drop is proving to be quite torturous..... #worried,2016-12-30T02:41:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
