reply_settings,public_metrics,source,author_id,text,created_at,id,conversation_id,lang,search_query,geo,in_reply_to_user_id,referenced_tweets
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,220093080,Exposicion finaaaaal!!! Que miedoooo!! Sus mejores vibras amigos!! #finally #please #worried... http://someurl,2016-12-27T01:11:43.000Z,813552911200452608,813552911200452608,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,3809458159,Cc mi mama se quiere llevar mi perrita desastrosa a casa de mi tia organizada a escondidas😂 #worried http://someurl,2016-12-21T04:05:42.000Z,811422369218789376,811422369218789376,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2886861195,"Congo, pays de merde. Espere que mes proches sont OK. Et que levac le 22serra pas trop tard. #congocrisis #worried",2016-12-19T07:48:13.000Z,810753588670644224,810753588670644224,fr,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,272207191,Mi Lucas está enfermito... 😢😢😢😢😢😢😢😢 #Lucas #sick #worried http://someurl,2016-12-18T22:44:34.000Z,810616777520676864,810616777520676864,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",Linkis: turn sharing into growth,128899092,Emilio anda preocupado🤔🙀 Se le acabó la comida😿🐱#emilio #cat #worried #omg @ La Castellana http://someurl,2016-12-15T21:48:20.000Z,809515460718985216,809515460718985216,es,#worried,"{'coordinates': {'type': 'Point', 'coordinates': [-74.058928, 4.68448765]}, 'place_id': '0161be1b3f98d6c3'}",,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2349177908,Como cuando te llama tu directora de programa diciendo que si piensas inscribirte haha según yo ya estaba inscrita 😂🙄😳 #worried #schedule,2016-12-15T03:06:26.000Z,809233125234442241,809233125234442241,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2453074568,Mi u ha perdido el teléfono móvil.   | :(   #Worried,2016-12-14T14:31:20.000Z,809043097573326848,809043097573326848,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,97531137,¿Qué le sucede a mís emociones ahorita? #Worried,2016-12-13T19:20:27.000Z,808753466915123200,808753466915123200,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,747512361548800001,Pidan por mi novia 🙏🏻🙏🏻🙏🏻 #worried,2016-12-11T12:06:15.000Z,807919424808296448,807919424808296448,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,468761964,Omití una letra en el tweet anterior ⬇👇😬 #Worried #FinalExam,2016-12-09T02:36:51.000Z,807051354778861568,807051354778861568,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android,159313259,@someuser @someuser no he leído el libro todavía y la película esta a unos meses de salir #worried,2016-12-08T21:45:20.000Z,806977989120405504,806528706713792513,es,#worried,,634706405,"[{'type': 'replied_to', 'id': '806528706713792513'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,391869470,La cesta de mi compra refleja que algo no va bien 😂... I Need some therapy #worried #lifeishard... http://someurl,2016-12-08T13:44:30.000Z,806856983097655296,806856983097655296,es,#worried,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,43215686,#emptytank #lowfuel #emergency #needcoffee #worried #nespresso @ Grupo Stoncor http://someurl,2016-12-02T13:38:31.000Z,804681150371430400,804681150371430400,es,#worried,"{'coordinates': {'type': 'Point', 'coordinates': [-99.1866, 19.37072]}, 'place_id': '7d93122509633720'}",,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,3131788635,En que estaras metida amiga :/ #Worried,2016-11-30T18:53:09.000Z,804035557206740992,804035557206740992,es,#worried,,,
