reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,in_reply_to_user_id,referenced_tweets,geo
everyone,nl,814370429544566784,37418434,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814370429544566784,Hang je dan met het ziekenhuis aan de telefoon #fainted #worried,Twitter for Android,2016-12-29T07:20:15.000Z,#worried,,,
everyone,nl,812213995599958016,162341659,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812213995599958016,online n ui.!| #worried,Facebook,2016-12-23T08:31:21.000Z,#worried,,,
everyone,nl,806550942577528832,40240747,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",806550942577528832,Mijn The Last Guardian CE staat nog op onderweg sinds vanmorgen 9u27 & briefje aan brievenbus is afgescheurd. #worried @someuser :(,Twitter for Android,2016-12-07T17:28:24.000Z,#worried,,,
everyone,nl,804267155982315520,65778270,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",804267155982315520,"Oei, waar is @someuser naartoe? Al 4 dagen geen tweets... #worried",Twitter for Android,2016-12-01T10:13:27.000Z,#worried,,,
everyone,nl,796397894442057728,1546123123,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796397894442057728,...#Family #friends #trump #us #worried — bezorgd,Facebook,2016-11-09T17:03:49.000Z,#worried,,,
everyone,nl,796249193081962496,760491442649333760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796249193081962496,@someuser Ik heb meer stress voor de Amerikaanse verkiezingen dan mijn punten van mijn examen van gisteren #worried,Twitter for iPhone,2016-11-09T07:12:55.000Z,#worried,19451065,,
everyone,nl,796214607056605184,59246678,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",796214607056605184,Zeg @someuser kunnen jullie Trump niet afzetten op schending van mensenrechten?  #electionnight #worried,Twitter Web App,2016-11-09T04:55:29.000Z,#worried,,,
everyone,nl,795632557404655616,278118145,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795632557404655616,RT @someuser: Is het vreemd als ik mijn hart vast hou voor dinsdag als het verkiezingen zijn in Amerika #worried,Twitter for iPhone,2016-11-07T14:22:38.000Z,#worried,,"[{'type': 'retweeted', 'id': '795383079300984832'}]",
everyone,nl,795383079300984832,760491442649333760,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795383079300984832,Is het vreemd als ik mijn hart vast hou voor dinsdag als het verkiezingen zijn in Amerika #worried,Twitter for iPhone,2016-11-06T21:51:18.000Z,#worried,,,
everyone,nl,787676854912184320,3332674996,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",787676854912184320,Frankenweenie | #inktober #inktober2016 #day12 #worried #illustration #frankenweenie #timburton #cinema #nenetuya http://someurl,Twitter for Android,2016-10-16T15:29:31.000Z,#worried,,,
everyone,nl,786343250672189440,2815559400,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",786343250672189440,Inktober N°12 [worried] HP+HK| #inktober #inktober2go #inktober2016 #inktoberday12 #worried #3rdstrike #streetfighter http://someurl http://someurl,Twitter for Android,2016-10-12T23:10:15.000Z,#worried,,,
everyone,nl,786233758907191296,106443121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",786233758907191296,#day12 of #inktober #inktober2016 inktober #worried #comic http://someurl,Instagram,2016-10-12T15:55:10.000Z,#worried,,,
everyone,nl,783703260876120064,768494977731002368,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",783716061556379648,@someuser #worried mode is #on,Twitter Web Client,2016-10-05T17:10:44.000Z,#worried,225504358,"[{'type': 'replied_to', 'id': '783704884688392192'}]",
everyone,nl,781971901635854337,56056450,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",781971901635854337,"Hey @someuser persoonsgebonden financiering & PAB, tof. Maar kan u met de hand op het hart zeggen dat dat geen besparing is? #worried",Twitter for iPad,2016-09-30T21:40:04.000Z,#worried,,,
everyone,nl,777475542694129664,1926150254,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",777475542694129664,.@someuser Waar staan wij intussen met onze donut voor de Belgische kust? #worried http://someurl,Twitter Web Client,2016-09-18T11:53:08.000Z,#worried,,"[{'type': 'quoted', 'id': '777420423717879808'}]",
everyone,nl,773618598699012096,773452743512121344,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",773618598699012096,Amerika waar zijn we mee bezig... #worried  http://someurl,Twitter for iPhone,2016-09-07T20:27:01.000Z,#worried,,"[{'type': 'quoted', 'id': '773475556742529024'}]",
everyone,nl,772554134214115330,709100501820952576,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",772554134214115330,Kan de slaap niet vatten. Ken je dat nare gevoel dat je denkt dat iemand in staat is om zichzelf wat aan te doen? #worried,Twitter for Android,2016-09-04T21:57:13.000Z,#worried,,,
everyone,nl,756234535717699587,709100501820952576,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",756234535717699587,Net een telefoontje gehad van schoonmama. Blijkbaar is de migraine aanval van Carola zo erg dat de huisartsenpost is gebeld #worried,Twitter for Android,2016-07-21T21:08:58.000Z,#worried,,,{'place_id': '0e7f805760f2710c'}
everyone,nl,755797087703490560,144110593,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",755797087703490560,@someuser wij wachten al 20 min op de tram richting oostende. Iets gebeurd met de tram? #worried,Twitter for iPhone,2016-07-20T16:10:42.000Z,#worried,32851079,,
everyone,nl,755087430672343040,712304918313488384,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",755087430672343040,Mijn bloeddruk is de laatste 2 dagen enorm gestegen. Zou dat door de pillen komen of doordat ik het nu al beu ben om die te meten? #worried,Twitter for iPhone,2016-07-18T17:10:46.000Z,#worried,,,{'place_id': '67687709552688fe'}
everyone,nl,754285682307239936,250763985,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",754285682307239936,"Ik weet niet welke situatie zorgwekkender is, de coup van gisteravond of de extreem dictoriale reactie van erdogan vandaag #Turkey #worried",Twitter for iPad,2016-07-16T12:04:55.000Z,#worried,,,
