source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,geo,referenced_tweets,in_reply_to_user_id
Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2469296147,A minha vida já deu tantas voltas pra eu te conhecer numa delas..| Meu único receio é de dar mais alguma e tu saíres dela.. 💭 #Worried,807741265290862596,807741265290862596,pt,everyone,2016-12-11T00:18:19.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",37554666,Toda vez que eu venho na academia é essa sensação de que posso desmaiar/morrer a qualquer momento #worried,801434732999405568,801434732999405568,pt,everyone,2016-11-23T14:38:24.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",792743970237448193,Kuando es bue chata e tu sabes k a pessoa ta a revirar os olhos a ler as msg mas mesmo assim n paras.....kkkkk ...sorry| #worried,799952423221657601,799952423221657601,pt,everyone,2016-11-19T12:28:14.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",79824827,"e essa onda conservadora do mundo chega a assustar a gente, sim... #worried #lovetrumps",796374252819795968,796374252819795968,pt,everyone,2016-11-09T15:29:52.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",11784472,Novos óculos #glasses #anteojos #oculos #portrait #blackbeard #blackhair #saopaulo #worried... http://someurl,792896222344450048,792896222344450048,pt,everyone,2016-10-31T01:09:25.000Z,#worried,"{'place_id': '68e019afec7d0ba5', 'coordinates': {'type': 'Point', 'coordinates': [-46.64318767, -23.54393975]}}",,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",33031570,O atrasado de hoje. #inktober2016 #inktober Day 12: #worried #preocupado http://someurl,791307633055727616,791307633055727616,pt,everyone,2016-10-26T15:56:56.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",780930452123254784,A vida de quem planeja de casar... nem o porquinho escapa. #inktober dia12 #worried #art #design #desenhando #rabisco #nanquim http://someurl,791040414316978177,791040414316978177,pt,everyone,2016-10-25T22:15:06.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1625286973,@someuser o no....is u ok shuga #worried,789899967943049216,789767085253619715,pt,everyone,2016-10-22T18:43:22.000Z,#worried,,"[{'type': 'replied_to', 'id': '789767085253619715'}]",89471809
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",769168284386103296,Down na Cignal sa Abra😔 #worried #LawinPH,788894701948538880,788894701948538880,pt,everyone,2016-10-20T00:08:48.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",62867361,"Tentei captar a expressão preocupada de um certo ator, hahaha 😅 #inktober2016 #day12 #worried http://someurl",788865722818625536,788865722818625536,pt,everyone,2016-10-19T22:13:39.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",15385063,Pq o homem é o único animal que se preocupa #worried #inktober2016 #12 http://someurl,787442962460504065,787442962460504065,pt,everyone,2016-10-16T00:00:06.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2180604355,#worried #inktober #inktober2016 #inktoberday12 #dailysketch #kidlitart #ink#indiaink... http://someurl,787086403167453188,787086403167453188,hu,everyone,2016-10-15T00:23:16.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",95900862,12. Worried - O escorrer das horas...? #inktober #inktober2016 #inktober2go #worried #clock... http://someurl,786439086504501248,786439086504501248,pt,everyone,2016-10-13T05:31:04.000Z,#worried,"{'place_id': 'ad8a3318a4317a03', 'coordinates': {'type': 'Point', 'coordinates': [-45.84856, -23.18288]}}",,
