author_id,created_at,reply_settings,conversation_id,id,source,text,lang,public_metrics,search_query,in_reply_to_user_id,referenced_tweets,geo
724493348468191232,2016-12-30T14:31:37.000Z,everyone,814841376470773760,814841376470773760,Twitter Web Client,mag tethree days na wala parin akong natanggap na message galing sa kanya😒 huhuhuhu #Worried #Stressed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#worried,,,
812650106960822272,2016-12-30T06:38:55.000Z,everyone,814722416366653440,814722416366653440,Twitter Web Client,Totoo batong nabalitaan ko si barbie at si ryle ay nag away!!at si barbie daw may ka kiss😨😱😮😨☹️☹️ |  | #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
129490979,2016-12-29T19:43:08.000Z,everyone,814557383049572353,814557383049572353,Facebook,I stay alone mara jana tsaka ekare ketsa family of 10.| | #Worried — feeling disappointed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
3493001138,2016-12-27T18:11:04.000Z,everyone,813806909836775424,813809439702585344,Twitter for Android,@someuser naunsa naka diha jeddi? #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,418628271,"[{'type': 'replied_to', 'id': '813806909836775424'}]",
3168747632,2016-12-25T09:10:24.000Z,everyone,812948598229008384,812948598229008384,Mobile Web (M2),Lagi nalang  akong pinapaasa ni crush.bakit ganon?? Kainis naman.| #worried| #confused,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
2936717321,2016-12-25T07:39:57.000Z,everyone,812925834688393216,812925834688393216,Facebook,Wala ra ka kabalo sa akong nahibalan...  :-(| #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
800502451988144128,2016-12-23T22:12:35.000Z,everyone,812420664497868800,812420664497868800,Twitter for Android,Dag-han pa cgoru kog kaaway so ang meaning ana Kay.... Naay mag PATAY sa ako!!! Hahaha😂😂 Simbako!!! | | #problems| #worried | #dlinamoabotsa2017,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
86967520,2016-12-23T10:29:11.000Z,everyone,812243649698222080,812243649698222080,Twitter for iPhone,Wala pang grades. 😔 #Worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
3660464472,2016-12-21T16:15:47.000Z,everyone,811606097454735360,811606097454735360,Twitter for Android,kamusta na kaha siya. #thinking #waiting #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
790991518416928768,2016-12-20T22:27:46.000Z,everyone,811337324424466432,811337324424466432,Twitter for iPad,"Yung feeling n ikaw lng nkaramdam ng pagyanig, weird tlga, I really feel the impact on my bed. #StrangeFeeling #Weird #GooseBumps #Worried 😰",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
213965406,2016-12-18T23:07:13.000Z,everyone,810622474769534976,810622474769534976,Instagram,"Get well soon habibi. 😔| #worried @ Riyadh, Saudi Arabia http://someurl",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,"{'coordinates': {'type': 'Point', 'coordinates': [46.7728, 24.6408]}, 'place_id': '01bf5c1e56ac186d'}"
807590468464701440,2016-12-16T15:30:24.000Z,everyone,809782738035175425,809782738035175425,Twitter for Android,May nag log in ng tweeter q? | #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,{'place_id': '0088e1b1066e791e'}
606257242,2016-12-16T07:37:29.000Z,everyone,809663725401538560,809663725401538560,Twitter for Android,Its time na ba para magwork sa hospital? #worried #naguguluhan ako waaaah,tl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#worried,,,{'place_id': '017a4afa29d71c65'}
511270597,2016-12-15T10:49:32.000Z,everyone,809349667498708992,809349667498708992,Facebook,Ngayon lang ulit ako kibahan ng ganito?!| | Ano Ba Talaga Ang Nangyari?| Asan Ka Ba?| | #Worried | #Nervous — feeling worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
2430035174,2016-12-15T04:16:36.000Z,everyone,809249456558325764,809250783552225280,Twitter Web Client,@someuser abi namo naka sleep naka bsan asa we were so #worried talaga bes :(,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,3213317834,"[{'type': 'replied_to', 'id': '809250316071768064'}]",
3173755254,2016-12-12T00:11:20.000Z,everyone,808101896535711744,808101896535711744,Facebook,im sorry Love 😟😭😭😭💔💔💔😭😭😭😭 di na po mauulit 😟😭😭😭💔💔💔😭😭😭😭| #Sorry| #ILoveYouForeverAndAlways| #Worried — feeling worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
2235759438,2016-12-11T12:49:10.000Z,everyone,807481351163166720,807930221257076738,Twitter Web Client,@someuser marunong ka kaya magdrive? hays #worried HAHAHAHHA,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,1693192080,"[{'type': 'replied_to', 'id': '807859747160346624'}]",
2252015046,2016-12-11T01:53:16.000Z,everyone,807765159653445632,807765159653445632,Twitter for Android,"Okay nalang kay no choice... Mao man gihapon, wala man gihapon magbago. (sigh) 😔  #Stressed #Worried #TryingToBeFine",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#worried,,,
797469451733979136,2016-12-10T14:21:37.000Z,everyone,807591100609273858,807591100609273858,Twitter for Android,OK so sarap ng hilik ni hubby habang ako.. Eto nagpipiga ng towel kakapunas kay Frankie. Get well anak pacheck up na tayo bukas #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
4874315137,2016-12-10T08:13:51.000Z,everyone,807498548329619456,807498548329619456,Twitter for Android,Sana ako parin FCKN! 😭🔫💔 #WORRIED,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
1113675985,2016-12-09T03:22:04.000Z,everyone,807062732063342592,807062732063342592,Facebook,Saan po pwede humang out?? I badly need a friend... pm sa pwede po..  | #brownout| #worried — feeling lost,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
803866932415897601,2016-12-05T10:28:02.000Z,everyone,805720377200549888,805720377200549888,Twitter Web Client,paano na kaya ako neto| | #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
800041589519224832,2016-12-01T14:29:24.000Z,everyone,804331569892585472,804331569892585472,Twitter for Android,Tawn sads akong baby oy. Ga overtime gyud. #Worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#worried,,,
973050126,2016-11-29T17:45:59.000Z,everyone,803656264983027712,803656264983027712,Twitter for Android,Naiisip mo din kaya ako... kasi ikaw never nawala sa isip ko #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,{'place_id': '011a05612b6a331c'}
2265739578,2016-11-29T02:41:08.000Z,everyone,803428554344042496,803428554344042496,Twitter for Android,"Huy! Boys, ingatan nyo hawak ke @someuser ,kundi mabibigwasan kau n @someuser | Nobody mess w/ hs girl| #worried| #ALDUBMistakenIdentity http://someurl",tl,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#worried,,,
3358094195,2016-11-28T08:05:07.000Z,everyone,803147696492027904,803147696492027904,Facebook,Result sa ihi 😊😊| Gi UTI jud ka kuya .Pareha nata .hihi 😂😂😊 pero pagaling na kuya rap2 ha .. 😩😩| | #Worried 😩😩😩,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
606964763,2016-11-27T01:59:59.000Z,everyone,802686665768587264,802693420254830592,Twitter for Android,@someuser @someuser @someuser pagkatapos eang tachycardia gatagay ka eon nga bkn kmi ing iba? Haha abaaa panalo! Haha #worried 😂,tl,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 3, 'quote_count': 0}",#worried,3271057705,"[{'type': 'replied_to', 'id': '802692851855290369'}]",
975995238,2016-11-26T18:49:05.000Z,everyone,802584981981843456,802584981981843456,Facebook,"Akala ko rashes ko lang ang makati, pati pala ikaw! Huehue. 😂😂😂| | #rasheshugot #itchy #worried #mema — feeling worried",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
1378324830,2016-11-26T13:08:20.000Z,everyone,802499230656962566,802499230656962566,Twitter for Android,Ano ba nangyare sayo #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
2731410978,2016-11-26T04:09:34.000Z,everyone,802363644105195520,802363644105195520,Facebook,Hindi ka naman basta basta mag-aalala sa isang tao kung wala kang nararamdaman para sa kanya...| #Worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
729142421880066049,2016-11-24T21:29:01.000Z,everyone,801865693679321088,801900454871302145,Twitter for Android,@someuser kamusta na kayo ni apple?hope everythings fine po #worried,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,3233417204,"[{'type': 'replied_to', 'id': '801865693679321088'}]",
131156907,2016-11-22T19:56:05.000Z,everyone,800972315349520384,801152290576945152,Twitter for iPhone,@someuser Haha. Sorry namiss ko gantuhan natin sa chat. Kaso nahacked ka. #worried haha,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,570669040,"[{'type': 'replied_to', 'id': '801147556042403840'}]",
131156907,2016-11-22T12:11:38.000Z,everyone,801035408180002816,801035408180002816,Twitter for iPhone,"Tumanggi ako sa inuman ngayon, malas ba yon?! #worried 😂",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#worried,,,
