reply_settings,conversation_id,public_metrics,id,text,created_at,source,author_id,lang,search_query,geo
everyone,795217766777311232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795217766777311232,身材走样了😢还能变回以前的样子吗？😞| #worried #moment http://someurl,2016-11-06T10:54:24.000Z,Instagram,352198769,zh,#worried,
everyone,780818955346731008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",780818955346731008,被颱風嚇的睡不著⋯⋯ 走快點～| #typhoon #night #cantsleep #worried #home #hualien #taiwan http://someurl,2016-09-27T17:18:40.000Z,Instagram,2898094771,zh,#worried,
everyone,776640160591118336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",776640160591118336,為什麼這麼剛好!原本很期待的說!😣😞😩#sad #worry #worried #sadly #nothappy #bad #badly #why #takecare #mood... http://someurl,2016-09-16T04:33:38.000Z,Instagram,2250427400,zh,#worried,
everyone,757754580411174912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757754580411174912,還有什麼比健康更重要| #Worried #gosh,2016-07-26T01:49:05.000Z,Twitter for iPhone,1209468416,zh,#worried,
everyone,733432833591545856,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",733432833591545856,520快乐🌹 #worried http://someurl,2016-05-19T23:03:08.000Z,Twitter for Android,1068483367,zh,#worried,
everyone,717549737642033152,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",717549737642033152,蘋果最多只可以紀錄200個通話紀錄⋯ 我是知道的！不用提醒我！😤| 五月天的魔力！ #五月天 #Mayday #五月之約 #worried #F5 #ServerBusy #WTF 🙁 http://someurl,2016-04-06T03:09:23.000Z,Instagram,276415971,zh,#worried,
everyone,717529717604093952,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",717529717604093952,再度驗證五月天的魔力！九點幾已經開唔到網頁打唔通電話囉！🙄 #五月天 #Mayday #五月之約 #worried #WTF #ServerBusy 🙁 http://someurl,2016-04-06T01:49:50.000Z,Instagram,276415971,zh,#worried,
everyone,711748649273823234,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",711748649273823234,原來蘋果最多只可以紀錄200個通話紀錄⋯ 五月天的魔力！打到電話無電🙄 建行訂票熱線廢到爆啊！ #五月天 #Mayday #五月之約 #worried 🙁 http://someurl,2016-03-21T02:57:56.000Z,Instagram,276415971,zh,#worried,
everyone,700531784962936834,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",700531784962936834,寶貝你可以快點好起來嘛 😭 可以有奇蹟出現嗎？ #peggy #dog #sick #jaundice #worried #prayhard #sad http://someurl,2016-02-19T04:06:07.000Z,Instagram,43514156,zh,#worried,
everyone,699631258716930049,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",699631258716930049,昨天烟花将多，不懂我的宝怎样了☹ #worried http://someurl,2016-02-16T16:27:45.000Z,Twitter for iPhone,316495372,zh,#worried,{'place_id': '5f1f473ed6455f55'}
everyone,693400350708088833,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",693400350708088833,10 days left before my operation leg is going...[撇嘴][吐][饥饿][晕] #scared #worried #hmm,2016-01-30T11:48:21.000Z,WeChat app,2313807476,zh,#worried,
everyone,691851762693705728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",691851762693705728,呆滯了一天| 幹就不能專心集中一點嗎👎🏿| #worried#focus#mistakes#fxxk#tuesday#lifeless#dull http://someurl,2016-01-26T05:14:48.000Z,Instagram,339509398,zh,#worried,
everyone,661930423207915521,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",661930423207915521,[翻譯 / Trans] #不要病倒 #擔心 #傷心 / #GetWellSoon #worried #sad http://someurl http://someurl,2015-11-04T15:38:05.000Z,TweetDeck,636673232,zh,#worried,
everyone,647304933335674881,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",647304933335674881,他們的運動細胞。。。 | | #worried #心配,2015-09-25T07:01:37.000Z,Twitter for Android,2898393788,zh,#worried,
everyone,639295248775127040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",639295248775127040,"Goodbye for now, Aguni island~ #Nahabound #nervous #worried #scared @ 粟国港 http://someurl",2015-09-03T04:33:59.000Z,Instagram,471514350,zh,#worried,"{'coordinates': {'type': 'Point', 'coordinates': [127.23272856, 26.57879948]}, 'place_id': 'b17f2e6d08406d7d'}"
everyone,629602287724445696,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",629602287724445696,颱風呀 不要鬧了 我明天要回台灣呀!!| | Hope typhoon doesnt affect my flight tomorrow. | | #pray #worried #thomassabo @someuser http://someurl,2015-08-07T10:37:37.000Z,Facebook,350094874,zh,#worried,
everyone,629602278719254529,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",629602278719254529,颱風呀 不要鬧了 我明天要回台灣呀!!| | Hope typhoon doesnt affect my flight tomorrow. | | #pray #worried #thomassabo... http://someurl,2015-08-07T10:37:35.000Z,Instagram,350094874,zh,#worried,
everyone,620509744365731840,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",620509744365731840,"不知最近他怎么了, 常生病! Get well soon ma baby~ #NoelC #monster #sickcat #worried #getwellsoon http://someurl",2015-07-13T08:27:06.000Z,Instagram,2875439000,zh,#worried,
everyone,619117219369365504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",619117219369365504,刺激 新奇又有趣之飛機瘋狂delay✈️✈️✈️| #airport #delay #Japan #lucky #happy #worried http://someurl,2015-07-09T12:13:42.000Z,IFTTT,3091529650,zh,#worried,
everyone,614983381865099264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",614983381865099264,早晨一杯香濃的咖啡| 短暫的離別| 不敢道出的再見| 給不出手的卡片| 所以思緒糾結在一起| | 念頭| 在心中徘徊| | #無解 #worried #miss http://someurl,2015-06-28T02:27:18.000Z,Instagram,2685456661,zh,#worried,
everyone,590189334239825920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",590189334239825920,當幼小的心靈受傷😭😭| 就只有他們最好了 🍺🍻🍸🍺🍻🍸🍶| #sad #worried #drink #alcoho #wine #beer http://someurl,2015-04-20T16:24:37.000Z,Instagram,477134000,zh,#worried,
everyone,561719891237945346,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",561719891237945346,Appreciate your time [奋斗]| #finalFever #worried http://someurl,2015-02-01T02:57:12.000Z,WeChat app,1465712155,zh,#worried,
everyone,555285332590350337,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",555285332590350337,到底...會變怎樣呢？| 我現在完全就是個大嬸耶@someuser| #new #haircut #worried #hope #pretty #坐太久 #屁股痛 http://someurl,2015-01-14T08:48:34.000Z,Instagram,141466237,zh,#worried,
everyone,516161274686623744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",516161274686623744,Quel dimanche plantureux!| | 好多事情 #煩惱| 那顆#心 還是懸在那| 需要 #沈澱| #脫離 世俗 #冷靜 思考| 或許 能夠#面對| 往後 更多 #挑戰| #worried #heart... http://someurl,2014-09-28T09:43:32.000Z,Instagram,224930667,zh,#worried,
everyone,473489820497772546,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",473489820497772546,#worried | 顾着买东西太晚回家忘了拿校服 明天要穿长袖😖 http://someurl,2014-06-02T15:42:24.000Z,Instagram,1399403526,zh,#worried,
everyone,473157484664745986,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",473157484664745986,跟高中朋友一起吃飯聊天覺得窩心😃| 難怪大家都說高中好朋友會是真的一輩子的好朋友 😆| there are so many people I know on Twitter  ಠ_ಠ   #surprise #worried 😱,2014-06-01T17:41:49.000Z,Twitter for Android,2229233094,zh,#worried,"{'coordinates': {'type': 'Point', 'coordinates': [120.1940827, 22.9940255]}, 'place_id': '204a435ce97d5de4'}"
everyone,457145467898322945,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",457145467898322945,希望妳不要每天半夜才開Twitter啦，每天醬遲睡，對身體不好，每天去學校又會沒精神。😥 #worried,2014-04-18T13:15:47.000Z,Twitter for iPad,1116867439,zh,#worried,
everyone,455623067176140800,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",455623067176140800,最擔心莫過於兒子下載了女兒上傳的東西！ “@someuser RT @someuser | 現在父母們都非常擔心兩件事情：| 兒子從網上下載了什麼，還有女兒上傳了什麼到網上...... | | #parents #worried #web #download #upload”,2014-04-14T08:26:18.000Z,Tweetbot for iOS,323066578,zh,#worried,
everyone,432797852298117120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",432797852298117120,为什么是小可爱上我结？TT 而且还是国际版？！((好吧！小可爱你的愿望成真了| Jebal~ 请我结不要再让上次的事情再一次发生好吗？| 闪家粉们不是强心脏啊~~| #SHINeekey #WGM #worried http://someurl,2014-02-10T08:47:03.000Z,Instagram,449542454,zh,#worried,
everyone,430659551676076032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",430659551676076032,這次回嘉義的最後一晚 回去就要面對作業了😰😰| #sis #mask #xoxo #lastnigt #kiss #illmissu #worried elsievalado http://someurl,2014-02-04T11:10:13.000Z,Instagram,242848318,zh,#worried,
everyone,428859768481271808,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",428859768481271808,#worried#much😔| 你應該不會想到 | 我帶著那少少的勇氣 靠著感覺| 踏出一個從未到過的地鐵站| 然後一直往前走 繼續走| 來到陌生的南山村| 偷偷的進入村內 再走上最高層| 我 看到你了... http://someurl,2014-01-30T11:58:31.000Z,Instagram,86952015,zh,#worried,"{'coordinates': {'type': 'Point', 'coordinates': [114.17366083, 22.33624641]}}"
everyone,427829263060832256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",427829263060832256,怎麼可以那麼想你那麼想你那麼想你| 但卻一點勇氣也沒有| #Worried http://someurl,2014-01-27T15:43:39.000Z,Twitter for iPhone,1712575782,zh,#worried,
everyone,418791958979411968,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",418791958979411968,找不到東西真的很煩 忐忑不安有擔心 尤其是如此重要的東西！！！我要瘋了！#worried #panic #ahhh #rawr #pleaseshootmenow,2014-01-02T17:12:38.000Z,Twitter for iPhone,40830825,zh,#worried,
everyone,413274159595393024,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",413274159595393024,You Are My Angel 😍 #thinking #peaceful #worried #passed #eagles @ 제주도립미술관 (Jeju Museum of Art/濟州道立美術館) http://someurl,2013-12-18T11:46:52.000Z,Instagram,1886269243,zh,#worried,
everyone,408908434625802240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",408908434625802240,~| 你還是我認識的朋友嗎?| .| .| .| 20131206| #i #feel #so #scared #and #worried #about #you #dont #want #u #like #that... http://someurl,2013-12-06T10:39:02.000Z,Instagram,540157388,zh,#worried,
everyone,403572176646705152,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",403572176646705152,、| | 我等這天等了好久| 現在滿腦子都在想EXO會不會拿獎| #Worried #EXO,2013-11-21T17:14:39.000Z,Facebook,952857277,zh,#worried,
everyone,399571617598042112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",399571617598042112,Please.... 拜託請保佑我的家人平安健康！🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 #mom #safely #Health #Please #Prayer #Fear #Worried #Family http://someurl,2013-11-10T16:17:51.000Z,Twitter for iPhone,145262515,zh,#worried,
everyone,381443126520721408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",381443126520721408,"老天给予我的出路, 就是要如此地跟随? 其实我还能有选择吗? 我也知道如果重新适应不一样东西, 就等于这一切都可能白费。未来的确定的确要服很大的责任。#blue #confuse #worried... http://someurl",2013-09-21T15:41:42.000Z,Instagram,136189117,zh,#worried,
everyone,378572471492161536,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",378572471492161536,#antigas #mask #in #hotel #worried #guiyang #china @ 贵州省体育场 http://someurl,2013-09-13T17:34:45.000Z,Instagram,838670418,zh,#worried,
everyone,373234653718921216,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",373234653718921216,Morning☕| | 早安，喝咖啡后，我超想把自己敲昏😖| 怎么可以那么粗心😫😫| | #lcct #morning #waiting #flight #sad #imsofuckingblur #worried... http://someurl,2013-08-30T00:04:10.000Z,Instagram,89385664,zh,#worried,"{'coordinates': {'type': 'Point', 'coordinates': [101.72019124, 2.74027961]}, 'place_id': '349e58317ac42b75'}"
everyone,361147059656605697,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",361147059656605697,拜託妳眼睛趕快好我好擔心快呼叫你親生媽媽回來幫妳呼呼眼睛快快好！！！#maltese #puppy #behealth | #波子 #10month #worried http://someurl,2013-07-27T15:32:23.000Z,Instagram,1098962772,zh,#worried,
everyone,356407547885920256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",356407547885920256,吾好再講你得啦下你驚咩ge話！收聲啊你地！我係驚啊驚成績差驚冇大學啊！滿意未啊？！講完〜係咪吾比我驚啊下？！#scare #Worried #Examresults #HKEAA #HKDSE #iwantgoodresults #iwantuniversity #iwantA1,2013-07-14T13:39:15.000Z,Twitter for iPhone,171002312,zh,#worried,
everyone,355664789206343681,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",355664789206343681,你知道很擔心卻又無能為力的感覺嗎 #worried #you #sis #plsbesave #accident http://someurl,2013-07-12T12:27:48.000Z,Instagram,547652581,zh,#worried,
everyone,352372133810282497,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",352372133810282497,要不是因為可以休息我再也沒有讀下去的動力😭| 只怪自己沒有做好 努力了腦袋卻不聽使喚派不上用場。| 又在為自己找藉口 可以考完試才有生病的感覺嗎| #worried #stupid #guy #mind... http://someurl,2013-07-03T10:23:58.000Z,Instagram,701248506,zh,#worried,
