,text,emotion
0,stop even though they walk with the pure Rhine my dad was saved today shares,anger
1,As I do not understand only in CR passes this a couple of days ago the street fixed new prey and everything that was put on for 0 of the aya will come to break today person can be,anger
2,When you do not adra jente as well as poisonous when,anger
3,Person who controls the anonymous buy a lamb tray that supposedly was a cut leg and it was half leg and it brought me three garraons osea I eat a garrron hahaha person hdp with assorted truncated,anger
4,"Sorry and killed by taking poison for personal rats, the wife today is that it is debated in life and death suffering from the final stage of AIDS that strong and tremendous the blood of Christ about my marriage in the name of Person G",anger
5,How bad are we,anger
6,Blocking the people who treat me everything with bad words good people bad wave is better blocking I'm sorry ah do not forget Marilina or right-handed at 00000,anger
7,"""I believe that pensions will upload them"" a minute and a half of lies about pensions I was not going to touch them and go if they have trimmed with isabel towers bazan",anger
8,Person my husband cn the shirt of the chivas and according to him is american man of heart and now it turns out,anger
9,with my taxes pay these to be robbed,anger
10,CUSTOMS AND MORE CUSTOMS IS TRUTH IS NOT CHISTE AND ONE WITH UNIVERSITY TITLE AND GAINING BASIC SABRE,anger
11,X and think k is discrimination already is enough they are abusing,anger
12,While you ignore I fight while your mistreats I defend while your abuses I scream is already enough ignorance but while I live your voice will be,anger
13,On top of it,anger
14,to remove that fuck dictator,anger
15,Person ohhhhhh person with person person is clear person is ETA and supports terrorists to see what the Ind and the Aguirre say,anger
16,Sad but true,anger
17,Comment we do not have any kind of communication I'll start to delete I think you do not integrate my fb only use it for your games so it's that bye bye,anger
18,BEWARE,anger
19,Spreading is very bad mood smoking and giving to alcohol please q nó escape,anger
20,time person being too late,anger
21,FYI Public Service Notice Are Notified Nothing,anger
22,ecological revolt,anger
23,awareness and responsibility with your children because there is no reverse as I pass to this child now these holidays will not be able to open their gifts since it will be amputated from both hands sad but true,anger
24,Because you just buses in which you pay for a card that's why my contribution is all against tuc is the top already share this image we defend our rights of free mobilization,anger
25,Photo taken on Camino Real 00 East San Andrés Cholula where the not parking signal does not apply,anger
26,"After the ADO gave its advertisement of 00 now the Oxxo stores joins announcing their increases starting on January 0, what surprises will we continue to find CTMpeña",anger
27,What happened to the famous global warming that made a billionaire to the Vice President Person and it turns out that 00 States of the American Union are with temperatures below zero what are there any,anger
28,Person in the torax nothing that rest does not relieve and do not let more this type of abuse,anger
29,and by behind you get the knife you do not have a trust anyone because the one who thinks least of that is nothing of different I am tired person my family my country my jente not the canvio by nobodybuens,anger
30,PTM goes out of pendejos SSA staff all day and can not dezip me I am already up to the mother hateoooooo,anger
31,enter into,anger
32,Boicot A Coca Cola Do not buy this brand close 0 factories in Spain and dismiss employees to spread the message so that the whole world is known to be solidarity with these families thanks,anger
33,"So they are when the political campaigns that sadness start or speak, they greet are friends person who person",anger
34,She is deporting many of us who only came to work and have a better life and those who do not deport you make life impossible there to put trout in these choices people tag person,anger
35,They count,anger
36,Person but as I thought that they had already seated it in the electric siya because neither for broth serves,anger
37,This rear,anger
38,How do I get ridiculous wannabe my god do not see how ridiculous they look better than they stay at home and not trying to do things that have left us,anger
39,Viviana Carolina Garcia Marianella Elizabeth Loor Mendoza,anger
40,Something like that thousands of methods there are no murderous nobody has the right of person life to an innocent person,anger
41,Person goes for you clearly attentive with what you cruise x your mind before d do any person 00 thousand times war warned does not kill people amoreeee person pomahorca,anger
42,to person you need it really bothers me person I do not work pro my luchita,anger
43,I cry I want eternal holiday YAYAYA,anger
44,They offer for sale or know of person who suddenly has an equal bitch since we promise discretion thanks,anger
45,Last-hour Bulletin Notice to all faceadicles diffunding it with all your friends friends is inviting to catch these acesinos,anger
46,I understand,anger
47,Search godparents for your treatment is not fair that a little angel who lived that horror does not know the love of true human beings,anger
48,Annoying that embarrassant that rabiaaaa,anger
49,she and burst her head to kicks against a fucking curb good morning,anger
50,is person who know who was this beautiful person person that is such person is the picture of person 00000000,anger
51,Right face I have to listen to electronics and all those shits rock what they do now is not rock is pure noise to canada nothing else,anger
52,Belalcazar walked in a Mazda Millenium black please share it with luxury,anger
53,Bus side of this company,anger
54,Seeee nurses united there is no worse trauma q get to service receive you and after all over the turn,anger
55,Person Go for Loz K No Kreian K Andan Me Hackeando My Face No Kiero Hazerme Rezponzable Nothing D Lo L Lez can send or Publikar 0 Wuey C Konekta in My Face Dzd Cotija and 0 D Jiquilpan Ando Enkabronado,anger
56,"or consciousness to more than one as they ask me to sign, we think they go to person",anger
57,Person Peruvian and CTM that is believed to talk about the disaster that happened to us in Valpo put this weona on all the walls and make it shit to the silly WNA with Lissette Fernanda Galvez Garay and Claudio Toro,anger
58,Discrimination today was my son tomorrow can be the one of you to end this,anger
59,Make the challenge and a minor donation,anger
60,Person lost puppies and found in Guadalajara and its surroundings Martha Rescuista GDL Vanessa Durand Yoli D Roa Person Person,anger
61,Person that misera of the bottom was going to steal my niece person please be very careful go around in the park El Vergel on the sides of person,anger
62,Happy international day nurses,anger
63,Kik Boxing Is The Answer Yea not good among the neighbor who is forever right at the entrance of the bikes and the new tenant that is parked in a double place to put his two cars and cover the entrance where the fuck are we going to get with these peopleChinga.,anger
64,dictated in the Auditorium of the Central Bank of Venezuela Headquarters Maracaibo to the spokespersons of the Communal Councils,anger
65,a mazda black millenium please person and give me,anger
66,I can not sleep calm down the pig that did person who was responsible for doing justice at least I hope my family helping others in the earthquake by giving away the Los Arreques Panpranadería and that from behind this bitch is governed stealing the effort and perseverance of a family,anger
67,mercy of you and the tuyosaí person god bless you and you of wisdom for you to person with that matter,anger
68,Executive We wake up this exemplary expresses established references for a greater understanding of the nation's looting mechanism These politicians live from the people and betray the people ... Read it highly recommended ...,anger
69,Please really do it to this photo so that these ruthless reporters and photographers do not make these acts so inumane,anger
70,a fatoua you will have to raise it then do not blame the government the school society friends la friendsnot like a human being,anger
71,impacted that's why we are as we are,anger
72,Baradero complaints book when they are going to solve the problem of street miter at 0000no live on that block but gives anger that year after year everything is still the same there is no solution for nothing,anger
73,Person nor tell me and speak badly,anger
74,Blame the Government The School The Society Los Amigos La Tele Artists The Internet Teachers The Church The Boyfriend The Pastor Noooo The Guilt You Have You For Treating Your Hij As A Puppy And Not Like A Human Being,anger
75,Please send game requests and deleted instantly,anger
76,Chales very true All these are a puppetball moved by the interests of the PRI and person but this can be for gentlemen,anger
77,Care Raja and No K This Sako Wea could not handle more like that with the Chilean Politika Hernan Person JR Person of the former President of the person Hernan Larrain goes through his sanction,anger
78,"Santa Ana because there I go down but too, it's a chantaaa to share porfis",anger
79,They are chingaderas where we are going to stop hasmeelchingofavor,anger
80,I stayed without speech if in case the crisis is like this and if it is privatized we are going to be from the fuck or and people speak nomas x speak,anger
81,it does not exist for this time share this photo I am interested in little if likes person if you share the whole world,anger
82,I want to have a million friends ♫ ♪ ♫ ♪ ♫ ♪ ♫ ♪ ♫ Person,anger
83,HPS That wretch of the bottom was going to steal my niece person please be very careful walk around in the park El Vergel on the sides of person,anger
84,"The affected major area was the north of the isy, it seems that they want esocontra when they learn to keep the whole island equally",anger
85,you and the tuyosaí person god bless you and you of wisdom for you to person with that matter,anger
86,All my support to all coca cola workers especially those of my land that do not sell cocolas to the second around the world as not to be able to keep factories,anger
87,Go to person stop shitting people one has for their efforts and that they come vagos so stole all nodalpm,anger
88,You would do it if it's like that Share it with silvia Trejo,anger
89,Person support this campaign against discrimination today was my son tomorrow may be that of you finish this,anger
90,When I have to return home because of the pickets do not walk the trains nor the collective and one has to be a skill even if it is risking the vicason gajes of the daily office that I am used to me another,anger
91,Person Person Person You Can Dales An Opportunity Also You'll See What Nest Stories Tell You,anger
92,jajajajajaja this photo made me the afternoon hahahaha spa the sarabia only available in season of rain hahaha are all invited as I did not occur before a good business person,anger
93,Before those who should do it encourage you to put the cat with the cat not on social networks hugs and very good night,anger
94,I am like the people's notebook are more expensive than the bulk Q pants,anger
95,Q bad wave q my truck is broken,anger
96,FYI Things Do not get lost Person change from owner I was stolen,anger
97,Person Pal Person Look Primo in his Mare With Adame Huhante,anger
98,Problems Minister Person The Budget of the Police,anger
99,Mechanism for puppets You do not feel the invisible threads tied to the jacket and as good citizens nothing rests us now they are going to start fine by doing sportsDo pussy we are going to get children of p,anger
100,No no parking payment,anger
101,"the people do not use but as long as we do nothing, it will always be the same story I leave the task so they can see where we are wrong",anger
102,The criminals The claim of politics is a thing and the usual exploits for any reason is another thing fed up with the social reality Argentina black sayings let us live calm middle class always hurt,anger
103,was Fueeeeeeeeeeee,anger
104,in the hands of the Masters Justice now with Alexander Santiago and Maritere Santiago Cuevas,anger
105,in case the price of water depended on the area where you live and now it turns out that you are reevaluating the areas we can do as citizens,anger
106,Person Purchase Person Cool Person Bazar of Be Pink Friends can help me spread this woman who is Politic Politics in Veracruz spread that she transpose barreras person and,anger
107,Feels,anger
108,This goes for all those who do not answer me on facebook,anger
109,saying they are the best of the best when the truth is nothing and I guarantee those who give declarations to the person,anger
110,That's when one is good and when you already take a boluda you get away xq you get tired and now you are the worst shit in the world Sona,anger
111,D clear k michael jackson is the king and it is not such justin,anger
112,Atlantists Let's press for Twitter to the League so that the meeting between Monarchs Morelia and Atlas is legal since when belonging the two to TV Aztec Monarchs could allow three points to the Atlas in the fight for the descent,anger
113,Good Old Times New Ones Coming Up Soon When I find these things on my computer I enters me asardor in the stomach,anger
114,Turma Do Bem Insecurity in Argentina I played the door of our friend Maria Delia Toulouse stole all thanks to God she and her children are alive a lot of strength Maria Delia we love you,anger
115,is by health assholes,anger
116,I finish being Person Diego Aventin Confement Carisbajo The duck I hope that this year without the jet and corrupt person change things for good,anger
117,See there are things that are simply too hard to believe,anger
