,text,emotion
0, Signs You Did The #StankyLeg Too Hard. #Happy0th my friends. #How #You #LOSE #A #Damn #LEG #Mama #Always #Said #Dont #Butterfly #With #AFakeLeg #StillGot #TheJordan #OnIt #Ppl #Buyin #Jz #ForFakeLegs ,anger
1,trying it.,anger
2," The man seen below in the pictures is Mr. [PERSON] , the Prime Minister of Australia, helping people during the great Australian floods. He himself entered the flood-waters and carried his country-men's luggage on his head. What about the grate indian prime minister ?? ",anger
3, wow !! ,anger
4,"questions are to the manager? What are you paid to do? What would the health department think of that? Is it acceptable to tell a PAID CUSTOMER to clean it themselves? Your understaffed, but sent 0 employees on break!? How could have she handled this situation the right way?  ...",anger
5, But it so pretty but I'm sick of it to!!! ,anger
6, Did I mention I HATE autocorrect?? No my kid's name is not larva!!! Nor is my friend a lieutenant! ,anger
7,So a Navy Veteran checks into alcohol detox to get his life straightened out and this is what happens! TRF~III% WHAT AN OUTRAGE! THIS is how the state of Connecticut says,anger
8,"that's offensive, it certainly didn't come from me.......copy & paste!! ...",anger
9,"Over my die body , not ever think I will forgive your sin ! Still I die at icu room I still hate you 我恨死 hated .velle [PERSON] ungrateful . [PERSON] . And. feeling pissed off. .. off. .... ......... ...",anger
10,can the capitalists go?,anger
11,"U buy a porn CD from the roadside... U get home, only to realize that it was an episode of",anger
12,"older small black truck. These thieves just hooked up & stole the boat. Anyone see this boat and/or know these two thieves matching this description & truck, please msg me. REWARD for info with no questions asked & BIGGER REWARD leading to an arrest. MAHALO! Name on boat is",anger
13,Congrats on all the death threats you are about to receive  这种人也有。。。黑心到。。。,anger
14, So apparently some idiots are putting razor blades on playgrounds and parks. For my friends with children PLEASE be CAREFUL!....Let me catch an idiot doing this and I will hurt you myself!! Everyone with children PLEASE share! off,anger
15,sought. Thank you so much for your efforts and time.,anger
16,"don't walk away like a [PERSON] , Because we all do that give it a fight chance.",anger
17,"so proud of her, she is now living proof of [PERSON] '? UMMM... REALLY THO?! And yes, this was from BEFORE I started watermarking my pictures. This Instagram user ( mrsherbadoll_ ) is set to private- but please feel free to REPORT it for scam!",anger
18," This facility is now available in God's own country.. Sponsored by our honourable govt.. The best feeling you will enjoy is while driving, which is extreme adventure!!!!!! ",anger
19,dried rugged n fed [PERSON] ...,anger
20,"Wild leaders...  Wild leaders, This time use to train Animals for suicides bomb against Humans, He s a damn stupid Terrorists leader use to killed billions of Innocent humans on the planet, off. funn",anger
21, shakes his head in disbelief.. .,anger
22,he has compelled us to post such things.....because he has proven himself to be an idiot politician  Iss ki khawaish ke mutabiq iss per LAANAT bhajh [PERSON] . .,anger
23,And then he blocked me. So *WARNING* ~ stay FAR AWAY from [PERSON] ! Whata fuk'n creep! off,anger
24,Nasty weather.  This snow. Is out of control. ,anger
25, You dont realize how true this is till your checks get screwed up and you cant pay your bills,anger
26," :: Last nite there is a car workshop that cheated my customer that they are Chan Brothers and tow her car back to their workshop. Pliz take note, Chan Brothers Car Medic Centre tow truck has stickers of Chan Brothers on the truck. PLiz take note. Pliz help to share out. . We...",anger
27,first.,anger
28,time?,anger
29,[PERSON] is blame thins [PERSON] i kno wha i [PERSON] do stop cme bout the place n c if [PERSON] ghin still call my nme yc,anger
30, for my those friends who deceived me . ,anger
31, All I can say am sorry for my country Belize pure war ,anger
32," Found Dog! If by some chance someone has lost this dog and not dumped him out, he's going to [PERSON] . I picked him up on Norris Freeway (poor thing was eating a dead deer) He has no microchip or tag. :(",anger
33,"LEAST ONE ITEM FOR THE SAKE OF OUR COUNTRY! We would be sending useless forwards to our friends daily. Instead, please forward this note to all your friends to create awareness...!!",anger
34,for days ( to me it looked more than a week ). My mark = - - - - + . photography of ,anger
35,"kind and just need to know that someone cares. Do it for all of us, for nobody is immune. I hope to see this on the walls of all my friends just for moral support. I know some will!! I did it for a friend and you can too . (You have to copy & paste this one, no sharing...",anger
36, im very dissapointed today ,anger
37,Hell Yeah ( not You [PERSON] ) lol  Yes!!!!!!!!!!!!!!!! Bad memories when it comes to this status ,anger
